"fn","vcard","vcard 2","vcard href","mw-redirect","mw-redirect href","category","reference","reference href","cite-bracket","cite-bracket 2"
"Lambda Theta","1978","University of Cincinnati","https://en.wikipedia.org/wiki/University_of_Cincinnati","Cincinnati, OH","https://en.wikipedia.org/wiki/Cincinnati,_OH","Active","","","",""
"Lambda Omicron","","Illinois Wesleyan University","https://en.wikipedia.org/wiki/Illinois_Wesleyan_University","Bloomington, IL","https://en.wikipedia.org/wiki/Bloomington,_IL","Inactive","","","",""
"Mu Eta","1981","University of Illinois Springfield","https://en.wikipedia.org/wiki/University_of_Illinois_Springfield","Springfield, IL","https://en.wikipedia.org/wiki/Springfield,_IL","Active","","","",""
"Mu Theta","September 16, 1980","University of Kentucky","https://en.wikipedia.org/wiki/University_of_Kentucky","Lexington, KY","https://en.wikipedia.org/wiki/Lexington,_KY","Active","","","",""
"Nu","1945","Central State University","https://en.wikipedia.org/wiki/Central_State_University","Wilberforce, OH","https://en.wikipedia.org/wiki/Wilberforce,_OH","Active","","","",""
"Nu Gamma","April 24, 1981","Grand Valley State University","https://en.wikipedia.org/wiki/Grand_Valley_State_University","Allendale, MI","https://en.wikipedia.org/wiki/Allendale,_MI","Active","","","",""
"Nu Nu","April 5, 1981","Lawrence Technological University","https://en.wikipedia.org/wiki/Lawrence_Technological_University","Southfield, MI","https://en.wikipedia.org/wiki/Southfield,_MI","Active","","","",""
"Xi Lambda","February 13, 1935","Kentucky State University","https://en.wikipedia.org/wiki/Kentucky_State_University","Frankfort, KY","https://en.wikipedia.org/wiki/Frankfort,_KY","Active","","","",""
"Omicron Xi","1985","Murray State University","https://en.wikipedia.org/wiki/Murray_State_University","Murray, KY","https://en.wikipedia.org/wiki/Murray,_KY","Active","","","",""
"Omicron Omicron","","Oakland University","https://en.wikipedia.org/wiki/Oakland_University","Rochester, MI","https://en.wikipedia.org/wiki/Rochester,_MI","Active","","","",""
"Omicron Upsilon","1984","Vincennes University","https://en.wikipedia.org/wiki/Vincennes_University","Vincennes, IN","https://en.wikipedia.org/wiki/Vincennes,_IN","Inactive","","","",""
"Pi Eta","March 15, 1985","","","Minneapolis/St. Paul, MN","https://en.wikipedia.org/wiki/Minneapolis/St._Paul,_MN","Active","","","",""
"Pi Nu","1986","","","East Lansing, MI","https://en.wikipedia.org/wiki/East_Lansing,_MI","Active","","","",""
"Pi Omicron","1986","Aurora University","https://en.wikipedia.org/wiki/Aurora_University","Aurora, IL","https://en.wikipedia.org/wiki/Aurora,_IL","Inactive","32","https://en.wikipedia.org/wiki/List_of_Phi_Beta_Sigma_chapters#cite_note-IllinoisSigmas-32","[","]"
"Pi Upsilon","1984","","","Oshkosh, WI","https://en.wikipedia.org/wiki/Oshkosh,_WI","Active","","","",""
"Rho Kappa","1988","University of Dubuque","https://en.wikipedia.org/wiki/University_of_Dubuque","Dubuque, IA","https://en.wikipedia.org/wiki/Dubuque,_IA","Active","","","",""
"Rho Nu","February 27, 1988","University of Detroit Mercy","https://en.wikipedia.org/wiki/University_of_Detroit_Mercy","Detroit, MI","https://en.wikipedia.org/wiki/Detroit,_MI","Active","","","",""
"Rho Omicron","","Indiana University–Purdue University Fort Wayne","https://en.wikipedia.org/wiki/Indiana_University%E2%80%93Purdue_University_Fort_Wayne","Fort Wayne, IN","https://en.wikipedia.org/wiki/Fort_Wayne,_IN","Inactive","","","",""
"Tau","1925","University of Louisville","https://en.wikipedia.org/wiki/University_of_Louisville","Louisville, KY","https://en.wikipedia.org/wiki/Louisville,_KY","Active","","","",""
