"tablescraper-selected-row","tablescraper-selected-row 2","tablescraper-selected-row 3","tablescraper-selected-row href","tablescraper-selected-row 4","tablescraper-selected-row href 2","tablescraper-selected-row 5","reference","reference href","cite-bracket","cite-bracket 2","tablescraper-selected-row 6","tablescraper-selected-row 7","tablescraper-selected-row href 3","tablescraper-selected-row 8"
"Lambda Mu","April 28, 2018","Loyola University Chicago","https://en.wikipedia.org/wiki/Loyola_University_Chicago","Chicago","https://en.wikipedia.org/wiki/Chicago","Active","184","https://en.wikipedia.org/wiki/List_of_Zeta_Phi_Beta_chapters#cite_note-235","[","]","","Illinois","https://en.wikipedia.org/wiki/Illinois",""
"Lambda Nu","November 2, 2018","Rhodes College","https://en.wikipedia.org/wiki/Rhodes_College","Memphis","https://en.wikipedia.org/wiki/Memphis,_Tennessee","Active","185","https://en.wikipedia.org/wiki/List_of_Zeta_Phi_Beta_chapters#cite_note-236","[","]","","Tennessee","https://en.wikipedia.org/wiki/Tennessee",""
"Pi Phi","November 26, 2019","Allegheny College","https://en.wikipedia.org/wiki/Allegheny_College","Meadville","https://en.wikipedia.org/wiki/Meadville,_Pennsylvania","Active","","","","","","Pennsylvania","https://en.wikipedia.org/wiki/Pennsylvania",""
"Rho Phi","February 17, 2020","Drake University","https://en.wikipedia.org/wiki/Drake_University","Des Moines","https://en.wikipedia.org/wiki/Des_Moines,_Iowa","Active","186","https://en.wikipedia.org/wiki/List_of_Zeta_Phi_Beta_chapters#cite_note-237","[","]","","Iowa","https://en.wikipedia.org/wiki/Iowa",""
"Sigma Phi","February 26, 2020","Minnesota State University, Mankato","https://en.wikipedia.org/wiki/Minnesota_State_University,_Mankato","Mankato","https://en.wikipedia.org/wiki/Mankato,_Minnesota","Active","","","","","","Minnesota","https://en.wikipedia.org/wiki/Minnesota",""
"Tau Phi","March 24, 2021","Quinnipiac University","https://en.wikipedia.org/wiki/Quinnipiac_University","Hamden","https://en.wikipedia.org/wiki/Hamden,_Connecticut","Active","187","https://en.wikipedia.org/wiki/List_of_Zeta_Phi_Beta_chapters#cite_note-238","[","]","","Connecticut","https://en.wikipedia.org/wiki/Connecticut",""
"Upsilon Phi","","Columbia University","https://en.wikipedia.org/wiki/Columbia_University","New York City","https://en.wikipedia.org/wiki/New_York_City","Active","","","","","2021","New York","https://en.wikipedia.org/wiki/New_York_(state)",""
"Phi Phi","2021","York College, City University of New York","https://en.wikipedia.org/wiki/York_College,_City_University_of_New_York","Jamaica","https://en.wikipedia.org/wiki/Jamaica,_Queens","Active","","","","","","New York","https://en.wikipedia.org/wiki/New_York_(state)",""
"Chi Phi","","Cumberland University","https://en.wikipedia.org/wiki/Cumberland_University","Lebanon","https://en.wikipedia.org/wiki/Lebanon,_Tennessee","Active","","","","","2021","Tennessee","https://en.wikipedia.org/wiki/Tennessee",""
"Psi Phi","April 4, 2022","Worcester Polytechnic Institute","https://en.wikipedia.org/wiki/Worcester_Polytechnic_Institute","Worcester","https://en.wikipedia.org/wiki/Worcester,_Massachusetts","Active","188","https://en.wikipedia.org/wiki/List_of_Zeta_Phi_Beta_chapters#cite_note-239","[","]","","Massachusetts","https://en.wikipedia.org/wiki/Massachusetts",""
"","","","","","","","","","","","201x ?–20xx ?","","",""
"Alpha Chi","2022","Stetson University","https://en.wikipedia.org/wiki/Stetson_University","DeLand","https://en.wikipedia.org/wiki/DeLand,_Florida","Active","171","https://en.wikipedia.org/wiki/List_of_Zeta_Phi_Beta_chapters#cite_note-:22-222","[","]","","Florida","https://en.wikipedia.org/wiki/Florida",""
"","March 31, 2023","","","","","Active","191","https://en.wikipedia.org/wiki/List_of_Zeta_Phi_Beta_chapters#cite_note-242","[","]","Massachusetts","","","Boston"
"","February 11, 2023","","","","","Active","","","","","Georgia","","","Athens"
"","March 1, 2024","","","","","Active","193","https://en.wikipedia.org/wiki/List_of_Zeta_Phi_Beta_chapters#cite_note-244","[","]","Massachusetts","","","Medford"
"","1989","DePaul University","https://en.wikipedia.org/wiki/DePaul_University","Chicago","https://en.wikipedia.org/wiki/Chicago","","","","","","","Illinois","https://en.wikipedia.org/wiki/Illinois",""
"","2006","Johns Hopkins University","https://en.wikipedia.org/wiki/Johns_Hopkins_University","Baltimore","https://en.wikipedia.org/wiki/Baltimore","","","","","","","Maryland","https://en.wikipedia.org/wiki/Maryland",""
"Iota Chi","March 26, 2025","Illinois Wesleyan University","https://en.wikipedia.org/wiki/Illinois_Wesleyan_University","Bloomington","https://en.wikipedia.org/wiki/Bloomington,_Illinois","Active","194","https://en.wikipedia.org/wiki/List_of_Zeta_Phi_Beta_chapters#cite_note-245","[","]","","Illinois","https://en.wikipedia.org/wiki/Illinois",""
