"tablescraper-selected-row","tablescraper-selected-row 2","tablescraper-selected-row 3","tablescraper-selected-row href","tablescraper-selected-row 4","tablescraper-selected-row href 2","tablescraper-selected-row 5","reference","reference href","cite-bracket","cite-bracket 2","tablescraper-selected-row 6","tablescraper-selected-row 7","tablescraper-selected-row href 3","tablescraper-selected-row 8"
"","","St. Louis","https://en.wikipedia.org/wiki/St._Louis","Missouri","https://en.wikipedia.org/wiki/Missouri","Inactive","","","","","19xx ?–20xx ?","","","Phi Alpha"
"Chi Alpha","1954","Rider University","https://en.wikipedia.org/wiki/Rider_University","Lawrence Township","https://en.wikipedia.org/wiki/Lawrence_Township,_Mercer_County,_New_Jersey","Active","33","https://en.wikipedia.org/wiki/List_of_Zeta_Phi_Beta_chapters#cite_note-:19-48","[","]","","New Jersey","https://en.wikipedia.org/wiki/New_Jersey",""
"Psi Alpha","February 8, 1941","South Carolina State University","https://en.wikipedia.org/wiki/South_Carolina_State_University","Orangeburg","https://en.wikipedia.org/wiki/Orangeburg,_South_Carolina","Active","34","https://en.wikipedia.org/wiki/List_of_Zeta_Phi_Beta_chapters#cite_note-:27-50","[","]","","South Carolina","https://en.wikipedia.org/wiki/South_Carolina",""
"Omega Alpha","","Wayne State University","https://en.wikipedia.org/wiki/Wayne_State_University","Detroit","https://en.wikipedia.org/wiki/Detroit","Active","17","https://en.wikipedia.org/wiki/List_of_Zeta_Phi_Beta_chapters#cite_note-:8-22","[","]","194x ?","Michigan","https://en.wikipedia.org/wiki/Michigan",""
"Alpha Beta","January 1942","Dillard University","https://en.wikipedia.org/wiki/Dillard_University","New Orleans","https://en.wikipedia.org/wiki/New_Orleans","Active","","","","","","Louisiana","https://en.wikipedia.org/wiki/Louisiana",""
"Omega Theta","February 25, 1979","University of Kansas","https://en.wikipedia.org/wiki/University_of_Kansas","Lawrence","https://en.wikipedia.org/wiki/Lawrence,_Kansas","Active","19","https://en.wikipedia.org/wiki/List_of_Zeta_Phi_Beta_chapters#cite_note-:3-24","[","]","","Kansas","https://en.wikipedia.org/wiki/Kansas","Beta Beta first"
"Beta Beta","1952","University of Arkansas at Pine Bluff","https://en.wikipedia.org/wiki/University_of_Arkansas_at_Pine_Bluff","Pine Bluff","https://en.wikipedia.org/wiki/Pine_Bluff,_Arkansas","Active","","","","","","Arkansas","https://en.wikipedia.org/wiki/Arkansas",""
"","1942","University of California, Berkeley","https://en.wikipedia.org/wiki/University_of_California,_Berkeley","Berkeley","https://en.wikipedia.org/wiki/Berkeley,_California","Inactive","36","https://en.wikipedia.org/wiki/List_of_Zeta_Phi_Beta_chapters#cite_note-:44-53","[","]","–2012","California","https://en.wikipedia.org/wiki/California","Gamma Beta"
"Delta Beta","April 4, 1946","Fort Valley State University","https://en.wikipedia.org/wiki/Fort_Valley_State_University","Fort Valley","https://en.wikipedia.org/wiki/Fort_Valley,_Georgia","Active","","","","","","Georgia","https://en.wikipedia.org/wiki/Georgia_(U.S._state)",""
"Epsilon Beta","1947","Alabama State University","https://en.wikipedia.org/wiki/Alabama_State_University","Montgomery","https://en.wikipedia.org/wiki/Montgomery,_Alabama","Active","","","","","","Alabama","https://en.wikipedia.org/wiki/Alabama",""
"Zeta Beta","February 13, 1932","Southern University at New Orleans","https://en.wikipedia.org/wiki/Southern_University_at_New_Orleans","New Orleans","https://en.wikipedia.org/wiki/New_Orleans","Active","","","","","","Louisiana","https://en.wikipedia.org/wiki/Louisiana",""
"","May 31, 1947","University of Maryland Eastern Shore","https://en.wikipedia.org/wiki/University_of_Maryland_Eastern_Shore","Princess Anne","https://en.wikipedia.org/wiki/Princess_Anne,_Maryland","Inactive","15","https://en.wikipedia.org/wiki/List_of_Zeta_Phi_Beta_chapters#cite_note-:7-19","[","]","– 19xx ?; 1963–20xx ?","Maryland","https://en.wikipedia.org/wiki/Maryland","Eta Beta"
"Theta Beta","April 15, 1948","Tuskegee University","https://en.wikipedia.org/wiki/Tuskegee_University","Tuskegee","https://en.wikipedia.org/wiki/Tuskegee,_Alabama","Active","37","https://en.wikipedia.org/wiki/List_of_Zeta_Phi_Beta_chapters#cite_note-56","[","]","","Alabama","https://en.wikipedia.org/wiki/Alabama",""
"Iota Beta","1948","West Virginia State University","https://en.wikipedia.org/wiki/West_Virginia_State_University","Institute","https://en.wikipedia.org/wiki/Institute,_West_Virginia","Active","","","","","","West Virginia","https://en.wikipedia.org/wiki/West_Virginia",""
"","1970","Benedict College","https://en.wikipedia.org/wiki/Benedict_College","Columbia","https://en.wikipedia.org/wiki/Columbia,_South_Carolina","Inactive","15","https://en.wikipedia.org/wiki/List_of_Zeta_Phi_Beta_chapters#cite_note-:7-19","[","]","–20xx ?","South Carolina","https://en.wikipedia.org/wiki/South_Carolina","Kappa Beta"
"","1948","Jackson State University","https://en.wikipedia.org/wiki/Jackson_State_University","Jackson","https://en.wikipedia.org/wiki/Jackson,_Mississippi","Inactive","15","https://en.wikipedia.org/wiki/List_of_Zeta_Phi_Beta_chapters#cite_note-:7-19","[","]","–20xx ?","Mississippi","https://en.wikipedia.org/wiki/Mississippi","Lambda Beta"
"","1948","Bethune–Cookman University","https://en.wikipedia.org/wiki/Bethune%E2%80%93Cookman_University","Daytona Beach","https://en.wikipedia.org/wiki/Daytona_Beach,_Florida","Inactive","15","https://en.wikipedia.org/wiki/List_of_Zeta_Phi_Beta_chapters#cite_note-:7-19","[","]","–20xx ?","Florida","https://en.wikipedia.org/wiki/Florida","Mu Beta"
"Nu Beta","1950","Tougaloo College","https://en.wikipedia.org/wiki/Tougaloo_College","Tougaloo","https://en.wikipedia.org/wiki/Tougaloo,_Mississippi","Active","","","","","","Mississippi","https://en.wikipedia.org/wiki/Mississippi",""
"Xi Beta","1950","Lincoln University","https://en.wikipedia.org/wiki/Lincoln_University_(Missouri)","Jefferson City","https://en.wikipedia.org/wiki/Jefferson_City,_Missouri","Active","","","","","","Missiouri","https://en.wikipedia.org/wiki/Missouri",""
"Omicron Beta","1950","Brooklyn","https://en.wikipedia.org/wiki/Brooklyn","New York","https://en.wikipedia.org/wiki/New_York_(state)","Active","38","https://en.wikipedia.org/wiki/List_of_Zeta_Phi_Beta_chapters#cite_note-60","[","]","","","",""
"Pi Beta","1950","Albany State University","https://en.wikipedia.org/wiki/Albany_State_University","Albany","https://en.wikipedia.org/wiki/Albany,_Georgia","Active","","","","","","Georgia","https://en.wikipedia.org/wiki/Georgia_(U.S._state)",""
"Rho Beta","November 1950","Savannah State University","https://en.wikipedia.org/wiki/Savannah_State_University","Savannah","https://en.wikipedia.org/wiki/Savannah,_Georgia","Active","","","","","","Georgia","https://en.wikipedia.org/wiki/Georgia_(U.S._state)",""
"Sigma Beta","March 1, 1951","Alabama A&M University","https://en.wikipedia.org/wiki/Alabama_A%26M_University","Normal","https://en.wikipedia.org/wiki/Normal,_Alabama","Active","","","","","","Alabama","https://en.wikipedia.org/wiki/Alabama",""
"Tau Beta","1973","Paul Quinn College","https://en.wikipedia.org/wiki/Paul_Quinn_College","Dallas","https://en.wikipedia.org/wiki/Dallas","Active","","","","","","Texas","https://en.wikipedia.org/wiki/Texas",""
"Phi Beta","October 11, 1951","St. Augustine's University","https://en.wikipedia.org/wiki/St._Augustine%27s_University_(North_Carolina)","Raleigh","https://en.wikipedia.org/wiki/Raleigh,_North_Carolina","Active","","","","","","North Carolina","https://en.wikipedia.org/wiki/North_Carolina",""
"","February 22, 1952","Central State University","https://en.wikipedia.org/wiki/Central_State_University","Wilberforce","https://en.wikipedia.org/wiki/Wilberforce,_Ohio","Inactive","39","https://en.wikipedia.org/wiki/List_of_Zeta_Phi_Beta_chapters#cite_note-61","[","]","– 20xx ?","Ohio","https://en.wikipedia.org/wiki/Ohio","Chi Beta"
"Psi Beta","May 7, 1952","Grambling State University","https://en.wikipedia.org/wiki/Grambling_State_University","Grambling","https://en.wikipedia.org/wiki/Grambling,_Louisiana","Active","","","","","","Louisiana","https://en.wikipedia.org/wiki/Louisiana",""
"Omega Beta","May 10, 1952","Fayetteville State University","https://en.wikipedia.org/wiki/Fayetteville_State_University","Fayetteville","https://en.wikipedia.org/wiki/Fayetteville,_North_Carolina","Active","","","","","","North Carolina","https://en.wikipedia.org/wiki/North_Carolina",""
"Alpha Gamma","1953","Elizabeth City State University","https://en.wikipedia.org/wiki/Elizabeth_City_State_University","Elizabeth City","https://en.wikipedia.org/wiki/Elizabeth_City,_North_Carolina","Active","","","","","","North Carolina","https://en.wikipedia.org/wiki/North_Carolina",""
"","February 13, 1960","Oklahoma City","https://en.wikipedia.org/wiki/Oklahoma_City","Oklahoma","https://en.wikipedia.org/wiki/Oklahoma","Inactive","19","https://en.wikipedia.org/wiki/List_of_Zeta_Phi_Beta_chapters#cite_note-:3-24","[","]","– xxxx ?","","","Beta Gamma first"
"","","University of Central Oklahoma","https://en.wikipedia.org/wiki/University_of_Central_Oklahoma","Edmond","https://en.wikipedia.org/wiki/Edmond,_Oklahoma","Inactive","15","https://en.wikipedia.org/wiki/List_of_Zeta_Phi_Beta_chapters#cite_note-:7-19","[","]","19xx ? – 201x ?","Oklahoma","https://en.wikipedia.org/wiki/Oklahoma","Beta Gamma"
"Gamma Gamma","April 29, 1960","North Carolina Central University","https://en.wikipedia.org/wiki/North_Carolina_Central_University","Durham","https://en.wikipedia.org/wiki/Durham,_North_Carolina","Active","","","","","","North Carolina","https://en.wikipedia.org/wiki/North_Carolina",""
"","","","","","","Inactive","","","","","196x ?–xxxx ?","","","Delta Gamma"
"Epsilon Gamma","1962","Stillman College","https://en.wikipedia.org/wiki/Stillman_College","Tuscaloosa","https://en.wikipedia.org/wiki/Tuscaloosa,_Alabama","Active","","","","","","Alabama","https://en.wikipedia.org/wiki/Alabama",""
"Zeta Gamma","December 1, 1962","Norfolk State University","https://en.wikipedia.org/wiki/Norfolk_State_University","Norfolk","https://en.wikipedia.org/wiki/Norfolk,_Virginia","Active","20","https://en.wikipedia.org/wiki/List_of_Zeta_Phi_Beta_chapters#cite_note-:33-27","[","]","","Virginia","https://en.wikipedia.org/wiki/Virginia",""
"","","University of Tulsa","https://en.wikipedia.org/wiki/University_of_Tulsa","Tulsa","https://en.wikipedia.org/wiki/Tulsa,_Oklahoma","Inactive","","","","","196x ?–xxxx ?","Oklahoma","https://en.wikipedia.org/wiki/Oklahoma","Eta Gamma"
"","","Barber–Scotia College","https://en.wikipedia.org/wiki/Barber%E2%80%93Scotia_College","Concord","https://en.wikipedia.org/wiki/Concord,_North_Carolina","Inactive","","","","","196x ?–xxxx ?","North Carolina","https://en.wikipedia.org/wiki/North_Carolina","Theta Gamma"
"Iota Gamma","May 25, 1965","Rust College","https://en.wikipedia.org/wiki/Rust_College","Holly Springs","https://en.wikipedia.org/wiki/Holly_Springs,_Mississippi","Active","","","","","","Mississippi","https://en.wikipedia.org/wiki/Mississippi",""
"Kappa Gamma","November 1966","Fisk University","https://en.wikipedia.org/wiki/Fisk_University","Old Hickory","https://en.wikipedia.org/wiki/Old_Hickory,_Tennessee","Active","","","","","","Tennessee","https://en.wikipedia.org/wiki/Tennessee",""
"Lambda Gamma","April 29, 1969","McNeese State University","https://en.wikipedia.org/wiki/McNeese_State_University","Lake Charles","https://en.wikipedia.org/wiki/Lake_Charles,_Louisiana","Active","","","","","","Louisiana","https://en.wikipedia.org/wiki/Louisiana",""
"Mu Gamma","1969","Edward Waters University","https://en.wikipedia.org/wiki/Edward_Waters_University","Jacksonville","https://en.wikipedia.org/wiki/Jacksonville,_Florida","Active","","","","","","Florida","https://en.wikipedia.org/wiki/Florida",""
"Nu Gamma","1968","Coppin State University","https://en.wikipedia.org/wiki/Coppin_State_University","Baltimore","https://en.wikipedia.org/wiki/Baltimore","Active","","","","","","Maryland","https://en.wikipedia.org/wiki/Maryland",""
"Xi Gamma","1968","Ohio State University","https://en.wikipedia.org/wiki/Ohio_State_University","Columbus","https://en.wikipedia.org/wiki/Columbus,_Ohio","Active","","","","","","Ohio","https://en.wikipedia.org/wiki/Ohio",""
"","1968","Bowie State University","https://en.wikipedia.org/wiki/Bowie_State_University","Prince George's County","https://en.wikipedia.org/wiki/Prince_George%27s_County,_Maryland","Inactive","15","https://en.wikipedia.org/wiki/List_of_Zeta_Phi_Beta_chapters#cite_note-:7-19","[","]","–20xx ?","Maryland","https://en.wikipedia.org/wiki/Maryland","Omicron Gamma"
"","","Oklahoma","https://en.wikipedia.org/wiki/Oklahoma","","","Inactive","","","","","196x ?–xxxx ?","","","Pi Gamma"
"Rho Gamma","May 1968","University of Memphis","https://en.wikipedia.org/wiki/University_of_Memphis","Memphis","https://en.wikipedia.org/wiki/Memphis,_Tennessee","Active","30","https://en.wikipedia.org/wiki/List_of_Zeta_Phi_Beta_chapters#cite_note-:18-45","[","]","","Tennessee","https://en.wikipedia.org/wiki/Tennessee",""
"Sigma Gamma","September 1968","Houston","https://en.wikipedia.org/wiki/Houston","Texas","https://en.wikipedia.org/wiki/Texas","Active","","","","","","","",""
"Tau Gamma","November 21, 1968","Lane College","https://en.wikipedia.org/wiki/Lane_College","Jackson","https://en.wikipedia.org/wiki/Jackson,_Tennessee","Active","","","","","","Tennessee","https://en.wikipedia.org/wiki/Tennessee",""
"","","Shreveport","https://en.wikipedia.org/wiki/Shreveport,_Louisiana","Louisiana","https://en.wikipedia.org/wiki/Louisiana","Inactive","","","","","196x ?–xxxx ?","","","Upsilon Gamma"
"Phi Gamma","September 15, 1960","Michigan State University","https://en.wikipedia.org/wiki/Michigan_State_University","East Lansing","https://en.wikipedia.org/wiki/East_Lansing,_Michigan","Active","16","https://en.wikipedia.org/wiki/List_of_Zeta_Phi_Beta_chapters#cite_note-:0-21","[","]","","Michigan","https://en.wikipedia.org/wiki/Michigan",""
"Chi Gamma","1969","Bennett College","https://en.wikipedia.org/wiki/Bennett_College","Greensboro","https://en.wikipedia.org/wiki/Greensboro,_North_Carolina","Active","","","","","","North Carolina","https://en.wikipedia.org/wiki/North_Carolina",""
"","","Mississippi Valley State University","https://en.wikipedia.org/wiki/Mississippi_Valley_State_University","Mississippi","https://en.wikipedia.org/wiki/Mississippi","Inactive","15","https://en.wikipedia.org/wiki/List_of_Zeta_Phi_Beta_chapters#cite_note-:7-19","[","]","19xx ?–20xx ?","","","Psi Gamma"
"","1969","Prairie View A&M University","https://en.wikipedia.org/wiki/Prairie_View_A%26M_University","Prairie View","https://en.wikipedia.org/wiki/Prairie_View,_Texas","Inactive","15","https://en.wikipedia.org/wiki/List_of_Zeta_Phi_Beta_chapters#cite_note-:7-19","[","]","–20xx ?","Texas","https://en.wikipedia.org/wiki/Texas","Omega Gamma"
"","","Selma University","https://en.wikipedia.org/wiki/Selma_University","Selma","https://en.wikipedia.org/wiki/Selma,_Alabama","Inactive","40","https://en.wikipedia.org/wiki/List_of_Zeta_Phi_Beta_chapters#cite_note-:11-66","[","]","19xx ?–xxxx ?","Alabama","https://en.wikipedia.org/wiki/Alabama","Alpha Delta"
"Beta Delta","1970","Xavier University","https://en.wikipedia.org/wiki/Xavier_University","New Orleans","https://en.wikipedia.org/wiki/New_Orleans","Active","","","","","","Louisiana","https://en.wikipedia.org/wiki/Louisiana",""
"Gamma Delta","May 16, 1970","University of Michigan","https://en.wikipedia.org/wiki/University_of_Michigan","Ann Arbor","https://en.wikipedia.org/wiki/Ann_Arbor,_Michigan","Active","41","https://en.wikipedia.org/wiki/List_of_Zeta_Phi_Beta_chapters#cite_note-67","[","]","","Michigan","https://en.wikipedia.org/wiki/Michigan",""
"Delta Delta","1969","Lincoln University","https://en.wikipedia.org/wiki/Lincoln_University_(Pennsylvania)","Lincoln University","https://en.wikipedia.org/wiki/Lincoln_University,_Pennsylvania_(CDP)","Active","","","","","","Pennsylvania","https://en.wikipedia.org/wiki/Pennsylvania",""
"Epsilon Delta","December 4, 1971","Lamar University","https://en.wikipedia.org/wiki/Lamar_University","Beaumont","https://en.wikipedia.org/wiki/Beaumont,_Texas","Active","42","https://en.wikipedia.org/wiki/List_of_Zeta_Phi_Beta_chapters#cite_note-68","[","]","","Texas","https://en.wikipedia.org/wiki/Texas",""
"Zeta Delta","January 31, 1972","Jarvis Christian University","https://en.wikipedia.org/wiki/Jarvis_Christian_University","Hawkins","https://en.wikipedia.org/wiki/Hawkins,_Texas","Active","","","","","","Texas","https://en.wikipedia.org/wiki/Texas",""
"Eta Delta","May 1, 1971","Northern Illinois University","https://en.wikipedia.org/wiki/Northern_Illinois_University","DeKalb","https://en.wikipedia.org/wiki/DeKalb,_Illinois","Active","43","https://en.wikipedia.org/wiki/List_of_Zeta_Phi_Beta_chapters#cite_note-69","[","]","","Illinois","https://en.wikipedia.org/wiki/Illinois",""
"Theta Delta","1971","Wayne State University","https://en.wikipedia.org/wiki/Wayne_State_University","Detroit","https://en.wikipedia.org/wiki/Detroit","Active","16","https://en.wikipedia.org/wiki/List_of_Zeta_Phi_Beta_chapters#cite_note-:0-21","[","]","","Michigan","https://en.wikipedia.org/wiki/Michigan",""
"Iota Delta","1971","Miles College","https://en.wikipedia.org/wiki/Miles_College","Birmingham","https://en.wikipedia.org/wiki/Birmingham,_Alabama","Active","","","","","","Alabama","https://en.wikipedia.org/wiki/Alabama",""
"Kappa Delta","1971","Paine College","https://en.wikipedia.org/wiki/Paine_College","Augusta","https://en.wikipedia.org/wiki/Augusta,_Georgia","Active","","","","","","Georgia","https://en.wikipedia.org/wiki/Georgia_(U.S._state)",""
"Lambda Delta","1971","University of Tennessee at Chattanooga","https://en.wikipedia.org/wiki/University_of_Tennessee_at_Chattanooga","Chattanooga","https://en.wikipedia.org/wiki/Chattanooga,_Tennessee","Active","","","","","","Tennessee","https://en.wikipedia.org/wiki/Tennessee",""
"","","Southern Illinois University Carbondale","https://en.wikipedia.org/wiki/Southern_Illinois_University_Carbondale","Carbondale","https://en.wikipedia.org/wiki/Carbondale,_Illinois","Inactive","15","https://en.wikipedia.org/wiki/List_of_Zeta_Phi_Beta_chapters#cite_note-:7-19","[","]","197x ?–20xx ?","Illinois","https://en.wikipedia.org/wiki/Illinois","Mu Delta"
"Nu Delta","April 15, 1972","Champaign","https://en.wikipedia.org/wiki/Champaign,_Illinois","Illinois","https://en.wikipedia.org/wiki/Illinois","Active","44","https://en.wikipedia.org/wiki/List_of_Zeta_Phi_Beta_chapters#cite_note-71","[","]","","","",""
"Xi Delta","December 3, 1971","University of Pittsburgh","https://en.wikipedia.org/wiki/University_of_Pittsburgh","Pittsburgh","https://en.wikipedia.org/wiki/Pittsburgh","Active","","","","","","Pennsylvania","https://en.wikipedia.org/wiki/Pennsylvania",""
"Omicron Delta","1975","Eastern Illinois University","https://en.wikipedia.org/wiki/Eastern_Illinois_University","Charleston","https://en.wikipedia.org/wiki/Charleston,_Illinois","Active","","","","","","Illinois","https://en.wikipedia.org/wiki/Illinois",""
"Pi Delta","February 5, 1972","Eastern Michigan University","https://en.wikipedia.org/wiki/Eastern_Michigan_University","Ypsilanti","https://en.wikipedia.org/wiki/Ypsilanti,_Michigan","Active","16","https://en.wikipedia.org/wiki/List_of_Zeta_Phi_Beta_chapters#cite_note-:0-21","[","]","","Michigan","https://en.wikipedia.org/wiki/Michigan",""
"","1972","University of North Texas","https://en.wikipedia.org/wiki/University_of_North_Texas","Denton","https://en.wikipedia.org/wiki/Denton,_Texas","Inactive","15","https://en.wikipedia.org/wiki/List_of_Zeta_Phi_Beta_chapters#cite_note-:7-19","[","]","–198x ?, 1995–20xx ?","Texas","https://en.wikipedia.org/wiki/Texas","Rho Delta"
"Sigma Delta","September 19, 1972","University of Miami","https://en.wikipedia.org/wiki/University_of_Miami","Coral Gables","https://en.wikipedia.org/wiki/Coral_Gables,_Florida","Active","45","https://en.wikipedia.org/wiki/List_of_Zeta_Phi_Beta_chapters#cite_note-73","[","]","","Florida","https://en.wikipedia.org/wiki/Florida",""
"","1972","Western Michigan University","https://en.wikipedia.org/wiki/Western_Michigan_University","Kalamazoo","https://en.wikipedia.org/wiki/Kalamazoo,_Michigan","Inactive","9","https://en.wikipedia.org/wiki/List_of_Zeta_Phi_Beta_chapters#cite_note-:6-10","[","]","–20xx ?","Michigan","https://en.wikipedia.org/wiki/Michigan","Tau Delta"
"","","Southeastern Oklahoma State University","https://en.wikipedia.org/wiki/Southeastern_Oklahoma_State_University","Durant, Oklahoma","https://en.wikipedia.org/wiki/Durant,_Oklahoma","Inactive","","","","","197x ?–xxxx ?","Oklahoma","https://en.wikipedia.org/wiki/Oklahoma","Upsilon Delta"
"Phi Delta","May 6, 1973","Bradley University","https://en.wikipedia.org/wiki/Bradley_University","Peoria","https://en.wikipedia.org/wiki/Peoria,_Illinois","Active","","","","","","Illinois","https://en.wikipedia.org/wiki/Illinois",""
"Chi Delta","February 4, 1974","Texas Woman's University","https://en.wikipedia.org/wiki/Texas_Woman%27s_University","Denton","https://en.wikipedia.org/wiki/Denton,_Texas","Active","","","","","","Texas","https://en.wikipedia.org/wiki/Texas",""
"Psi Delta","January 19, 1974","Stephen F. Austin State University","https://en.wikipedia.org/wiki/Stephen_F._Austin_State_University","Nacogdoches","https://en.wikipedia.org/wiki/Nacogdoches,_Texas","Active","","","","","","Texas","https://en.wikipedia.org/wiki/Texas",""
"Omega Delta","January 20, 1972","Western Kentucky University","https://en.wikipedia.org/wiki/Western_Kentucky_University","Bowling Green","https://en.wikipedia.org/wiki/Bowling_Green,_Kentucky","Active","46","https://en.wikipedia.org/wiki/List_of_Zeta_Phi_Beta_chapters#cite_note-74","[","]","","Kentucky","https://en.wikipedia.org/wiki/Kentucky",""
"Alpha Epsilon","1973","East Texas A&M University","https://en.wikipedia.org/wiki/East_Texas_A%26M_University","Commerce","https://en.wikipedia.org/wiki/Commerce,_Texas","Active","ac","https://en.wikipedia.org/wiki/List_of_Zeta_Phi_Beta_chapters#cite_note-75","[","]","","Texas","https://en.wikipedia.org/wiki/Texas",""
"","1974","Ohio University","https://en.wikipedia.org/wiki/Ohio_University","Athens","https://en.wikipedia.org/wiki/Athens,_Ohio","Inactive","15","https://en.wikipedia.org/wiki/List_of_Zeta_Phi_Beta_chapters#cite_note-:7-19","[","]","–201x ?","Ohio","https://en.wikipedia.org/wiki/Ohio","Beta Epsilon"
"","","Wilberforce University","https://en.wikipedia.org/wiki/Wilberforce_University","Wilberforce","https://en.wikipedia.org/wiki/Wilberforce,_Ohio","Inactive","","","","","197x ?–xxxx ?","Ohio","https://en.wikipedia.org/wiki/Ohio","Gamma Epsilon"
"Delta Epsilon","April 23, 1973","Indiana University Bloomington","https://en.wikipedia.org/wiki/Indiana_University_Bloomington","Bloomington","https://en.wikipedia.org/wiki/Bloomington,_Indiana","Active","47","https://en.wikipedia.org/wiki/List_of_Zeta_Phi_Beta_chapters#cite_note-76","[","]","","Indiana","https://en.wikipedia.org/wiki/Indiana",""
"","","","","","","Inactive","","","","","197x ?–xxxx ?","","","Epsilon Epsilon"
"Zeta Epsilon","1973","PennWest California","https://en.wikipedia.org/wiki/PennWest_California","California","https://en.wikipedia.org/wiki/California,_Pennsylvania","Active","48","https://en.wikipedia.org/wiki/List_of_Zeta_Phi_Beta_chapters#cite_note-77","[","]","–2010, 2016","Pennsylvania","https://en.wikipedia.org/wiki/Pennsylvania",""
"Eta Epsilon","1973","University of Maryland, College Park","https://en.wikipedia.org/wiki/University_of_Maryland,_College_Park","College Park","https://en.wikipedia.org/wiki/College_Park,_Maryland","Active","49","https://en.wikipedia.org/wiki/List_of_Zeta_Phi_Beta_chapters#cite_note-78","[","]","","Maryland","https://en.wikipedia.org/wiki/Maryland",""
"Theta Epsilon","","Voorhees College","https://en.wikipedia.org/wiki/Voorhees_University","Denmark","https://en.wikipedia.org/wiki/Denmark,_South_Carolina","Active","","","","","197x ?","South Carolina","https://en.wikipedia.org/wiki/South_Carolina",""
"Iota Epsilon","March 30, 1973","University of Dayton","https://en.wikipedia.org/wiki/University_of_Dayton","Dayton","https://en.wikipedia.org/wiki/Dayton,_Ohio","Active","50","https://en.wikipedia.org/wiki/List_of_Zeta_Phi_Beta_chapters#cite_note-79","[","]","","Ohio","https://en.wikipedia.org/wiki/Ohio",""
"Kappa Epsilon","1974","Columbus State University","https://en.wikipedia.org/wiki/Columbus_State_University","Columbus","https://en.wikipedia.org/wiki/Columbus,_Georgia","Active","","","","","","Georgia","https://en.wikipedia.org/wiki/Georgia_(U.S._state)",""
"","June 3, 1973","Illinois State University","https://en.wikipedia.org/wiki/Illinois_State_University","Normal","https://en.wikipedia.org/wiki/Normal,_Illinois","Inactive","15","https://en.wikipedia.org/wiki/List_of_Zeta_Phi_Beta_chapters#cite_note-:7-19","[","]","– 20xx ?","Illinois","https://en.wikipedia.org/wiki/Illinois","Lambda Epsilon"
"Mu Epsilon","April 3, 1974","University of Florida","https://en.wikipedia.org/wiki/University_of_Florida","Gainesville","https://en.wikipedia.org/wiki/Gainesville,_Florida","Active","51","https://en.wikipedia.org/wiki/List_of_Zeta_Phi_Beta_chapters#cite_note-81","[","]","","Florida","https://en.wikipedia.org/wiki/Florida",""
"","1974","Loyola Marymount University","https://en.wikipedia.org/wiki/Loyola_Marymount_University","California","https://en.wikipedia.org/wiki/California","Inactive","","","","","–19xx?","","","Nu Epsilon"
"Xi Epsilon","1974","Northwestern State University","https://en.wikipedia.org/wiki/Northwestern_State_University","Natchitoches","https://en.wikipedia.org/wiki/Natchitoches,_Louisiana","Active","","","","","","Louisiana","https://en.wikipedia.org/wiki/Louisiana",""
"Omicron Epsilon","April 16, 1974","College of New Jersey","https://en.wikipedia.org/wiki/The_College_of_New_Jersey","Ewing Township","https://en.wikipedia.org/wiki/Ewing_Township,_New_Jersey","Active","33","https://en.wikipedia.org/wiki/List_of_Zeta_Phi_Beta_chapters#cite_note-:19-48","[","]","","New Jersey","https://en.wikipedia.org/wiki/New_Jersey",","
"Pi Epsilon","October 10, 1974","University of Tennessee","https://en.wikipedia.org/wiki/University_of_Tennessee","Knoxville","https://en.wikipedia.org/wiki/Knoxville,_Tennessee","Active","52","https://en.wikipedia.org/wiki/List_of_Zeta_Phi_Beta_chapters#cite_note-82","[","]","","Tennessee","https://en.wikipedia.org/wiki/Tennessee",""
"Rho Epsilon","May 2, 1975","Louisiana State University","https://en.wikipedia.org/wiki/Louisiana_State_University","Baton Rouge","https://en.wikipedia.org/wiki/Baton_Rouge,_Louisiana","Active","53","https://en.wikipedia.org/wiki/List_of_Zeta_Phi_Beta_chapters#cite_note-83","[","]","","Louisiana","https://en.wikipedia.org/wiki/Louisiana",""
"Sigma Epsilon","1974","University of Central Florida","https://en.wikipedia.org/wiki/University_of_Central_Florida","Orlando","https://en.wikipedia.org/wiki/Orlando,_Florida","Active","","","","","","Florida","https://en.wikipedia.org/wiki/Florida",""
"","","University of Redlands","https://en.wikipedia.org/wiki/University_of_Redlands","Redlands","https://en.wikipedia.org/wiki/Redlands,_California","Inactive","","","","","197x ?–xxxx ?","California","https://en.wikipedia.org/wiki/California","Tau Epsilon"
"Upsilon Epsilon","February 14, 1975","University of Akron","https://en.wikipedia.org/wiki/University_of_Akron","Akron","https://en.wikipedia.org/wiki/Akron,_Ohio","Active","54","https://en.wikipedia.org/wiki/List_of_Zeta_Phi_Beta_chapters#cite_note-84","[","]","","Ohio","https://en.wikipedia.org/wiki/Ohio",""
"Phi Epsilon","January 27, 1975","University of Houston","https://en.wikipedia.org/wiki/University_of_Houston","Houston","https://en.wikipedia.org/wiki/Houston","Active","55","https://en.wikipedia.org/wiki/List_of_Zeta_Phi_Beta_chapters#cite_note-85","[","]","","Texas","https://en.wikipedia.org/wiki/Texas",""
