"tablescraper-selected-row","tablescraper-selected-row 2","tablescraper-selected-row 3","tablescraper-selected-row 4","tablescraper-selected-row href","tablescraper-selected-row 5","tablescraper-selected-row href 2","tablescraper-selected-row 6","tablescraper-selected-row href 3","tablescraper-selected-row 7","reference","reference href","cite-bracket","cite-bracket 2","tablescraper-selected-row 8","tablescraper-selected-row 9"
"43","Alpha Chi","December 4, 1927","Fisk University","https://en.wikipedia.org/wiki/Fisk_University","Nashville","https://en.wikipedia.org/wiki/Nashville,_Tennessee","Tennessee","https://en.wikipedia.org/wiki/Tennessee","Active","","","","","",""
"48","Beta Delta","March 23, 1929","South Carolina State University","https://en.wikipedia.org/wiki/South_Carolina_State_University","Orangeburg","https://en.wikipedia.org/wiki/Orangeburg,_South_Carolina","South Carolina","https://en.wikipedia.org/wiki/South_Carolina","Active","","","","","",""
"49","Beta Epsilon","March 28, 1929","North Carolina A&T State University","https://en.wikipedia.org/wiki/North_Carolina_A%26T_State_University","Greensboro","https://en.wikipedia.org/wiki/Greensboro,_North_Carolina","North Carolina","https://en.wikipedia.org/wiki/North_Carolina","Active","17","https://en.wikipedia.org/wiki/List_of_Alpha_Phi_Alpha_chapters#cite_note-:2-35","[","]","",""
"50","","May 4, 1929","Austin","https://en.wikipedia.org/wiki/Austin,_Texas","Texas","https://en.wikipedia.org/wiki/Texas","","","Inactive","x","https://en.wikipedia.org/wiki/List_of_Alpha_Phi_Alpha_chapters#cite_note-43","[","]","Beta Zeta First","–1952"
"44","Alpha Psi","May 24, 1930","Lincoln University","https://en.wikipedia.org/wiki/Lincoln_University_(Missouri)","Jefferson City","https://en.wikipedia.org/wiki/Jefferson_City,_Missouri","Missouri","https://en.wikipedia.org/wiki/Missouri","Active","","","","","",""
"52","","March 5, 1932","Bluefield","https://en.wikipedia.org/wiki/Bluefield,_West_Virginia","West Virginia","https://en.wikipedia.org/wiki/West_Virginia","","","Inactive","y","https://en.wikipedia.org/wiki/List_of_Alpha_Phi_Alpha_chapters#cite_note-44","[","]","Beta Theta","–xxxx ?"
"54","Beta Kappa","March 12, 1932","Langston University","https://en.wikipedia.org/wiki/Langston_University","Langston","https://en.wikipedia.org/wiki/Langston,_Oklahoma","Oklahoma","https://en.wikipedia.org/wiki/Oklahoma","Active","z","https://en.wikipedia.org/wiki/List_of_Alpha_Phi_Alpha_chapters#cite_note-45","[","]","",""
"56","Beta Nu","April 23, 1932","Florida A&M University","https://en.wikipedia.org/wiki/Florida_A%26M_University","Tallahassee","https://en.wikipedia.org/wiki/Tallahassee,_Florida","Florida","https://en.wikipedia.org/wiki/Florida","Active","","","","","",""
"55","Beta Mu","April 28, 1932","Kentucky State University","https://en.wikipedia.org/wiki/Kentucky_State_University","Frankfort","https://en.wikipedia.org/wiki/Frankfort,_Kentucky","Kentucky","https://en.wikipedia.org/wiki/Kentucky","Active","","","","","",""
"51","Beta Eta","April 12, 1934","Southern Illinois University Carbondale","https://en.wikipedia.org/wiki/Southern_Illinois_University_Carbondale","Carbondale","https://en.wikipedia.org/wiki/Carbondale,_Illinois","Illinois","https://en.wikipedia.org/wiki/Illinois","Active","20","https://en.wikipedia.org/wiki/List_of_Alpha_Phi_Alpha_chapters#cite_note-46","[","]","",""
"57","Beta Xi","April 28, 1934","LeMoyne–Owen College","https://en.wikipedia.org/wiki/LeMoyne%E2%80%93Owen_College","Memphis","https://en.wikipedia.org/wiki/Memphis,_Tennessee","Tennessee","https://en.wikipedia.org/wiki/Tennessee","Active","","","","","",""
"37","Alpha Pi","May 7, 1934","University of Louisville","https://en.wikipedia.org/wiki/University_of_Louisville","Louisville","https://en.wikipedia.org/wiki/Louisville,_Kentucky","Kentucky","https://en.wikipedia.org/wiki/Kentucky","Active","ab","https://en.wikipedia.org/wiki/List_of_Alpha_Phi_Alpha_chapters#cite_note-48","[","]","",""
"58","Beta Omicron","May 7, 1934","Tennessee State University","https://en.wikipedia.org/wiki/Tennessee_State_University","Nashville","https://en.wikipedia.org/wiki/Nashville,_Tennessee","Tennessee","https://en.wikipedia.org/wiki/Tennessee","Active","","","","","",""
"53","","December 6, 1935","Kalamazoo","https://en.wikipedia.org/wiki/Kalamazoo,_Michigan","Michigan","https://en.wikipedia.org/wiki/Michigan","","","Inactive","","","","","Beta Iota","–19xx ?"
"59","Beta Pi","February 21, 1936","Lane College","https://en.wikipedia.org/wiki/Lane_College","Jackson","https://en.wikipedia.org/wiki/Jackson,_Tennessee","Tennessee","https://en.wikipedia.org/wiki/Tennessee","Active","","","","","",""
"63","Beta Upsilon","April 15, 1936","Alabama State University","https://en.wikipedia.org/wiki/Alabama_State_University","Montgomery","https://en.wikipedia.org/wiki/Montgomery,_Alabama","Alabama","https://en.wikipedia.org/wiki/Alabama","Active","14","https://en.wikipedia.org/wiki/List_of_Alpha_Phi_Alpha_chapters#cite_note-:11-26","[","]","",""
"60","Beta Rho","December 31, 1936","Shaw University","https://en.wikipedia.org/wiki/Shaw_University","Raleigh","https://en.wikipedia.org/wiki/Raleigh,_North_Carolina","North Carolina","https://en.wikipedia.org/wiki/North_Carolina","Active","17","https://en.wikipedia.org/wiki/List_of_Alpha_Phi_Alpha_chapters#cite_note-:2-35","[","]","",""
