"tablescraper-selected-row","tablescraper-selected-row 2","tablescraper-selected-row 3","tablescraper-selected-row href","tablescraper-selected-row 4","tablescraper-selected-row href 2","tablescraper-selected-row 5","reference","reference href","cite-bracket","cite-bracket 2","tablescraper-selected-row 8"
"Alpha Alpha Zeta","April 14, 1938","Salisbury","https://en.wikipedia.org/wiki/Salisbury,_North_Carolina","North Carolina","https://en.wikipedia.org/wiki/North_Carolina","Active","211","https://en.wikipedia.org/wiki/List_of_Zeta_Phi_Beta_chapters#cite_note-263","[","]",""
"Beta Alpha Zeta","April 12, 1944","Duval County","https://en.wikipedia.org/wiki/Duval_County,_Florida","Florida","https://en.wikipedia.org/wiki/Florida","Active","212","https://en.wikipedia.org/wiki/List_of_Zeta_Phi_Beta_chapters#cite_note-264","[","]",""
"Gamma Alpha Zeta","","Corpus Christi","https://en.wikipedia.org/wiki/Corpus_Christi,_Texas","Texas","https://en.wikipedia.org/wiki/Texas","Active","","","","",""
"Delta Alpha Zeta","April 22, 1949","Brooklyn","https://en.wikipedia.org/wiki/Brooklyn","New York","https://en.wikipedia.org/wiki/New_York_(state)","Active","213","https://en.wikipedia.org/wiki/List_of_Zeta_Phi_Beta_chapters#cite_note-265","[","]",""
"Epsilon Alpha Zeta","","Grambling","https://en.wikipedia.org/wiki/Grambling,_Louisiana","Louisiana","https://en.wikipedia.org/wiki/Louisiana","Active","","","","",""
"Zeta Alpha Zeta","November 12, 1970","Frankfort","https://en.wikipedia.org/wiki/Frankfort,_Kentucky","Kentucky","https://en.wikipedia.org/wiki/Kentucky","Active","214","https://en.wikipedia.org/wiki/List_of_Zeta_Phi_Beta_chapters#cite_note-266","[","]",""
"Eta Alpha Zeta","November 20, 1967","Fort Myers","https://en.wikipedia.org/wiki/Fort_Myers,_Florida","Florida","https://en.wikipedia.org/wiki/Florida","Active","215","https://en.wikipedia.org/wiki/List_of_Zeta_Phi_Beta_chapters#cite_note-267","[","]",""
"Theta Alpha Zeta","June 7, 1975","Rochester","https://en.wikipedia.org/wiki/Rochester,_New_York","New York","https://en.wikipedia.org/wiki/New_York_(state)","Active","216","https://en.wikipedia.org/wiki/List_of_Zeta_Phi_Beta_chapters#cite_note-268","[","]",""
"Iota Alpha Zeta","","Madison County","https://en.wikipedia.org/wiki/Madison_County,_Florida","Florida","https://en.wikipedia.org/wiki/Florida","Active","","","","",""
"Kappa Alpha Zeta","","Moncks Corner","https://en.wikipedia.org/wiki/Moncks_Corner,_South_Carolina","South Carolina","https://en.wikipedia.org/wiki/South_Carolina","Active","","","","",""
