"tablescraper-selected-row","tablescraper-selected-row 2","tablescraper-selected-row 3","tablescraper-selected-row href","tablescraper-selected-row 4","tablescraper-selected-row href 2","tablescraper-selected-row 5","reference","reference href","cite-bracket","cite-bracket 2","tablescraper-selected-row 8"
"Rho Delta Zeta","","Washtenaw County","https://en.wikipedia.org/wiki/Washtenaw_County,_Michigan","Michigan","https://en.wikipedia.org/wiki/Michigan","Active","225","https://en.wikipedia.org/wiki/List_of_Zeta_Phi_Beta_chapters#cite_note-:28-277","[","]",""
"Sigma Delta Zeta","March 18, 2001","Henrico","https://en.wikipedia.org/wiki/Henrico,_Virginia","Virginia","https://en.wikipedia.org/wiki/Virginia","Active","250","https://en.wikipedia.org/wiki/List_of_Zeta_Phi_Beta_chapters#cite_note-302","[","]",""
"Tau Delta Zeta","April 10, 2003","Laurel","https://en.wikipedia.org/wiki/Laurel,_Maryland","Princes George's County","https://en.wikipedia.org/wiki/Prince_George%27s_County,_Maryland","Active","220","https://en.wikipedia.org/wiki/List_of_Zeta_Phi_Beta_chapters#cite_note-:13-272","[","]","Maryland"
"Upsilon Delta Zeta","","Martinsville","https://en.wikipedia.org/wiki/Martinsville,_Virginia","Virginia","https://en.wikipedia.org/wiki/Virginia","Active","","","","",""
"Phi Delta Zeta","","Manchester","https://en.wikipedia.org/wiki/Manchester,_Connecticut","Connecticut","https://en.wikipedia.org/wiki/Connecticut","Active","","","","",""
"Chi Delta Zeta","August 2, 2008","Lenexa","https://en.wikipedia.org/wiki/Lenexa,_Kansas","Kansas","https://en.wikipedia.org/wiki/Kansas","Active","252","https://en.wikipedia.org/wiki/List_of_Zeta_Phi_Beta_chapters#cite_note-304","[","]",""
"","","","","","","Inactive","","","","","Psi Delta Zeta"
"Omega Delta Zeta","September 1, 2011","Friendswood","https://en.wikipedia.org/wiki/Friendswood,_Texas","Texas","https://en.wikipedia.org/wiki/Texas","Active","253","https://en.wikipedia.org/wiki/List_of_Zeta_Phi_Beta_chapters#cite_note-305","[","]",""
"Alpha Epsilon Zeta","February 4, 1939","Kansas City","https://en.wikipedia.org/wiki/Kansas_City,_Missouri","Kansas","https://en.wikipedia.org/wiki/Kansas","Active","19","https://en.wikipedia.org/wiki/List_of_Zeta_Phi_Beta_chapters#cite_note-:3-24","[","]",""
"Beta Epsilon Zeta","","Shreveport","https://en.wikipedia.org/wiki/Shreveport,_Louisiana","Louisiana","https://en.wikipedia.org/wiki/Louisiana","Active","","","","",""
"Gamma Epsilon Zeta","May 1957","Concord","https://en.wikipedia.org/wiki/Concord,_North_Carolina","North Carolina","https://en.wikipedia.org/wiki/North_Carolina","Active","254","https://en.wikipedia.org/wiki/List_of_Zeta_Phi_Beta_chapters#cite_note-306","[","]",""
"Delta Epsilon Zeta","June 1, 1949","West Palm Beach","https://en.wikipedia.org/wiki/West_Palm_Beach,_Florida","Florida","https://en.wikipedia.org/wiki/Florida","Active","255","https://en.wikipedia.org/wiki/List_of_Zeta_Phi_Beta_chapters#cite_note-307","[","]",""
"Epsilon Epsilon Zeta","October 27, 1954","Orange County","https://en.wikipedia.org/wiki/Orange_County,_Florida","Orlando","https://en.wikipedia.org/wiki/Orlando,_Florida","Active","171","https://en.wikipedia.org/wiki/List_of_Zeta_Phi_Beta_chapters#cite_note-:22-222","[","]","Florida"
"Zeta Epsilon Zeta","November 11, 1960","Lawton","https://en.wikipedia.org/wiki/Lawton,_Oklahoma","Oklahoma","https://en.wikipedia.org/wiki/Oklahoma","Active","107","https://en.wikipedia.org/wiki/List_of_Zeta_Phi_Beta_chapters#cite_note-:4-143","[","]",""
"","","Odessa","https://en.wikipedia.org/wiki/Odessa,_Texas","Texas","https://en.wikipedia.org/wiki/Texas","Inactive","196","https://en.wikipedia.org/wiki/List_of_Zeta_Phi_Beta_chapters#cite_note-:23-247","[","]","Eta Epsilon Zeta"
"Theta Epsilon Zeta","January 23, 1976","Nassau","https://en.wikipedia.org/wiki/Nassau,_Bahamas","New Providence","https://en.wikipedia.org/wiki/New_Providence","Active","","","","","The Bahamas"
"","","","","","","Inactive","","","","","Iota Epsilon Zeta"
"Kappa Epsilon Zeta","February 27, 1980","Bronx","https://en.wikipedia.org/wiki/The_Bronx","New York","https://en.wikipedia.org/wiki/New_York_(state)","Active","257","https://en.wikipedia.org/wiki/List_of_Zeta_Phi_Beta_chapters#cite_note-309","[","]",""
"Lambda Epsilon Zeta","","Lancaster","https://en.wikipedia.org/wiki/Lancaster,_South_Carolina","South Carolina","https://en.wikipedia.org/wiki/South_Carolina","Active","","","","",""
"","","","","","","Inactive","","","","","Mu Epsilon Zeta"
"Nu Epsilon Zeta","June 6, 1985","Lafayette","https://en.wikipedia.org/wiki/Lafayette,_Louisiana","Louisiana","https://en.wikipedia.org/wiki/Louisiana","Active","","","","",""
"Xi Epsilon Zeta","","Natchez","https://en.wikipedia.org/wiki/Natchez,_Mississippi","Mississippi","https://en.wikipedia.org/wiki/Mississippi","Active","223","https://en.wikipedia.org/wiki/List_of_Zeta_Phi_Beta_chapters#cite_note-:31-275","[","]",""
"Omicron Epsilon Zeta","","Albany","https://en.wikipedia.org/wiki/Albany,_New_York","New York","https://en.wikipedia.org/wiki/New_York_(state)","Active","","","","",""
"","","","","","","Inactive","","","","","Pi Epsilon Zeta"
"Rho Epsilon Zeta","December 18, 1998","Cobb County","https://en.wikipedia.org/wiki/Cobb_County,_Georgia","Georgia","https://en.wikipedia.org/wiki/Georgia_(U.S._state)","Active","","","","",""
"Sigma Epsilon Zeta","April 5, 1978","Ames","https://en.wikipedia.org/wiki/Ames,_Iowa","Iowa","https://en.wikipedia.org/wiki/Iowa","Active","","","","",""
"Tau Epsilon Zeta","May 31, 2003","Hope Mills","https://en.wikipedia.org/wiki/Hope_Mills,_North_Carolina","North Carolina","https://en.wikipedia.org/wiki/North_Carolina","Active","258","https://en.wikipedia.org/wiki/List_of_Zeta_Phi_Beta_chapters#cite_note-310","[","]",""
"Upsilon Epsilon Zeta","February 24, 2005","Lawrenceville","https://en.wikipedia.org/wiki/Lawrenceville,_Virginia","Virginia","https://en.wikipedia.org/wiki/Virginia","Active","","","","",""
"","","","","","","Inactive","","","","","Phi Epsilon Zeta"
"","","","","","","Inactive","","","","","Chi Epsilon Zeta"
"Psi Epsilon Zeta","March 10, 2010","Cullen","https://en.wikipedia.org/wiki/Cullen,_Louisiana","Louisiana","https://en.wikipedia.org/wiki/Louisiana","Active","","","","",""
"","","","","","","Inactive","","","","","Omega Epsilon Zeta"
"","","Beckley","https://en.wikipedia.org/wiki/Beckley,_West_Virginia","West Virginia","https://en.wikipedia.org/wiki/West_Virginia","Inactive","196","https://en.wikipedia.org/wiki/List_of_Zeta_Phi_Beta_chapters#cite_note-:23-247","[","]","Alpha Zeta Zeta"
"Beta Zeta Zeta","September 1943","Cincinnati","https://en.wikipedia.org/wiki/Cincinnati","Ohio","https://en.wikipedia.org/wiki/Ohio","Active","12","https://en.wikipedia.org/wiki/List_of_Zeta_Phi_Beta_chapters#cite_note-:32-15","[","]",""
"Gamma Zeta Zeta","September 4, 1943","Columbus","https://en.wikipedia.org/wiki/Columbus,_Ohio","Ohio","https://en.wikipedia.org/wiki/Ohio","Active","259","https://en.wikipedia.org/wiki/List_of_Zeta_Phi_Beta_chapters#cite_note-:35-312","[","]",""
"Delta Zeta Zeta","December 3, 1949","Prince George's County","https://en.wikipedia.org/wiki/Prince_George%27s_County,_Maryland","Maryland","https://en.wikipedia.org/wiki/Maryland","Active","220","https://en.wikipedia.org/wiki/List_of_Zeta_Phi_Beta_chapters#cite_note-:13-272","[","]",""
"Epsilon Zeta Zeta","March 7, 1954","Pine Bluff","https://en.wikipedia.org/wiki/Pine_Bluff,_Arkansas","Arkansas","https://en.wikipedia.org/wiki/Arkansas","Active","261","https://en.wikipedia.org/wiki/List_of_Zeta_Phi_Beta_chapters#cite_note-314","[","]",""
"Zeta Zeta Zeta","July 2, 1960","Denver","https://en.wikipedia.org/wiki/Denver","Colorado","https://en.wikipedia.org/wiki/Colorado","Active","262","https://en.wikipedia.org/wiki/List_of_Zeta_Phi_Beta_chapters#cite_note-315","[","]",""
"Eta Zeta Zeta","October 1969","Kansas City","https://en.wikipedia.org/wiki/Kansas_City,_Missouri","Missiouri","https://en.wikipedia.org/wiki/Missouri","Active","19","https://en.wikipedia.org/wiki/List_of_Zeta_Phi_Beta_chapters#cite_note-:3-24","[","]",""
"Theta Zeta Zeta","December 5, 1975","Dover","https://en.wikipedia.org/wiki/Dover,_Delaware","Delaware","https://en.wikipedia.org/wiki/Delaware","Active","263","https://en.wikipedia.org/wiki/List_of_Zeta_Phi_Beta_chapters#cite_note-316","[","]",""
"Iota Zeta Zeta","November 17, 1979","Minneapolis","https://en.wikipedia.org/wiki/Minneapolis","Minnesota","https://en.wikipedia.org/wiki/Minnesota","Active","141","https://en.wikipedia.org/wiki/List_of_Zeta_Phi_Beta_chapters#cite_note-:30-184","[","]",""
"","","","","","","Inactive","","","","","Kappa Zeta Zeta"
"Lambda Zeta Zeta","","Bessemer","https://en.wikipedia.org/wiki/Bessemer,_Alabama","Alabama","https://en.wikipedia.org/wiki/Alabama","Active","","","","",""
"Mu Zeta Zeta","","Somerville","https://en.wikipedia.org/wiki/Somerville,_Tennessee","Tennessee","https://en.wikipedia.org/wiki/Tennessee","Active","","","","",""
"Nu Zeta Zeta","","Pritchard","https://en.wikipedia.org/wiki/Prichard,_Alabama","Alabama","https://en.wikipedia.org/wiki/Alabama","Active","40","https://en.wikipedia.org/wiki/List_of_Zeta_Phi_Beta_chapters#cite_note-:11-66","[","]",""
"Xi Zeta Zeta","","San Jose","https://en.wikipedia.org/wiki/San_Jose,_California","California","https://en.wikipedia.org/wiki/California","Active","264","https://en.wikipedia.org/wiki/List_of_Zeta_Phi_Beta_chapters#cite_note-317","[","]",""
"Omicron Zeta Zeta","","Tucson","https://en.wikipedia.org/wiki/Tucson,_Arizona","Arizona","https://en.wikipedia.org/wiki/Arizona","Active","","","","",""
"Pi Zeta Zeta","August 21, 1995","Inland Empire","https://en.wikipedia.org/wiki/Inland_Empire","San Bernardino","https://en.wikipedia.org/wiki/San_Bernardino,_California","Active","265","https://en.wikipedia.org/wiki/List_of_Zeta_Phi_Beta_chapters#cite_note-:12-318","[","]","California"
"Rho Zeta Zeta","March 4, 1999","Greenville","https://en.wikipedia.org/wiki/Greenville,_North_Carolina","North Carolina","https://en.wikipedia.org/wiki/North_Carolina","Active","266","https://en.wikipedia.org/wiki/List_of_Zeta_Phi_Beta_chapters#cite_note-319","[","]",""
"Sigma Zeta Zeta","","Hudson County","https://en.wikipedia.org/wiki/Hudson_County,_New_Jersey","New Jersey","https://en.wikipedia.org/wiki/New_Jersey","Active","242","https://en.wikipedia.org/wiki/List_of_Zeta_Phi_Beta_chapters#cite_note-:15-294","[","]",""
"","","","","","","Inactive","","","","","Tau Zeta Zeta"
"Upsilon Zeta Zeta","February 25, 2005","Grandview","https://en.wikipedia.org/wiki/Grandview,_Missouri","Missiouri","https://en.wikipedia.org/wiki/Missouri","Active","267","https://en.wikipedia.org/wiki/List_of_Zeta_Phi_Beta_chapters#cite_note-320","[","]",""
"Phi Zeta Zeta","April 14, 2007","Queens","https://en.wikipedia.org/wiki/Queens","New York","https://en.wikipedia.org/wiki/New_York_(state)","Active","268","https://en.wikipedia.org/wiki/List_of_Zeta_Phi_Beta_chapters#cite_note-321","[","]",""
"Chi Zeta Zeta","","Wellington","https://en.wikipedia.org/wiki/Wellington,_Florida","Royal Palm Beach","https://en.wikipedia.org/wiki/Royal_Palm_Beach,_Florida","Active","","","","","Loxahatchee"
"Psi Zeta Zeta","March 24, 2010","Lake County","https://en.wikipedia.org/wiki/Lake_County,_Florida","Florida","https://en.wikipedia.org/wiki/Florida","Active","269","https://en.wikipedia.org/wiki/List_of_Zeta_Phi_Beta_chapters#cite_note-322","[","]",""
"Omega Zeta Zeta","November 7, 2011","Jacksonville","https://en.wikipedia.org/wiki/Jacksonville,_Florida","Jacksonville Beaches","https://en.wikipedia.org/wiki/Jacksonville_Beaches","Active","270","https://en.wikipedia.org/wiki/List_of_Zeta_Phi_Beta_chapters#cite_note-323","[","]","Florida"
"Alpha Eta Zeta","May 27, 1939","Memphis","https://en.wikipedia.org/wiki/Memphis,_Tennessee","Tennessee","https://en.wikipedia.org/wiki/Tennessee","Active","30","https://en.wikipedia.org/wiki/List_of_Zeta_Phi_Beta_chapters#cite_note-:18-45","[","]",""
"","","Los Angeles","https://en.wikipedia.org/wiki/Los_Angeles","California","https://en.wikipedia.org/wiki/California","Merged","28","https://en.wikipedia.org/wiki/List_of_Zeta_Phi_Beta_chapters#cite_note-:9-41","[","]","Beta Eta Zeta (see Alpha Psi Zeta)"
"Beta Eta Zeta","","Tuscaloosa","https://en.wikipedia.org/wiki/Tuscaloosa,_Alabama","Alabama","https://en.wikipedia.org/wiki/Alabama","Active","","","","",""
"Gamma Eta Zeta","","Selma","https://en.wikipedia.org/wiki/Selma,_Alabama","Alabama","https://en.wikipedia.org/wiki/Alabama","Active","","","","",""
"Delta Eta Zeta","February 1950","Fort Lauderdale","https://en.wikipedia.org/wiki/Fort_Lauderdale,_Florida","Broward County","https://en.wikipedia.org/wiki/Broward_County_Public_Schools","Active","","","","","Florida"
"Epsilon Eta Zeta","","Columbus","https://en.wikipedia.org/wiki/Columbus,_Georgia","Georgia","https://en.wikipedia.org/wiki/Georgia_(U.S._state)","Active","","","","",""
"Zeta Eta Zeta","","St. Lucie County","https://en.wikipedia.org/wiki/St._Lucie_County,_Florida","Fort Pierce","https://en.wikipedia.org/wiki/Fort_Pierce,_Florida","Active","","","","","Florida"
"Eta Eta Zeta","","Yanceyville","https://en.wikipedia.org/wiki/Yanceyville,_North_Carolina","North Carolina","https://en.wikipedia.org/wiki/North_Carolina","Active","","","","",""
"Theta Eta Zeta","","Thomasville","https://en.wikipedia.org/wiki/Thomasville,_Georgia","North Carolina","https://en.wikipedia.org/wiki/North_Carolina","Active","","","","",""
"Iota Eta Zeta","","Decatur","https://en.wikipedia.org/wiki/Decatur,_Georgia","Georgia","https://en.wikipedia.org/wiki/Georgia_(U.S._state)","Active","","","","",""
"Kappa Eta Zeta","","Camden","https://en.wikipedia.org/wiki/Camden,_South_Carolina","South Carolina","https://en.wikipedia.org/wiki/South_Carolina","Active","","","","",""
"Lambda Eta Zeta","December 4, 1981","Lumberton","https://en.wikipedia.org/wiki/Lumberton,_North_Carolina","North Carolina","https://en.wikipedia.org/wiki/North_Carolina","Active","","","","",""
"Mu Eta Zeta","","Carbondale","https://en.wikipedia.org/wiki/Carbondale,_Illinois","Illinois","https://en.wikipedia.org/wiki/Illinois","Active","","","","",""
"Nu Eta Zeta","","Florence","https://en.wikipedia.org/wiki/Florence,_Alabama","Alabama","https://en.wikipedia.org/wiki/Alabama","Active","","","","",""
"Xi Eta Zeta","","Novato","https://en.wikipedia.org/wiki/Novato,_California","California","https://en.wikipedia.org/wiki/California","Active","","","","",""
"Pi Eta Zeta","September 30, 1995","Seoul","https://en.wikipedia.org/wiki/Seoul","South Korea","https://en.wikipedia.org/wiki/South_Korea","Active","","","","",""
"","","Albany","https://en.wikipedia.org/wiki/Albany,_New_York","New York","https://en.wikipedia.org/wiki/New_York_(state)","Inactive","","","","","Omicron Eta Zeta"
"Rho Eta Zeta","April 10, 1999","Glen Burnie","https://en.wikipedia.org/wiki/Glen_Burnie,_Maryland","Anne Arundel County","https://en.wikipedia.org/wiki/Anne_Arundel_County,_Maryland","Active","220","https://en.wikipedia.org/wiki/List_of_Zeta_Phi_Beta_chapters#cite_note-:13-272","[","]","Maryland"
"Sigma Eta Zeta","April 12, 2001","Long Beach","https://en.wikipedia.org/wiki/Long_Beach,_California","California","https://en.wikipedia.org/wiki/California","Active","272","https://en.wikipedia.org/wiki/List_of_Zeta_Phi_Beta_chapters#cite_note-326","[","]",""
"Tau Eta Zeta","August 5, 2003","Baltimore","https://en.wikipedia.org/wiki/Baltimore","Maryland","https://en.wikipedia.org/wiki/Maryland","Active","273","https://en.wikipedia.org/wiki/List_of_Zeta_Phi_Beta_chapters#cite_note-328","[","]",""
"Upsilon Eta Zeta","March 11, 2005","Pennsylvania","https://en.wikipedia.org/wiki/Pennsylvania","","","Active","274","https://en.wikipedia.org/wiki/List_of_Zeta_Phi_Beta_chapters#cite_note-329","[","]",""
"Phi Eta Zeta","","Tokyo","https://en.wikipedia.org/wiki/Tokyo","Japan","https://en.wikipedia.org/wiki/Japan","Active","","","","",""
"Chi Eta Zeta","June 23, 2008","Cambridge","https://en.wikipedia.org/wiki/Cambridge,_Massachusetts","Massachusetts","https://en.wikipedia.org/wiki/Massachusetts","Active","275","https://en.wikipedia.org/wiki/List_of_Zeta_Phi_Beta_chapters#cite_note-330","[","]",""
"Psi Eta Zeta","March 31, 2010","Cape Girardeau","https://en.wikipedia.org/wiki/Cape_Girardeau,_Missouri","Missiouri","https://en.wikipedia.org/wiki/Missouri","Active","","","","",""
"Omega Eta Zeta","March 16, 2012","Quincy","https://en.wikipedia.org/wiki/Quincy,_Massachusetts","Massachusetts","https://en.wikipedia.org/wiki/Massachusetts","Active","276","https://en.wikipedia.org/wiki/List_of_Zeta_Phi_Beta_chapters#cite_note-331","[","]",""
"Alpha Theta Zeta","July 1, 1939","Savannah","https://en.wikipedia.org/wiki/Savannah,_Georgia","Georgia","https://en.wikipedia.org/wiki/Georgia_(U.S._state)","Active","277","https://en.wikipedia.org/wiki/List_of_Zeta_Phi_Beta_chapters#cite_note-332","[","]",""
"Beta Theta Zeta","November 30, 1944","Norfolk","https://en.wikipedia.org/wiki/Norfolk,_Virginia","Virginia","https://en.wikipedia.org/wiki/Virginia","Active","20","https://en.wikipedia.org/wiki/List_of_Zeta_Phi_Beta_chapters#cite_note-:33-27","[","]","Rho first"
"","","","","","","Inactive","","","","","Gamma Theta Zeta"
"Delta Theta Zeta","","Mobile","https://en.wikipedia.org/wiki/Mobile,_Alabama","Alabama","https://en.wikipedia.org/wiki/Alabama","Active","","","","",""
"Epsilon Theta Zeta","February 26, 1967","Suffolk","https://en.wikipedia.org/wiki/Suffolk,_Virginia","Virginia","https://en.wikipedia.org/wiki/Virginia","Active","278","https://en.wikipedia.org/wiki/List_of_Zeta_Phi_Beta_chapters#cite_note-334","[","]",""
"Zeta Theta Zeta","","Gary","https://en.wikipedia.org/wiki/Gary,_Indiana","Indiana","https://en.wikipedia.org/wiki/Indiana","Active","","","","",""
"Eta Theta Zeta","","Augusta","https://en.wikipedia.org/wiki/Augusta,_Georgia","Georgia","https://en.wikipedia.org/wiki/Georgia_(U.S._state)","Active","","","","",""
"Theta Theta Zeta","","Hammond","https://en.wikipedia.org/wiki/Hammond,_Louisiana","Louisiana","https://en.wikipedia.org/wiki/Louisiana","Active","","","","",""
"Iota Theta Zeta","January 26, 1979","Nassau County","https://en.wikipedia.org/wiki/Nassau_County,_New_York","New York","https://en.wikipedia.org/wiki/New_York_(state)","Active","103","https://en.wikipedia.org/wiki/List_of_Zeta_Phi_Beta_chapters#cite_note-:17-139","[","]",""
"Kappa Theta Zeta","","Sanford","https://en.wikipedia.org/wiki/Sanford,_North_Carolina","North Carolina","https://en.wikipedia.org/wiki/North_Carolina","Active","","","","",""
"Lambda Theta Zeta","","Aliceville","https://en.wikipedia.org/wiki/Aliceville,_Alabama","Alabama","https://en.wikipedia.org/wiki/Alabama","Active","","","","",""
"Mu Theta Zeta","July 1, 1983","Darmstadt","https://en.wikipedia.org/wiki/Darmstadt","Germany","https://en.wikipedia.org/wiki/Germany","Active","279","https://en.wikipedia.org/wiki/List_of_Zeta_Phi_Beta_chapters#cite_note-335","[","]",""
"Nu Theta Zeta","May 31, 1986","Warrensville Heights","https://en.wikipedia.org/wiki/Warrensville_Heights,_Ohio","Ohio","https://en.wikipedia.org/wiki/Ohio","Active","280","https://en.wikipedia.org/wiki/List_of_Zeta_Phi_Beta_chapters#cite_note-336","[","]",""
"","","","","","","Inactive","","","","","Xi Theta Zeta"
"Pi Theta Zeta","","Smoaks","https://en.wikipedia.org/wiki/Smoaks,_South_Carolina","South Carolina","https://en.wikipedia.org/wiki/South_Carolina","Active","","","","",""
"Rho Theta Zeta","April 19, 1999","Portage","https://en.wikipedia.org/wiki/Portage,_Michigan","Michigan","https://en.wikipedia.org/wiki/Michigan","Active","225","https://en.wikipedia.org/wiki/List_of_Zeta_Phi_Beta_chapters#cite_note-:28-277","[","]",""
"Sigma Theta Zeta","","East Chicago","https://en.wikipedia.org/wiki/East_Chicago,_Indiana","Indiana","https://en.wikipedia.org/wiki/Indiana","Active","","","","",""
"Tau Theta Zeta","","Pineville","https://en.wikipedia.org/wiki/Pineville,_North_Carolina","Mathews","https://en.wikipedia.org/wiki/Matthews,_North_Carolina","Active","","","","","North Carolina"
"Upsilon Theta Zeta","","Redford","https://en.wikipedia.org/wiki/Redford,_Michigan","Michigan","https://en.wikipedia.org/wiki/Michigan","Active","225","https://en.wikipedia.org/wiki/List_of_Zeta_Phi_Beta_chapters#cite_note-:28-277","[","]",""
"Phi Theta Zeta","October 25, 2007","Gardena","https://en.wikipedia.org/wiki/Gardena,_California","California","https://en.wikipedia.org/wiki/California","Active","","","","",""
"Chi Theta Zeta","June 16, 2008","Tallahassee","https://en.wikipedia.org/wiki/Tallahassee,_Florida","Florida","https://en.wikipedia.org/wiki/Florida","Active","282","https://en.wikipedia.org/wiki/List_of_Zeta_Phi_Beta_chapters#cite_note-:26-338","[","]",""
"Psi Theta Zeta","September 2015","North Los Vegas","https://en.wikipedia.org/wiki/North_Las_Vegas,_Nevada","Nevada","https://en.wikipedia.org/wiki/Nevada","Active","","","","",""
"Omega Theta Zeta","March 16, 2012","Okinawa","https://en.wikipedia.org/wiki/Okinawa_(city)","Japan","https://en.wikipedia.org/wiki/Japan","Active","","","","",""
"","November 19, 1945","Tulsa","https://en.wikipedia.org/wiki/Tulsa,_Oklahoma","Oklahoma","https://en.wikipedia.org/wiki/Oklahoma","Inactive","19","https://en.wikipedia.org/wiki/List_of_Zeta_Phi_Beta_chapters#cite_note-:3-24","[","]","Alpha Iota Zeta (see Pi first)"
"Zeta Tau Zeta","","","","","","Inactive","201","https://en.wikipedia.org/wiki/List_of_Zeta_Phi_Beta_chapters#cite_note-:41-252","[","]","Beta Iota Zeta first"
"Beta Iota Zeta","April 23, 1994","Bloomington","https://en.wikipedia.org/wiki/Bloomington,_Illinois","Normal","https://en.wikipedia.org/wiki/Normal,_Illinois","Active","283","https://en.wikipedia.org/wiki/List_of_Zeta_Phi_Beta_chapters#cite_note-340","[","]","Illinois"
"Gamma Iota Zeta","","Chattanooga","https://en.wikipedia.org/wiki/Chattanooga,_Tennessee","Tennessee","https://en.wikipedia.org/wiki/Tennessee","Active","","","","",""
"Delta Iota Zeta","","Monrovia","https://en.wikipedia.org/wiki/Monrovia","Liberia","https://en.wikipedia.org/wiki/Liberia","Active","284","https://en.wikipedia.org/wiki/List_of_Zeta_Phi_Beta_chapters#cite_note-:36-341","[","]",""
"Epsilon Iota Zeta","May 1954","Greenville","https://en.wikipedia.org/wiki/Greenville,_South_Carolina","South Carolina","https://en.wikipedia.org/wiki/South_Carolina","Active","285","https://en.wikipedia.org/wiki/List_of_Zeta_Phi_Beta_chapters#cite_note-342","[","]",""
"Zeta Iota Zeta","","Shreveport","https://en.wikipedia.org/wiki/Shreveport,_Louisiana","Louisiana","https://en.wikipedia.org/wiki/Louisiana","Active","","","","",""
"Eta Iota Zeta","","El Paso","https://en.wikipedia.org/wiki/El_Paso,_Texas","Texas","https://en.wikipedia.org/wiki/Texas","Active","","","","",""
"Theta Iota Zeta","January 1976","Pasadena","https://en.wikipedia.org/wiki/Pasadena,_California","Altadena","https://en.wikipedia.org/wiki/Altadena,_California","Active","286","https://en.wikipedia.org/wiki/List_of_Zeta_Phi_Beta_chapters#cite_note-343","[","]","California"
"","","","","","","Inactive","","","","","Iota Iota Zeta"
"Kappa Iota Zeta","September 15, 1980","Atlanta","https://en.wikipedia.org/wiki/Atlanta","Georgia","https://en.wikipedia.org/wiki/Georgia_(U.S._state)","Active","287","https://en.wikipedia.org/wiki/List_of_Zeta_Phi_Beta_chapters#cite_note-344","[","]",""
"Lambda Iota Zeta","","Jeanerette","https://en.wikipedia.org/wiki/Jeanerette,_Louisiana","Louisiana","https://en.wikipedia.org/wiki/Louisiana","Active","","","","",""
"","","","","","","Inactive","","","","","Mu Iota Zeta"
"Nu Iota Zeta","","Madison","https://en.wikipedia.org/wiki/Madison,_Wisconsin","Wisconsin","https://en.wikipedia.org/wiki/Wisconsin","Active","","","","",""
"Xi Iota Zeta","","Bennettsville","https://en.wikipedia.org/wiki/Bennettsville,_South_Carolina","South Carolina","https://en.wikipedia.org/wiki/South_Carolina","Active","","","","",""
"Omicron Iota Zeta","September 12, 1991","Wilson","https://en.wikipedia.org/wiki/Wilson,_North_Carolina","North Carolina","https://en.wikipedia.org/wiki/North_Carolina","Active","","","","",""
"Pi Iota Zeta","","Starkville","https://en.wikipedia.org/wiki/Starkville,_Mississippi","Mississippi","https://en.wikipedia.org/wiki/Mississippi","Active","223","https://en.wikipedia.org/wiki/List_of_Zeta_Phi_Beta_chapters#cite_note-:31-275","[","]",""
"Rho Iota Zeta","","Mendenhall","https://en.wikipedia.org/wiki/Mendenhall,_Mississippi","Mississippi","https://en.wikipedia.org/wiki/Mississippi","Active","223","https://en.wikipedia.org/wiki/List_of_Zeta_Phi_Beta_chapters#cite_note-:31-275","[","]",""
"Sigma Iota Zeta","","Brice","https://en.wikipedia.org/wiki/Brice,_Ohio","Ohio","https://en.wikipedia.org/wiki/Ohio","Active","259","https://en.wikipedia.org/wiki/List_of_Zeta_Phi_Beta_chapters#cite_note-:35-312","[","]",""
"Tau Iota Zeta","September 10, 2003","Morgantown","https://en.wikipedia.org/wiki/Morgantown,_West_Virginia","West Virginia","https://en.wikipedia.org/wiki/West_Virginia","Active","","","","",""
"Upsilon Iota Zeta","March 11, 2005","Columbia","https://en.wikipedia.org/wiki/Columbia,_Missouri","Missiouri","https://en.wikipedia.org/wiki/Missouri","Active","","","","",""
"Phi Iota Zeta","","Montgomery County","https://en.wikipedia.org/wiki/Montgomery_County,_Texas","Texas","https://en.wikipedia.org/wiki/Texas","Active","","","","",""
"Chi Iota Zeta","","East Lansing","https://en.wikipedia.org/wiki/East_Lansing,_Michigan","Michigan","https://en.wikipedia.org/wiki/Michigan","Active","225","https://en.wikipedia.org/wiki/List_of_Zeta_Phi_Beta_chapters#cite_note-:28-277","[","]",""
"Psi Iota Zeta","","Camden","https://en.wikipedia.org/wiki/Camden,_Arkansas","Arkansas","https://en.wikipedia.org/wiki/Arkansas","Active","","","","",""
"Omega Iota Zeta","","Kansas City","https://en.wikipedia.org/wiki/Kansas_City,_Missouri","Missiouri","https://en.wikipedia.org/wiki/Missouri","Active","","","","",""
"Alpha Kappa Zeta","February 18, 1940","Austin","https://en.wikipedia.org/wiki/Austin,_Texas","Texas","https://en.wikipedia.org/wiki/Texas","Active","288","https://en.wikipedia.org/wiki/List_of_Zeta_Phi_Beta_chapters#cite_note-345","[","]",""
"Beta Kappa Zeta","","Lake Charles","https://en.wikipedia.org/wiki/Lake_Charles,_Louisiana","Louisiana","https://en.wikipedia.org/wiki/Louisiana","Active","","","","",""
"Gamma Kappa Zeta","","Tyler","https://en.wikipedia.org/wiki/Tyler,_Texas","Texas","https://en.wikipedia.org/wiki/Texas","Active","","","","",""
"Delta Kappa Zeta","","Highpoint","https://en.wikipedia.org/wiki/High_Point,_North_Carolina","North Carolina","https://en.wikipedia.org/wiki/North_Carolina","Active","","","","",""
