"fn","vcard","vcard 2","vcard href","mw-redirect","mw-redirect href","category","note"
"Mu Gamma","1984","DeVry University","https://en.wikipedia.org/wiki/DeVry_University","Alpharetta, GA","https://en.wikipedia.org/wiki/Alpharetta,_GA","Inactive",""
"Mu Delta","1984","","","Brockport, NY","https://en.wikipedia.org/wiki/Brockport,_NY","Active",""
"Mu Epsilon","1985","Missouri State University","https://en.wikipedia.org/wiki/Missouri_State_University","Springfield, MO","https://en.wikipedia.org/wiki/Springfield,_MO","Active","Was originally Southwest Missouri State University but in 2005 became Missouri State University"
"Mu Zeta","1985","Southeast Missouri State University","https://en.wikipedia.org/wiki/Southeast_Missouri_State_University","Cape Girardeau, MO","https://en.wikipedia.org/wiki/Cape_Girardeau,_MO","Letters Retired",""
"Mu Eta","1985","Northwest Missouri State University","https://en.wikipedia.org/wiki/Northwest_Missouri_State_University","Maryville, MO","https://en.wikipedia.org/wiki/Maryville,_MO","Inactive",""
"Mu Theta","1985","Francis Marion University","https://en.wikipedia.org/wiki/Francis_Marion_University","Florence, SC","https://en.wikipedia.org/wiki/Florence,_SC","Active","Was originally Francis Marion College but in 1992 became Francis Marion University"
"Mu Iota","1985","University of North Carolina at Greensboro","https://en.wikipedia.org/wiki/University_of_North_Carolina_at_Greensboro","Greensboro, NC","https://en.wikipedia.org/wiki/Greensboro,_NC","Active",""
"Mu Kappa","1985","Binghamton University","https://en.wikipedia.org/wiki/Binghamton_University","Vestal, NY","https://en.wikipedia.org/wiki/Vestal,_NY","Active","Known as the State University of New York at Binghamton before 1992"
"Mu Lambda","1985","Weber State University","https://en.wikipedia.org/wiki/Weber_State_University","Ogden, UT","https://en.wikipedia.org/wiki/Ogden,_UT","Inactive",""
"Mu Mu","1985","George Mason University","https://en.wikipedia.org/wiki/George_Mason_University","","","Active","Originally under the Kappa Chi colony including American University, The Catholic University of America, Georgetown University, and George Washington University"
"Mu Nu","1985","University of North Carolina Wilmington","https://en.wikipedia.org/wiki/University_of_North_Carolina_Wilmington","Wilmington, NC","https://en.wikipedia.org/wiki/Wilmington,_NC","Active",""
"Mu Xi","1986","Wittenberg University","https://en.wikipedia.org/wiki/Wittenberg_University","Springfield, OH","https://en.wikipedia.org/wiki/Springfield,_OH","Active",""
"Mu Omicron","1986","State University of New York at Old Westbury","https://en.wikipedia.org/wiki/State_University_of_New_York_at_Old_Westbury","Old Westbury, NY","https://en.wikipedia.org/wiki/Old_Westbury,_NY","Active","In 2023, State University of New York College at Old Westbury gained status as a university, becoming the State University of New York at Old Westbury"
"Mu Pi","1986","St. John's University","https://en.wikipedia.org/wiki/St._John%27s_University_(New_York_City)","Jamaica, NY","https://en.wikipedia.org/wiki/Jamaica,_NY","Inactive","Originally the Delta Mu colony of LIU Brooklyn"
"Mu Rho","1986","","","Knoxville, TN","https://en.wikipedia.org/wiki/Knoxville,_TN","Active",""
"Mu Sigma","1986","Stephen F. Austin State University","https://en.wikipedia.org/wiki/Stephen_F._Austin_State_University","Nacogdoches, TX","https://en.wikipedia.org/wiki/Nacogdoches,_TX","Active",""
"Mu Tau","1986","Mars Hill University","https://en.wikipedia.org/wiki/Mars_Hill_University","Mars Hill, NC","https://en.wikipedia.org/wiki/Mars_Hill,_NC","Active","From 1859 to 2013 the school was called Mars Hill College; in August 2013 it officially changed its name to Mars Hill University"
"Mu Upsilon","1986","Appalachian State University","https://en.wikipedia.org/wiki/Appalachian_State_University","Boone, NC","https://en.wikipedia.org/wiki/Boone,_NC","Active",""
"Mu Phi","1986","","","Clarion, PA","https://en.wikipedia.org/wiki/Clarion,_PA","Active","Formerly known as Clarion University of Pennsylvania, the institution merged in 2021 with two other universities to become part of ."
"Mu Chi","1987","Dartmouth College","https://en.wikipedia.org/wiki/Dartmouth_College","Hanover, NH","https://en.wikipedia.org/wiki/Hanover,_NH","Inactive",""
"Mu Psi","1987","Georgia College & State University","https://en.wikipedia.org/wiki/Georgia_College_%26_State_University","Milledgeville, GA","https://en.wikipedia.org/wiki/Milledgeville,_GA","Active","Was chartered at Georgia College but in 1996 name changed to Georgia College & State University"
"Mu Omega","1987","Sonoma State University","https://en.wikipedia.org/wiki/Sonoma_State_University","Cotati, CA","https://en.wikipedia.org/wiki/Cotati,_CA","Active",""
"Nu Alpha","1987","Texas A&M University","https://en.wikipedia.org/wiki/Texas_A%26M_University","College Station, TX","https://en.wikipedia.org/wiki/College_Station,_TX","Active",""
"Nu Beta","1987","Southern Methodist University","https://en.wikipedia.org/wiki/Southern_Methodist_University","Dallas, TX","https://en.wikipedia.org/wiki/Dallas,_TX","Active",""
"Nu Gamma","1987","Yale University","https://en.wikipedia.org/wiki/Yale_University","New Haven, CT","https://en.wikipedia.org/wiki/New_Haven,_CT","Active",""
"Nu Delta","1987","Emory University","https://en.wikipedia.org/wiki/Emory_University","Atlanta, GA","https://en.wikipedia.org/wiki/Atlanta,_GA","Active",""
"Nu Epsilon","1987","","","Kansas City, MO","https://en.wikipedia.org/wiki/Kansas_City,_MO","Active",""
