"fn","vcard","vcard 2","vcard href","mw-redirect","mw-redirect href","category","note"
"Pi Lambda","2008","Arkansas Baptist College","https://en.wikipedia.org/wiki/Arkansas_Baptist_College","Little Rock, AR","https://en.wikipedia.org/wiki/Little_Rock,_AR","Active",""
"Pi Mu","2008","Davidson College","https://en.wikipedia.org/wiki/Davidson_College","Davidson, NC","https://en.wikipedia.org/wiki/Davidson,_NC","Active",""
"Pi Nu","2008","University of Maryland Eastern Shore","https://en.wikipedia.org/wiki/University_of_Maryland_Eastern_Shore","Princess Anne, MD","https://en.wikipedia.org/wiki/Princess_Anne,_MD","Active","Formerly, the Gamma Xi Chapter (chartered 1949) was based at Maryland State College, later University of Maryland Eastern Shore."
"Pi Xi","2009","Augusta State University","https://en.wikipedia.org/wiki/Augusta_State_University","Augusta, GA","https://en.wikipedia.org/wiki/Augusta,_GA","Active",""
"Pi Omicron","2009","University of South Carolina Upstate","https://en.wikipedia.org/wiki/University_of_South_Carolina_Upstate","Spartanburg, SC","https://en.wikipedia.org/wiki/Spartanburg,_SC","Active",""
"Pi Pi","2009","Northern Kentucky University","https://en.wikipedia.org/wiki/Northern_Kentucky_University","Highland Heights, KY","https://en.wikipedia.org/wiki/Highland_Heights,_KY","Active",""
"Pi Rho","2009","Stony Brook University","https://en.wikipedia.org/wiki/Stony_Brook_University","Stony Brook, NY","https://en.wikipedia.org/wiki/Stony_Brook,_NY","Active",""
"Pi Sigma","2009","Rutgers University–Newark","https://en.wikipedia.org/wiki/Rutgers_University%E2%80%93Newark","Newark, NJ","https://en.wikipedia.org/wiki/Newark,_NJ","Active",""
"Pi Tau","2009","Seton Hall University","https://en.wikipedia.org/wiki/Seton_Hall_University","South Orange, NJ","https://en.wikipedia.org/wiki/South_Orange,_NJ","Active",""
"Pi Upsilon","2010","Arkansas Tech University","https://en.wikipedia.org/wiki/Arkansas_Tech_University","Russellville, AR","https://en.wikipedia.org/wiki/Russellville,_AR","Inactive",""
"Pi Phi","2010","Nova Southeastern University","https://en.wikipedia.org/wiki/Nova_Southeastern_University","Fort Lauderdale, FL","https://en.wikipedia.org/wiki/Fort_Lauderdale,_FL","Active",""
"Pi Chi","2010","Huntingdon College","https://en.wikipedia.org/wiki/Huntingdon_College","Montgomery, AL","https://en.wikipedia.org/wiki/Montgomery,_AL","Active",""
"Pi Psi","2010","Penn State Harrisburg","https://en.wikipedia.org/wiki/Penn_State_Harrisburg","Harrisburg, PA","https://en.wikipedia.org/wiki/Harrisburg,_PA","Active",""
"Pi Omega","2010","","","Whitewater, WI","https://en.wikipedia.org/wiki/Whitewater,_WI","Active",""
"Rho Alpha","2011","New Jersey City University","https://en.wikipedia.org/wiki/New_Jersey_City_University","Jersey City, NJ","https://en.wikipedia.org/wiki/Jersey_City,_NJ","Active",""
"Rho Beta","2011","California State University, Monterey Bay","https://en.wikipedia.org/wiki/California_State_University,_Monterey_Bay","Seaside, CA","https://en.wikipedia.org/wiki/Seaside,_CA","Active",""
"Rho Gamma","2012","University of Bridgeport","https://en.wikipedia.org/wiki/University_of_Bridgeport","Bridgeport, CT","https://en.wikipedia.org/wiki/Bridgeport,_CT","Active","Metro chapter covering the following schools: University of Bridgeport (Primary location), University of New Haven, Southern Connecticut State University, Yale University and Quinnipiac University."
"Rho Delta","2012","Chowan University","https://en.wikipedia.org/wiki/Chowan_University","Murfreesboro, NC","https://en.wikipedia.org/wiki/Murfreesboro,_NC","Active",""
"Rho Epsilon","2013","","","Kutztown, PA","https://en.wikipedia.org/wiki/Kutztown,_PA","Active",""
"Rho Zeta","2013","Methodist University","https://en.wikipedia.org/wiki/Methodist_University","Fayetteville, NC","https://en.wikipedia.org/wiki/Fayetteville,_NC","Active",""
"Rho Eta","2013","Lincoln University","https://en.wikipedia.org/wiki/Lincoln_University_(Missouri)","Jefferson City, MO","https://en.wikipedia.org/wiki/Jefferson_City,_MO","Inactive","Formerly, the Alpha Mu Chapter. The Alpha Mu chapter was reactivated in 2023."
"Rho Theta","2014","Radford University","https://en.wikipedia.org/wiki/Radford_University","Radford, VA","https://en.wikipedia.org/wiki/Radford,_VA","Active",""
"Rho Iota","2016","University of New Mexico","https://en.wikipedia.org/wiki/University_of_New_Mexico","Albuquerque, NM","https://en.wikipedia.org/wiki/Albuquerque,_NM","Active",""
"Rho Kappa","2016","Virginia University of Lynchburg","https://en.wikipedia.org/wiki/Virginia_University_of_Lynchburg","Lynchburg, VA","https://en.wikipedia.org/wiki/Lynchburg,_VA","Active","Formerly, the Nu Lambda Colony. Includes Liberty University, Averett University, Hampden–Sydney College and Eastern Mennonite University."
"Rho Lambda","2018","University of West Florida","https://en.wikipedia.org/wiki/University_of_West_Florida","Pensacola, FL","https://en.wikipedia.org/wiki/Pensacola,_FL","Active","Formerly, the Eta Nu Colony."
"Rho Mu","2018","University of the Bahamas","https://en.wikipedia.org/wiki/University_of_the_Bahamas","","","Active","The first international undergraduate chapter"
"Rho Nu","2018","Rutgers University–Camden","https://en.wikipedia.org/wiki/Rutgers_University%E2%80%93Camden","Camden, NJ","https://en.wikipedia.org/wiki/Camden,_NJ","Active","Formerly, a part of the Xi Gamma colony."
"Rho Xi","2018","Rider University","https://en.wikipedia.org/wiki/Rider_University","Lawrenceville, NJ","https://en.wikipedia.org/wiki/Lawrenceville,_NJ","Active","Formerly, a part of Eta Delta Chapter."
"Rho Omicron","2018","Xavier University","https://en.wikipedia.org/wiki/Xavier_University","Cincinnati, OH","https://en.wikipedia.org/wiki/Cincinnati,_OH","Active","Formerly, a part of Beta Eta Chapter."
"Rho Pi","2019","Sam Houston State University","https://en.wikipedia.org/wiki/Sam_Houston_State_University","Huntsville, TX","https://en.wikipedia.org/wiki/Huntsville,_TX","Active","Formerly, Kappa Nu Chapter (chartered 1980)."
"Rho Rho","2019","Cumberland University","https://en.wikipedia.org/wiki/Cumberland_University","Lebanon, TN","https://en.wikipedia.org/wiki/Lebanon,_TN","Active","Formerly, the Xi Nu Colony."
"Rho Sigma","2019","Georgetown College","https://en.wikipedia.org/wiki/Georgetown_College","Georgetown, KY","https://en.wikipedia.org/wiki/Georgetown,_KY","Active","Formerly, the Alpha Upsilon Colony."
"Rho Tau","2019","Valparaiso University","https://en.wikipedia.org/wiki/Valparaiso_University","Valparaiso, IN","https://en.wikipedia.org/wiki/Valparaiso,_IN","Active",""
"Rho Upsilon","2019","Johns Hopkins University","https://en.wikipedia.org/wiki/Johns_Hopkins_University","Baltimore, MD","https://en.wikipedia.org/wiki/Baltimore,_MD","Active","Formerly, the Zeta Gamma Colony 1970 - 2015, Formerly the Lambda Zeta Colony 2016 - 2019"
"Rho Phi","2023","Widener University","https://en.wikipedia.org/wiki/Widener_University","Chester, PA","https://en.wikipedia.org/wiki/Chester,_PA","Active","Formerly, the Kappa Gamma Colony"
"Rho Chi","2023","Central Connecticut State University","https://en.wikipedia.org/wiki/Central_Connecticut_State_University","New Britain, CT","https://en.wikipedia.org/wiki/New_Britain,_CT","Active",""
"Rho Psi","2025","Southeast Missouri State University","https://en.wikipedia.org/wiki/Southeast_Missouri_State_University","Cape Girardeau, MO","https://en.wikipedia.org/wiki/Cape_Girardeau,_MO","Active","Formerly, Mu Zeta Chapter (chartered 1985)."
