"fn","vcard","mw-redirect","mw-redirect href","category","note","reference","reference href","cite-bracket","cite-bracket 2"
"Kappa Lambda Sigma","","Marion, AL","https://en.wikipedia.org/wiki/Marion,_AL","Active","","80","https://en.wikipedia.org/wiki/List_of_Phi_Beta_Sigma_chapters#cite_note-pbs1914alabama-80","[","]"
"Kappa Chi Sigma","January 11, 1997","Rockledge, FL","https://en.wikipedia.org/wiki/Rockledge,_FL","Active","Represents Brevard County","105","https://en.wikipedia.org/wiki/List_of_Phi_Beta_Sigma_chapters#cite_note-105","[","]"
"Lambda Sigma","1924","Atlanta, GA","https://en.wikipedia.org/wiki/Atlanta,_GA","Active","First alumni chapter founded in the State of Georgia.","106","https://en.wikipedia.org/wiki/List_of_Phi_Beta_Sigma_chapters#cite_note-106","[","]"
"Lambda Beta Sigma","","Brunswick, GA","https://en.wikipedia.org/wiki/Brunswick,_GA","Active","","","","",""
"Lambda Epsilon Sigma","?","Cleveland, MS","https://en.wikipedia.org/wiki/Cleveland,_MS","Active","","","","",""
"Mu Sigma","1938","Jackson, MS","https://en.wikipedia.org/wiki/Jackson,_MS","Active","","","","",""
"Nu Beta Sigma","?","Jacksonville, FL","https://en.wikipedia.org/wiki/Jacksonville,_FL","Active","","81","https://en.wikipedia.org/wiki/List_of_Phi_Beta_Sigma_chapters#cite_note-floridasigmas-81","[","]"
"Nu Mu Sigma","2005","Ft. Myers, FL","https://en.wikipedia.org/wiki/Ft._Myers,_FL","Active","","81","https://en.wikipedia.org/wiki/List_of_Phi_Beta_Sigma_chapters#cite_note-floridasigmas-81","[","]"
"Nu Psi Sigma","","Dunwoody, GA","https://en.wikipedia.org/wiki/Dunwoody,_GA","Active","","","","",""
"Xi Chi Sigma","2007","Atlanta, GA","https://en.wikipedia.org/wiki/Atlanta,_GA","Active","G.D.O.L.D.","107","https://en.wikipedia.org/wiki/List_of_Phi_Beta_Sigma_chapters#cite_note-107","[","]"
"Omicron Pi Sigma","2011","","","Active","Island of","","","",""
"Omicron Tau Sigma","2012","Troy, AL","https://en.wikipedia.org/wiki/Troy,_AL","Active","","","","",""
"Omicron Phi Sigma","","Fort Walton Beach, FL","https://en.wikipedia.org/wiki/Fort_Walton_Beach,_FL","Active","Represents Okaloosa and Walton County","81","https://en.wikipedia.org/wiki/List_of_Phi_Beta_Sigma_chapters#cite_note-floridasigmas-81","[","]"
"Pi Alpha Sigma","2013","Horn Lake, MS","https://en.wikipedia.org/wiki/Horn_Lake,_MS","Active","","","","",""
"Pi Omicron Sigma","?","Brookhaven, MS","https://en.wikipedia.org/wiki/Brookhaven,_MS","Active","","","","",""
"Pi Tau Sigma","?","Columbus, MS","https://en.wikipedia.org/wiki/Columbus,_MS","Active","","","","",""
"Pi Upsilon Sigma","2015","","","Active","","108","https://en.wikipedia.org/wiki/List_of_Phi_Beta_Sigma_chapters#cite_note-108","[","]"
"Rho Beta Sigma","October 8, 2015","Gwinnett County, GA","https://en.wikipedia.org/wiki/Gwinnett_County,_GA","Active","","","","",""
"Rho Iota Sigma","","Rome, GA","https://en.wikipedia.org/wiki/Rome,_GA","Active","","","","",""
"Rho Xi Sigma","April 19, 2017","Escambia County, AL","https://en.wikipedia.org/wiki/Escambia_County,_AL","Active","Serving Atmore, AL, Brewton, AL, Flomaton, AL, Century/Jay, FL","","","",""
"Rho Sigma","1927","Miami, FL","https://en.wikipedia.org/wiki/Miami,_FL","Active","Also","","","",""
"Sigma Delta Sigma","May 6, 2019","Woodstock, GA","https://en.wikipedia.org/wiki/Woodstock,_GA","Active","","","","",""
"Sigma Eta Sigma","May 6, 2019","Henry County, GA","https://en.wikipedia.org/wiki/Henry_County,_GA","Active","","","","",""
"","","Savannah, GA","https://en.wikipedia.org/wiki/Savannah,_GA","Active","","109","https://en.wikipedia.org/wiki/List_of_Phi_Beta_Sigma_chapters#cite_note-109","[","]"
"Tau Sigma","1924","Birmingham, AL","https://en.wikipedia.org/wiki/Birmingham,_AL","Active","","80","https://en.wikipedia.org/wiki/List_of_Phi_Beta_Sigma_chapters#cite_note-pbs1914alabama-80","[","]"
"Tau Tau Sigma","December 2, 2023","","","Active","","","","",""
"Tau Upsilon Sigma","October 14, 2023","Clay County, FL","https://en.wikipedia.org/wiki/Clay_County,_FL","Active","","","","",""
"Phi Beta Sigma Sigma","January 21, 1996","Atlanta, GA","https://en.wikipedia.org/wiki/Atlanta,_GA","Active","","110","https://en.wikipedia.org/wiki/List_of_Phi_Beta_Sigma_chapters#cite_note-110","[","]"
