"tablescraper-selected-row","tablescraper-selected-row 2","tablescraper-selected-row 3","tablescraper-selected-row href","tablescraper-selected-row 4","tablescraper-selected-row href 2","tablescraper-selected-row 5","reference","reference href","cite-bracket","cite-bracket 2","tablescraper-selected-row 6","tablescraper-selected-row 7","tablescraper-selected-row 8"
"","May 15, 1926","Chattanooga","https://en.wikipedia.org/wiki/Chattanooga,_Tennessee","Tennessee","https://en.wikipedia.org/wiki/Tennessee","Active","","","","","122","Psi Lambda",""
"Omega Lambda","","","","","","Unassigned","","","","","","",""
"","October 13, 1926","Newark","https://en.wikipedia.org/wiki/Newark,_New_Jersey","New Jersey","https://en.wikipedia.org/wiki/New_Jersey","Active","119","https://en.wikipedia.org/wiki/List_of_Alpha_Phi_Alpha_chapters#cite_note-183","[","]","123","Alpha Alpha Lambda",""
"","June 9, 1928","Lexington","https://en.wikipedia.org/wiki/Lexington,_Kentucky","Kentucky","https://en.wikipedia.org/wiki/Kentucky","Active","","","","","124","Alpha Beta Lambda",""
"Alpha Gamma Lambda","December 23, 1926","Harlem","https://en.wikipedia.org/wiki/Harlem","New York","https://en.wikipedia.org/wiki/New_York_(state)","Active","6","https://en.wikipedia.org/wiki/List_of_Alpha_Phi_Alpha_chapters#cite_note-:5-6","[","]","125","",""
"","June 5, 1930","Memphis","https://en.wikipedia.org/wiki/Memphis,_Tennessee","Tennessee","https://en.wikipedia.org/wiki/Tennessee","Active","120","https://en.wikipedia.org/wiki/List_of_Alpha_Phi_Alpha_chapters#cite_note-184","[","]","","Alpha Delta Lambda",""
"","June 10, 1927","Jackson","https://en.wikipedia.org/wiki/Jackson,_Mississippi","Mississippi","https://en.wikipedia.org/wiki/Mississippi","Active","79","https://en.wikipedia.org/wiki/List_of_Alpha_Phi_Alpha_chapters#cite_note-:12-140","[","]","129","Alpha Epsilon Lambda",""
"Alpha Zeta Lamba (First)","January 28, 1927","Bluefield","https://en.wikipedia.org/wiki/Bluefield,_West_Virginia","West Virginia","https://en.wikipedia.org/wiki/West_Virginia","Moved","121","https://en.wikipedia.org/wiki/List_of_Alpha_Phi_Alpha_chapters#cite_note-:38-185","[","]","128","","– 20xx ?"
"","November 27, 1927","Houston","https://en.wikipedia.org/wiki/Houston","Texas","https://en.wikipedia.org/wiki/Texas","Active","122","https://en.wikipedia.org/wiki/List_of_Alpha_Phi_Alpha_chapters#cite_note-:18-186","[","]","","Alpha Eta Lambda",""
"","January 9, 1927","Atlantic City","https://en.wikipedia.org/wiki/Atlantic_City,_New_Jersey","New Jersey","https://en.wikipedia.org/wiki/New_Jersey","Active","","","","","130","Alpha Theta Lambda",""
"","January 9, 1928","Charleston","https://en.wikipedia.org/wiki/Charleston,_West_Virginia","West Virginia","https://en.wikipedia.org/wiki/West_Virginia","Active","","","","","131","Alpha Iota Lambda",""
"","January 9, 1928","Roanoke","https://en.wikipedia.org/wiki/Roanoke,_Virginia","Virginia","https://en.wikipedia.org/wiki/Virginia","Active","123","https://en.wikipedia.org/wiki/List_of_Alpha_Phi_Alpha_chapters#cite_note-188","[","]","132","Alpha Kappa Lambda",""
"Alpha Lambda Lambda","","","","","","Unassigned","","","","","","",""
"","May 4, 1930","Knoxville","https://en.wikipedia.org/wiki/Knoxville,_Tennessee","Tennessee","https://en.wikipedia.org/wiki/Tennessee","Active","","","","","133","Alpha Mu Lambda",""
