"fn","vcard","vcard 2","vcard href","category","reference","reference href","cite-bracket","cite-bracket 2","mw-redirect","mw-redirect href","mw-redirect 2","mw-redirect href 2"
"Mu Omicron","","University of Richmond","https://en.wikipedia.org/wiki/University_of_Richmond","Active","","","","","","","Henrico County, VA","https://en.wikipedia.org/wiki/Henrico_County,_VA"
"Mu Pi","1981","Kean University","https://en.wikipedia.org/wiki/Kean_University","Active","","","","","","","",""
"Mu Upsilon","1981","La Salle University","https://en.wikipedia.org/wiki/La_Salle_University","Active","","","","","","","Philadelphia, PA","https://en.wikipedia.org/wiki/Philadelphia,_PA"
"Mu Psi","March 2, 1981","","","Active","","","","","Rutgers–Camden","https://en.wikipedia.org/wiki/Rutgers%E2%80%93Camden","Camden, NJ","https://en.wikipedia.org/wiki/Camden,_NJ"
"Nu Eta","1980","William Paterson University","https://en.wikipedia.org/wiki/William_Paterson_University","Active","","","","","","","Wayne, NJ","https://en.wikipedia.org/wiki/Wayne,_NJ"
"Nu Iota","1980","University of North Carolina at Pembroke","https://en.wikipedia.org/wiki/University_of_North_Carolina_at_Pembroke","Active","","","","","","","Pembroke, NC","https://en.wikipedia.org/wiki/Pembroke,_NC"
"Nu Kappa","1981","","","Inactive","3","https://en.wikipedia.org/wiki/List_of_Phi_Beta_Sigma_chapters#cite_note-NYSigmaLinks-3","[","]","Long Island University C.W. Post Campus","https://en.wikipedia.org/wiki/Long_Island_University_C.W._Post_Campus","Brookville, NY","https://en.wikipedia.org/wiki/Brookville,_NY"
"Nu Lambda","","Adelphi University","https://en.wikipedia.org/wiki/Adelphi_University","Active","3","https://en.wikipedia.org/wiki/List_of_Phi_Beta_Sigma_chapters#cite_note-NYSigmaLinks-3","[","]","","","Garden City, NY","https://en.wikipedia.org/wiki/Garden_City,_NY"
"Nu Mu","","Allegheny College","https://en.wikipedia.org/wiki/Allegheny_College","Active","","","","","","","Meadville, PA","https://en.wikipedia.org/wiki/Meadville,_PA"
"Nu Psi","","Wagner College","https://en.wikipedia.org/wiki/Wagner_College","Inactive","3","https://en.wikipedia.org/wiki/List_of_Phi_Beta_Sigma_chapters#cite_note-NYSigmaLinks-3","[","]","","","Staten Island, NY","https://en.wikipedia.org/wiki/Staten_Island,_NY"
"Xi Alpha","1982","Baruch College","https://en.wikipedia.org/wiki/Baruch_College","Active","4","https://en.wikipedia.org/wiki/List_of_Phi_Beta_Sigma_chapters#cite_note-familylinks-4","[","]","","","Manhattan, NY","https://en.wikipedia.org/wiki/Manhattan,_NY"
