"tablescraper-selected-row 3","tablescraper-selected-row 5","tablescraper-selected-row 6","tablescraper-selected-row href","tablescraper-selected-row 7","tablescraper-selected-row 8","reference","reference href","cite-bracket","cite-bracket 2"
"Epsilon Beta Omega","March 5, 1949","Spartanburg","https://en.wikipedia.org/wiki/Spartanburg,_South_Carolina","South Carolina","Active","139","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-188","[","]"
"Epsilon Gamma Omega","March 19, 1949","Huntsville","https://en.wikipedia.org/wiki/Huntsville,_Alabama","Alabama","Active","140","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-189","[","]"
"Epsilon Delta Omega","","Beckley","https://en.wikipedia.org/wiki/Beckley,_West_Virginia","West Virginia","Active","141","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-190","[","]"
"Epsilon Epsilon Omega","April 9, 1949","Champaign","https://en.wikipedia.org/wiki/Champaign,_Illinois","Illinois","Active","4","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-:14-5","[","]"
"Epsilon Zeta Omega","April 3, 1949","Longview","https://en.wikipedia.org/wiki/Longview,_Texas","Texas","Active","142","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-192","[","]"
"Epsilon Eta Omega","","Pomona","https://en.wikipedia.org/wiki/Pomona_College","California","Active","143","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-193","[","]"
"Epsilon Theta Omega","April 2, 1949","Port Arthur","https://en.wikipedia.org/wiki/Port_Arthur,_Texas","Texas","Active","144","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-194","[","]"
"Epsilon Iota Omega","May 6, 1940","Dover","https://en.wikipedia.org/wiki/Dover,_Delaware","Delaware","Active","40","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-:22-81","[","]"
"Epsilon Kappa Omega","May 11, 1949","Milwaukee","https://en.wikipedia.org/wiki/Milwaukee","Wisconsin","Active","145","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-195","[","]"
"Epsilon Lambda Omega","","Cairo","https://en.wikipedia.org/wiki/Cairo,_Illinois","Illinois","Active","","","",""
"Epsilon Mu Omega","May 21, 1949","Youngstown","https://en.wikipedia.org/wiki/Youngstown,_Ohio","Ohio","Active","146","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-196","[","]"
"Epsilon Nu Omega","October 22, 1949","Denver","https://en.wikipedia.org/wiki/Denver","Colorado","Active","147","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-197","[","]"
"Epsilon Xi Omega","October 29, 1949","San Diego","https://en.wikipedia.org/wiki/San_Diego","California","Active","15","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-:20-28","[","]"
"Epsilon Omicron Omega","May 6, 1950","Hartford","https://en.wikipedia.org/wiki/Hartford,_Connecticut","Connecticut","Active","32","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-:21-64","[","]"
"Epsilon Pi Omega","May 13, 1950","St. Albans, Queens","https://en.wikipedia.org/wiki/St._Albans,_Queens","New York","Active","148","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-199","[","]"
"","","","","","Inactive ?","","","",""
"Epsilon Sigma Omega","February 2, 1952","Harrisburg","https://en.wikipedia.org/wiki/Harrisburg,_Pennsylvania","Pennsylvania","Active","149","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-200","[","]"
"Epsilon Tau Omega","April 19, 1952","Greenville","https://en.wikipedia.org/wiki/Greenville,_South_Carolina","South Carolina","Active","150","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-201","[","]"
"Epsilon Upsilon Omega","March 8, 1952","Trenton","https://en.wikipedia.org/wiki/Trenton,_New_Jersey","New Jersey","Active","35","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-:24-72","[","]"
"Epsilon Phi Omega","March 15, 1952","Goldsboro","https://en.wikipedia.org/wiki/Goldsboro,_North_Carolina","North Carolina","Active","151","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-202","[","]"
"Epsilon Chi Omega","March 8, 1952","Florence","https://en.wikipedia.org/wiki/Florence,_South_Carolina","South Carolina","Active","152","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-203","[","]"
"Epsilon Psi Omega","March 15, 1952","Grambling","https://en.wikipedia.org/wiki/Grambling,_Louisiana","Louisiana","Active","153","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-204","[","]"
"Epsilon Omega Omega","May 3, 1952","Macon","https://en.wikipedia.org/wiki/Macon,_Georgia","Georgia","Active","154","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-205","[","]"
"Zeta Alpha Omega","April 25, 1952","Toledo","https://en.wikipedia.org/wiki/Toledo,_Ohio","Ohio","Active","155","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-206","[","]"
"Zeta Beta Omega","","Flint","https://en.wikipedia.org/wiki/Flint,_Michigan","Michigan","Active","","","",""
"Zeta Gamma Omega","March 28, 1953","Prairie View","https://en.wikipedia.org/wiki/Prairie_View,_Texas","Texas","Active","156","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-207","[","]"
"Zeta Delta Omega","April 25, 1953","Natchez","https://en.wikipedia.org/wiki/Natchez,_Mississippi","Mississippi","Active","","","",""
"Zeta Epsilon Omega","February 14, 1954","Suffolk","https://en.wikipedia.org/wiki/Suffolk,_Virginia","Virginia","Active","157","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-208","[","]"
"Zeta Zeta Omega","March 13, 1954","Evansville","https://en.wikipedia.org/wiki/Evansville,_Indiana","Indiana","Active","158","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-209","[","]"
"Zeta Eta Omega","March 27, 1954","Selma","https://en.wikipedia.org/wiki/Selma,_Alabama","Alabama","Active","","","",""
"Zeta Theta Omega","April 3, 1954","Akron","https://en.wikipedia.org/wiki/Akron,_Ohio","Ohio","Active","11","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-:23-21","[","]"
"Zeta Iota Omega","May 1, 1954","Brunswick","https://en.wikipedia.org/wiki/Brunswick,_Georgia","Georgia","Active","159","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-211","[","]"
"Zeta Kappa Omega","","Elizabeth City","https://en.wikipedia.org/wiki/Elizabeth_City,_North_Carolina","North Carolina","Active","","","",""
"Zeta Lambda Omega","","Alexandria","https://en.wikipedia.org/wiki/Alexandria,_Louisiana","Louisiana","Active","","","",""
"Zeta Mu Omega","February 26, 1955","Gastonia","https://en.wikipedia.org/wiki/Gastonia,_North_Carolina","North Carolina","Active","160","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-212","[","]"
"Zeta Nu Omega","March 12, 1955","New Rochelle","https://en.wikipedia.org/wiki/New_Rochelle,_New_York","New York","Active","161","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-213","[","]"
"Zeta Xi Omega","March 13, 1955","Augusta","https://en.wikipedia.org/wiki/Augusta,_Georgia","Georgia","Active","162","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-214","[","]"
"Zeta Omicron Omega","March 19, 1955","Kinston","https://en.wikipedia.org/wiki/Kinston,_North_Carolina","","Active","163","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-215","[","]"
"Zeta Pi Omega","April 2, 1955","Fayetteville","https://en.wikipedia.org/wiki/Fayetteville,_North_Carolina","","Active","164","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-216","[","]"
"Zeta Rho Omega","April 16, 1955","Fort Lauderdale","https://en.wikipedia.org/wiki/Fort_Lauderdale,_Florida","Florida","Active","165","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-217","[","]"
"Zeta Sigma Omega","November 25, 1955","Portland","https://en.wikipedia.org/wiki/Portland,_Oregon","Oregon","Active","166","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-218","[","]"
"Zeta Tau Omega","December 10, 1955","West Palm Beach","https://en.wikipedia.org/wiki/West_Palm_Beach,_Florida","Florida","Active","167","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-219","[","]"
"Zeta Upsilon Omega","December 15, 1955","St. Petersburg","https://en.wikipedia.org/wiki/St._Petersburg,_Florida","Florida","Active","168","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-220","[","]"
"Zeta Phi Omega","January 7, 1956","Monroe","https://en.wikipedia.org/wiki/Monroe,_Louisiana","Louisiana","Active","169","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-221","[","]"
"Zeta Chi Omega","May 25, 1956","Alexandria","https://en.wikipedia.org/wiki/Alexandria,_Virginia","Virginia","Active","37","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-:25-77","[","]"
"Zeta Psi Omega","February 9, 1957","Lake Charles","https://en.wikipedia.org/wiki/Lake_Charles,_Louisiana","Louisiana","Active","","","",""
"Zeta Omega Omega","February 23, 1957","Tacoma","https://en.wikipedia.org/wiki/Tacoma,_Washington","Washington","Active","170","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-222","[","]"
"Eta Alpha Omega","March 16, 1957","Rock Hill","https://en.wikipedia.org/wiki/Rock_Hill,_South_Carolina","South Carolina","Active","171","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-223","[","]"
"Eta Beta Omega","","Centreville","https://en.wikipedia.org/wiki/Centreville,_Virginia","Virginia","Active","","","",""
"Eta Gamma Omega","November 22, 1958","Sacramento","https://en.wikipedia.org/wiki/Sacramento,_California","California","Active","172","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-224","[","]"
"Eta Delta Omega","December 13, 1958","Lubbock","https://en.wikipedia.org/wiki/Lubbock,_Texas","Texas","Active","173","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-225","[","]"
"Eta Epsilon Omega","December 13, 1958","Tucson","https://en.wikipedia.org/wiki/Tucson,_Arizona","Arizona","Active","174","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-226","[","]"
"Eta Zeta Omega","February 14, 1959","Sumter","https://en.wikipedia.org/wiki/Sumter,_South_Carolina","South Carolina","Active","175","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-227","[","]"
"Eta Eta Omega","February 28, 1959","Fort Pierce","https://en.wikipedia.org/wiki/Fort_Pierce,_Florida","Florida","Active","176","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-228","[","]"
"Eta Theta Omega","","Greenville","https://en.wikipedia.org/wiki/Greenville,_Mississippi","Mississippi","Active","","","",""
"Eta Iota Omega","February 6, 1960","Inkster","https://en.wikipedia.org/wiki/Inkster,_Michigan","Michigan","Active","177","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-229","[","]"
"Eta Kappa Omega","","East Chicago","https://en.wikipedia.org/wiki/East_Chicago,_Indiana","Indiana","Active","","","",""
"Eta Lambda Omega","March 6, 1960","Pasadena","https://en.wikipedia.org/wiki/Pasadena,_California","California","Active","178","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-230","[","]"
"Eta Mu Omega","","South Bend","https://en.wikipedia.org/wiki/South_Bend,_Indiana","Indiana","Active","","","",""
"Eta Nu Omega","","Riverside","https://en.wikipedia.org/wiki/Riverside,_California","California","Active","","","",""
"Eta Xi Omega","November 11, 1961","Tuscaloosa","https://en.wikipedia.org/wiki/Tuscaloosa,_Alabama","Alabama","Active","22","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-:26-45","[","]"
"Eta Omicron Omega","November 18, 1961","High Point","https://en.wikipedia.org/wiki/High_Point,_North_Carolina","North Carolina","Active","38","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-:29-79","[","]"
"Eta Pi Omega","November 24, 1961","El Paso","https://en.wikipedia.org/wiki/El_Paso,_Texas","Texas","Active","179","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-231","[","]"
"Eta Rho Omega","December 2, 1961","San Jose","https://en.wikipedia.org/wiki/San_Jose,_California","California","Active","25","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-:27-51","[","]"
"Eta Sigma Omega","December 21, 1961","Marianna","https://en.wikipedia.org/wiki/Marianna,_Arkansas","Arkansas","Active","30","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-:28-62","[","]"
"Eta Tau Omega","February 10, 1962","Ocala","https://en.wikipedia.org/wiki/Ocala,_Florida","Florida","Active","180","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-:30-234","[","]"
"Eta Upsilon Omega","February 1, 1962","Saginaw","https://en.wikipedia.org/wiki/Saginaw,_Michigan","Michigan","Active","181","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-235","[","]"
"Eta Phi Omega","","Charlottesville","https://en.wikipedia.org/wiki/Charlottesville,_Virginia","Virginia","Active","","","",""
"Eta Chi Omega","March 30, 1963","Lafayette","https://en.wikipedia.org/wiki/Lafayette,_Louisiana","Louisiana","Active","182","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-236","[","]"
"Eta Psi Omega","September 21, 1963","Nassau","https://en.wikipedia.org/wiki/Nassau,_Bahamas","","Active","","","",""
"Eta Omega Omega","May 23, 1964","Bronx","https://en.wikipedia.org/wiki/The_Bronx","New York","Active","183","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-237","[","]"
"Theta Alpha Omega","October 25, 1964","Long Beach","https://en.wikipedia.org/wiki/Long_Beach,_California","California","Active","184","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-238","[","]"
"Theta Beta Omega","November 21, 1964","New Bern","https://en.wikipedia.org/wiki/New_Bern,_North_Carolina","North Carolina","Active","185","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-239","[","]"
"","","Abilene","https://en.wikipedia.org/wiki/Abilene,_Texas","Texas","Inactive","186","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-241","[","]"
"Theta Delta Omega","November 28, 1964","Midland","https://en.wikipedia.org/wiki/Midland,_Texas","Texas","Active","187","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-242","[","]"
"Theta Epsilon Omega","January 17, 1965","New Haven","https://en.wikipedia.org/wiki/New_Haven,_Connecticut","Connecticut","Active","188","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-243","[","]"
"Theta Zeta Omega","May 15, 1965","Ocean Springs","https://en.wikipedia.org/wiki/Ocean_Springs,_Mississippi","Mississippi","Active","189","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-244","[","]"
"Theta Eta Omega","","Humboldt","https://en.wikipedia.org/wiki/Humboldt,_Tennessee","Tennessee","Active","","","",""
"Theta Theta Omega","May 23, 1965","Las Vegas","https://en.wikipedia.org/wiki/Las_Vegas","Nevada","Active","190","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-245","[","]"
"Theta Iota Omega","October 29, 1966","West Hempstead","https://en.wikipedia.org/wiki/West_Hempstead,_New_York","New York","Active","191","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-246","[","]"
"Theta Kappa Omega","November 5, 1966","Atlantic City","https://en.wikipedia.org/wiki/Atlantic_City,_New_Jersey","New Jersey","Active","192","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-247","[","]"
"Theta Lambda Omega","November 19, 1966","Pontiac","https://en.wikipedia.org/wiki/Pontiac,_Michigan","Michigan","Active","193","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-248","[","]"
"Theta Mu Omega","December 18, 1966","Los Angeles","https://en.wikipedia.org/wiki/Los_Angeles","California","Active","194","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-249","[","]"
"Theta Nu Omega","February 4, 1967","Fort Myers","https://en.wikipedia.org/wiki/Fort_Myers,_Florida","Florida","Active","195","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-250","[","]"
"Theta Xi Omega","","LaGrange","https://en.wikipedia.org/wiki/LaGrange,_Georgia","Georgia","Active","","","",""
"Theta Omicron Omega","May 27, 1967","Cedartown","https://en.wikipedia.org/wiki/Cedartown,_Georgia","Georgia","Active","","","",""
"Theta Pi Omega","November 11, 1967","Blackwood","https://en.wikipedia.org/wiki/Blackwood,_New_Jersey","New Jersey","Active","196","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-251","[","]"
"Theta Rho Omega","November 17, 1968","Matteson","https://en.wikipedia.org/wiki/Matteson,_Illinois","Illinois","Active","197","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-252","[","]"
"Theta Sigma Omega","November 16, 1968","Hattiesburg","https://en.wikipedia.org/wiki/Hattiesburg,_Mississippi","Mississippi","Active","28","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-:31-59","[","]"
"Theta Tau Omega","November 23, 1968","Bridgeport","https://en.wikipedia.org/wiki/Bridgeport,_Connecticut","Connecticut","Active","198","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-253","[","]"
"Theta Upsilon Omega","November 29, 1968","Lawton","https://en.wikipedia.org/wiki/Lawton,_Oklahoma","Oklahoma","Active","","","",""
"Theta Phi Omega","December 14, 1968","Plainfield","https://en.wikipedia.org/wiki/Plainfield,_New_Jersey","New Jersey","Active","199","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-254","[","]"
"Theta Chi Omega","October 4, 1969","Grand Rapids","https://en.wikipedia.org/wiki/Grand_Rapids,_Michigan","Michigan","Active","200","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-255","[","]"
"Theta Psi Omega","October 19, 1969","Providence","https://en.wikipedia.org/wiki/Providence,_Rhode_Island","Rhode Island","Active","201","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-256","[","]"
"Theta Omega Omega","November 22, 1969","Silver Spring","https://en.wikipedia.org/wiki/Silver_Spring,_Maryland","Maryland","Active","202","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-257","[","]"
"Iota Alpha Omega","December 6, 1969","Poughkeepsie","https://en.wikipedia.org/wiki/Poughkeepsie,_New_York","New York","Active","203","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-258","[","]"
"Iota Beta Omega","November 14, 1970","Colorado Springs","https://en.wikipedia.org/wiki/Colorado_Springs,_Colorado","Colorado","Active","204","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-259","[","]"
"Iota Gamma Omega","November 14, 1970","Lanham","https://en.wikipedia.org/wiki/Lanham,_Maryland","Maryland","Active","205","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-260","[","]"
"Iota Delta Omega","December 5, 1970","Clarksdale","https://en.wikipedia.org/wiki/Clarksdale,_Mississippi","Mississippi","Active","206","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-261","[","]"
"Iota Epsilon Omega","January 31, 1971","Teaneck","https://en.wikipedia.org/wiki/Teaneck,_New_Jersey","New Jersey","Active","207","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-262","[","]"
"Iota Zeta Omega","","Des Moines","https://en.wikipedia.org/wiki/Des_Moines,_Iowa","Iowa","Active","12","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-:32-23","[","]"
"Iota Eta Omega","","Franklin","https://en.wikipedia.org/wiki/Franklin,_Louisiana","Louisiana","Active","","","",""
"Iota Theta Omega","","Lancaster","https://en.wikipedia.org/wiki/Lancaster,_South_Carolina","South Carolina","Active","","","",""
"Iota Iota Omega","October 7, 1972","Benton Harbor","https://en.wikipedia.org/wiki/Benton_Harbor,_Michigan","Michigan","Active","208","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-263","[","]"
"Iota Kappa Omega","October 28, 1972","Greenville","https://en.wikipedia.org/wiki/Greenville,_North_Carolina","North Carolina","Active","209","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-264","[","]"
"Iota Lambda Omega","October 7, 1972","Columbia","https://en.wikipedia.org/wiki/Columbia,_Maryland","Maryland","Active","210","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-265","[","]"
"Iota Mu Omega","","Anniston","https://en.wikipedia.org/wiki/Anniston,_Alabama","Alabama","Active","","","",""
"Iota Nu Omega","November 11, 1972","Syracuse","https://en.wikipedia.org/wiki/Syracuse,_New_York","New York","Active","211","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-266","[","]"
"Iota Xi Omega","","Albuquerque","https://en.wikipedia.org/wiki/Albuquerque,_New_Mexico","New Mexico","Active","","","",""
"Iota Omicron Omega","December 16, 1972","Clovis","https://en.wikipedia.org/wiki/Clovis,_California","California","Active","20","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-:33-41","[","]"
"Iota Pi Omega","December 16, 1972","Rockledge","https://en.wikipedia.org/wiki/Rockledge,_Florida","Florida","Active","212","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-268","[","]"
"Iota Rho Omega","","Minden","https://en.wikipedia.org/wiki/Minden,_Louisiana","Louisiana","Active","","","",""
"Iota Sigma Omega","October 27, 1973","Kalamazoo","https://en.wikipedia.org/wiki/Kalamazoo,_Michigan","Michigan","Active","213","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-:35-269","[","]"
"Iota Tau Omega","November 10, 1973","West Chester","https://en.wikipedia.org/wiki/West_Chester,_Pennsylvania","Pennsylvania","Active","214","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-270","[","]"
"Iota Upsilon Omega","December 1, 1973","Greenwood","https://en.wikipedia.org/wiki/Greenwood,_South_Carolina","South Carolina","Active","","","",""
"Iota Phi Omega","December 1973","Elyria","https://en.wikipedia.org/wiki/Elyria,_Ohio","Ohio","Active","213","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-:35-269","[","]"
"Iota Chi Omega","December 15, 1973","Fort Wayne","https://en.wikipedia.org/wiki/Fort_Wayne,_Indiana","Indiana","Active","","","",""
"Iota Psi Omega","","Athens","https://en.wikipedia.org/wiki/Athens,_Georgia","Georgia","Active","215","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-271","[","]"
"Iota Omega Omega","January 5, 1974","Camden","https://en.wikipedia.org/wiki/Camden,_South_Carolina","South Carolina","Active","216","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-272","[","]"
"Kappa Alpha Omega","April 16, 1974","Itta Bena","https://en.wikipedia.org/wiki/Itta_Bena,_Mississippi","Mississippi","Active","217","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-273","[","]"
"Kappa Beta Omega","March 23, 1974","Vellejo","https://en.wikipedia.org/wiki/Vallejo,_California","California","Active","218","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-274","[","]"
"Kappa Gamma Omega","April 27, 1974","Seaside","https://en.wikipedia.org/wiki/Seaside,_California","California","Active","219","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-275","[","]"
"Kappa Delta Omega","May 25, 1974","Martinsville","https://en.wikipedia.org/wiki/Martinsville,_Virginia","Virginia","Active","220","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-276","[","]"
"","","Muncie","https://en.wikipedia.org/wiki/Muncie,_Indiana","Indiana","Inactive ?","221","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-277","[","]"
"Kappa Zeta Omega","","Anderson","https://en.wikipedia.org/wiki/Anderson,_South_Carolina","South Carolina","Active","","","",""
"Kappa Eta Omega","June 1974","Valdosta","https://en.wikipedia.org/wiki/Valdosta,_Georgia","Georgia","Active","31","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-:34-63","[","]"
"Kappa Theta Omega","October 26, 1985","Easton","https://en.wikipedia.org/wiki/Easton,_Maryland","Maryland","Active","223","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-279","[","]"
"Kappa Iota Omega","","Garysburg","https://en.wikipedia.org/wiki/Garysburg,_North_Carolina","North Carolina","Active","","","",""
"Kappa Kappa Omega","December 14, 1974","Pompano Beach","https://en.wikipedia.org/wiki/Pompano_Beach,_Florida","Florida","Active","224","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-280","[","]"
"Kappa Lambda Omega","January 25, 1976","Nashville","https://en.wikipedia.org/wiki/Nashville,_Tennessee","Tennessee","Active","225","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-281","[","]"
"Kappa Mu Omega","","Joliet","https://en.wikipedia.org/wiki/Joliet,_Illinois","Illinois","Active","","","",""
"Kappa Nu Omega","June 29, 1975","Jonesboro","https://en.wikipedia.org/wiki/Jonesboro,_Arkansas","Arkansas","Active","226","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-282","[","]"
"Kappa Xi Omega","","Texarkana","https://en.wikipedia.org/wiki/Texarkana,_Texas","Texas","Active","","","",""
"Kappa Omicron Omega","","Bartow","https://en.wikipedia.org/wiki/Bartow,_Florida","Florida","Active","","","",""
"Kappa Pi Omega","","Daleville","https://en.wikipedia.org/wiki/Daleville,_Alabama","Alabama","Active","","","",""
"Kappa Rho Omega","March 6, 1976","Farmville","https://en.wikipedia.org/wiki/Farmville,_Virginia","Virginia","Active","227","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-283","[","]"
