"tablescraper-selected-row 3","tablescraper-selected-row 5","tablescraper-selected-row 6","tablescraper-selected-row href","tablescraper-selected-row 7","tablescraper-selected-row 8","reference","reference href","cite-bracket","cite-bracket 2"
"Psi Omega","","","","Massachusetts","Active","66","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-akaboston.org-113","[","]"
"Omega Omega","December 10, 1926","Philadelphia","https://en.wikipedia.org/wiki/Philadelphia","Pennsylvania","Active","67","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-akaomegaomegachapter.com-114","[","]"
"Alpha Alpha Omega","","Pittsburgh","https://en.wikipedia.org/wiki/Pittsburgh","Pennsylvania","Active","68","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-akapghaao.com-115","[","]"
"Alpha Beta Omega","July 23, 1927","New Orleans","https://en.wikipedia.org/wiki/New_Orleans","Louisiana","Active","69","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-alphabetaomega.org-116","[","]"
"Alpha Gamma Omega","October 1, 1927","Los Angeles","https://en.wikipedia.org/wiki/Los_Angeles","California","Active","","","",""
"Alpha Delta Omega","October 9, 1927","Nashville","https://en.wikipedia.org/wiki/Nashville,_Tennessee","Tennessee","Active","70","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-1908ado.org-117","[","]"
"Alpha Epsilon Omega","","Muskogee","https://en.wikipedia.org/wiki/Muskogee,_Oklahoma","Oklahoma","Active","","","",""
"Alpha Zeta Omega","April 14, 1928","Durham","https://en.wikipedia.org/wiki/Durham,_North_Carolina","North Carolina","Active","71","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-alphazetaomega.org-119","[","]"
"Alpha Eta Omega","","Terre Haute","https://en.wikipedia.org/wiki/Terre_Haute,_Indiana","Indiana","Active","","","",""
"Alpha Theta Omega","June 15, 1928","Raleigh","https://en.wikipedia.org/wiki/Raleigh,_North_Carolina","North Carolina","Active","72","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-alphathetaomega-aka.org-120","[","]"
"Alpha Iota Omega","September 1928","Topeka","https://en.wikipedia.org/wiki/Topeka,_Kansas","Kansas","Active","73","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-alphaiotaomega.org-121","[","]"
"Alpha Kappa Omega","","Houston","https://en.wikipedia.org/wiki/Houston","Texas","Active","74","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-President_Message-122","[","]"
"Alpha Lambda Omega","","Charlotte","https://en.wikipedia.org/wiki/Charlotte,_North_Carolina","North Carolina","Active","75","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-alphalambdaomega.org-123","[","]"
"Alpha Mu Omega","February 16, 1929","Indianapolis","https://en.wikipedia.org/wiki/Indianapolis","Indiana","Active","76","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-akaamo.org-124","[","]"
"Alpha Nu Omega","June 8, 1929","Oakland","https://en.wikipedia.org/wiki/Oakland,_California","California","Active","77","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-Our_History_and_Mission-125","[","]"
"Alpha Xi Omega","June 6, 1929","Dallas","https://en.wikipedia.org/wiki/Dallas","Texas","Active","78","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-Alpha_Xi_Omega-126","[","]"
"Alpha Omicron Omega","November 7, 1929","Institute","https://en.wikipedia.org/wiki/Institute,_West_Virginia","West Virginia","Active","79","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-akacharlestonwvaoo.com-127","[","]"
"Alpha Pi Omega","November 23, 1929","Knoxville","https://en.wikipedia.org/wiki/Knoxville,_Tennessee","Tennessee","Active","80","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-Alpha_Pi_Omega_Chapter_History-128","[","]"
"Alpha Rho Omega","","Detroit","https://en.wikipedia.org/wiki/Detroit","Michigan","Active","5","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-:10-9","[","]"
"Alpha Sigma Omega","October 6, 1930","Columbus","https://en.wikipedia.org/wiki/Columbus,_Ohio","Ohio","Active","81","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-Our_Legacy-130","[","]"
"Alpha Tau Omega","","San Antonio","https://en.wikipedia.org/wiki/San_Antonio","Texas","Active","82","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-atoaka.net-131","[","]"
"Alpha Upsilon Omega","","Oklahoma City","https://en.wikipedia.org/wiki/Oklahoma_City","Oklahoma","Active","","","",""
"Alpha Phi Omega","May 31, 1931","Danville","https://en.wikipedia.org/wiki/Danville,_Virginia","Virginia","Active","83","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-chathamstartribune.com-132","[","]"
