"tablescraper-selected-row","tablescraper-selected-row 2","tablescraper-selected-row 3","tablescraper-selected-row 4","tablescraper-selected-row href","tablescraper-selected-row 5","tablescraper-selected-row href 2","tablescraper-selected-row 6","reference","reference href","cite-bracket","cite-bracket 2","mw-redirect","mw-redirect href"
"1190","Alpha Zeta","April 11, 1973","Arkansas State University","https://en.wikipedia.org/wiki/Arkansas_State_University","","","Active","26","https://en.wikipedia.org/wiki/List_of_Omega_Psi_Phi_chapters#cite_note-:17-40","[","]","State University, Arkansas","https://en.wikipedia.org/wiki/State_University,_Arkansas"
"1221","Theta Eta","April 19, 1975","Jacksonville State University","https://en.wikipedia.org/wiki/Jacksonville_State_University","Jacksonville, Alabama","https://en.wikipedia.org/wiki/Jacksonville,_Alabama","Active","","","","","",""
"1198","Iota Zeta","April 23, 1973","University of Tennessee at Martin","https://en.wikipedia.org/wiki/University_of_Tennessee_at_Martin","Martin, Tennessee","https://en.wikipedia.org/wiki/Martin,_Tennessee","Active","6","https://en.wikipedia.org/wiki/List_of_Omega_Psi_Phi_chapters#cite_note-:0-7","[","]","",""
"1201","Mu Zeta","April 25, 1973","Middle Tennessee State University","https://en.wikipedia.org/wiki/Middle_Tennessee_State_University","Murfreesboro, Tennessee","https://en.wikipedia.org/wiki/Murfreesboro,_Tennessee","Active","6","https://en.wikipedia.org/wiki/List_of_Omega_Psi_Phi_chapters#cite_note-:0-7","[","]","",""
"1192","Gamma Zeta","May 2, 1973","Mercer University","https://en.wikipedia.org/wiki/Mercer_University","Macon, Georgia","https://en.wikipedia.org/wiki/Macon,_Georgia","Active","","","","","",""
"1193","Delta Zeta (First)","May 21, 1973","Villanova University","https://en.wikipedia.org/wiki/Villanova_University","Villanova, Pennsylvania","https://en.wikipedia.org/wiki/Villanova,_Pennsylvania","Inactive, Reassigned","","","","","",""
"1194","Epsilon Zeta","July 31, 1973","University of North Carolina at Charlotte","https://en.wikipedia.org/wiki/University_of_North_Carolina_at_Charlotte","Charlotte, North Carolina","https://en.wikipedia.org/wiki/Charlotte,_North_Carolina","Active","","","","","",""
"1195","Zeta Zeta","July 31, 1973","University of South Carolina","https://en.wikipedia.org/wiki/University_of_South_Carolina","Columbia, South Carolina","https://en.wikipedia.org/wiki/Columbia,_South_Carolina","Active","","","","","",""
"1196","Eta Zeta","July 31, 1973","University of Mississippi","https://en.wikipedia.org/wiki/University_of_Mississippi","Oxford, Mississippi","https://en.wikipedia.org/wiki/Oxford,_Mississippi","Active","","","","","",""
"1197","Theta Zeta","September 9, 1973","East Tennessee State University","https://en.wikipedia.org/wiki/East_Tennessee_State_University","Johnson City, Tennessee","https://en.wikipedia.org/wiki/Johnson_City,_Tennessee","Active","6","https://en.wikipedia.org/wiki/List_of_Omega_Psi_Phi_chapters#cite_note-:0-7","[","]","",""
"1199","Kappa Zeta","September 10, 1973","Southeastern Oklahoma State University","https://en.wikipedia.org/wiki/Southeastern_Oklahoma_State_University","Durant, Oklahoma","https://en.wikipedia.org/wiki/Durant,_Oklahoma","Inactive","22","https://en.wikipedia.org/wiki/List_of_Omega_Psi_Phi_chapters#cite_note-:20-35","[","]","",""
"1200","Lambda Zeta","September 10, 1973","University of Virginia","https://en.wikipedia.org/wiki/University_of_Virginia","Charlottesville, Virginia","https://en.wikipedia.org/wiki/Charlottesville,_Virginia","Active","5","https://en.wikipedia.org/wiki/List_of_Omega_Psi_Phi_chapters#cite_note-:15-5","[","]","",""
"1203","Xi Zeta","September 28, 1973","University of Memphis","https://en.wikipedia.org/wiki/University_of_Memphis","Memphis, Tennessee","https://en.wikipedia.org/wiki/Memphis,_Tennessee","Active","6","https://en.wikipedia.org/wiki/List_of_Omega_Psi_Phi_chapters#cite_note-:0-7","[","]","",""
"1202","Nu Zeta","September 29, 1973","West Virginia University","https://en.wikipedia.org/wiki/West_Virginia_University","Morgantown, West Virginia","https://en.wikipedia.org/wiki/Morgantown,_West_Virginia","Active","20","https://en.wikipedia.org/wiki/List_of_Omega_Psi_Phi_chapters#cite_note-:16-31","[","]","",""
"1207","Sigma Zeta","November 3, 1973","Whitewater, Wisconsin","https://en.wikipedia.org/wiki/Whitewater,_Wisconsin","","","Active","","","","","University of Wisconsin at Whitewater","https://en.wikipedia.org/wiki/University_of_Wisconsin_at_Whitewater"
"1204","Omicron Zeta","November 5, 1973","University of Florida","https://en.wikipedia.org/wiki/University_of_Florida","Gainesville, Florida","https://en.wikipedia.org/wiki/Gainesville,_Florida","Active","","","","","",""
"1205","Pi Zeta","November 6, 1973","Berea, Ohio","https://en.wikipedia.org/wiki/Berea,_Ohio","","","Active","","","","","Baldwin Wallace College","https://en.wikipedia.org/wiki/Baldwin_Wallace_College"
"1206","Rho Zeta","November 6, 1973","Kean University","https://en.wikipedia.org/wiki/Kean_University","Union, New Jersey","https://en.wikipedia.org/wiki/Union_Township,_Union_County,_New_Jersey","Active","","","","","",""
"1208","Tau Zeta","November 6, 1973","Rutgers University","https://en.wikipedia.org/wiki/Rutgers_University","New Brunswick, New Jersey","https://en.wikipedia.org/wiki/New_Brunswick,_New_Jersey","Active","","","","","",""
