"tablescraper-selected-row","tablescraper-selected-row 2","tablescraper-selected-row 3","reference","reference href","cite-bracket","cite-bracket 2","tablescraper-selected-row 4","tablescraper-selected-row href","reference 2","reference href 2","cite-bracket 3","cite-bracket 4","tablescraper-selected-row 5"
"Kappa Eta Sigma","– 202x ?","Inactive","85","https://en.wikipedia.org/wiki/List_of_Sigma_Gamma_Rho_chapters#cite_note-:15-100","[","]","Scottsdale, Arizona","https://en.wikipedia.org/wiki/Scottsdale,_Arizona","","","","","December 1, 2006"
"Kappa Theta Sigma","","Inactive","","","","","","","","","","",""
"Kappa Iota Sigma","200x ?","Active","67","https://en.wikipedia.org/wiki/List_of_Sigma_Gamma_Rho_chapters#cite_note-:4-81","[","]","Selinsgrove, Pennsylvania","https://en.wikipedia.org/wiki/Selinsgrove,_Pennsylvania","","","","",""
"Kappa Kappa Sigma","","Active","8","https://en.wikipedia.org/wiki/List_of_Sigma_Gamma_Rho_chapters#cite_note-:10-9","[","]","Southfield, Michigan","https://en.wikipedia.org/wiki/Southfield,_Michigan","","","","","April 14, 2007"
"Kappa Lambda Sigma","","Active","61","https://en.wikipedia.org/wiki/List_of_Sigma_Gamma_Rho_chapters#cite_note-:11-75","[","]","Anniston, Alabama","https://en.wikipedia.org/wiki/Anniston,_Alabama","165","https://en.wikipedia.org/wiki/List_of_Sigma_Gamma_Rho_chapters#cite_note-180","[","]","September 15, 2007"
"Kappa Mu Sigma","","Inactive","","","","","","","","","","",""
"Kappa Nu Sigma","","Active","24","https://en.wikipedia.org/wiki/List_of_Sigma_Gamma_Rho_chapters#cite_note-:12-30","[","]","","","","","","","October 2007"
"Kappa Xi Sigma","","Active","66","https://en.wikipedia.org/wiki/List_of_Sigma_Gamma_Rho_chapters#cite_note-:8-80","[","]","Conway, Arkansas","https://en.wikipedia.org/wiki/Conway,_Arkansas","166","https://en.wikipedia.org/wiki/List_of_Sigma_Gamma_Rho_chapters#cite_note-181","[","]","October 27, 2007"
"Kappa Omicron Sigma","","Active","67","https://en.wikipedia.org/wiki/List_of_Sigma_Gamma_Rho_chapters#cite_note-:4-81","[","]","Harrisburg, Pennsylvania","https://en.wikipedia.org/wiki/Harrisburg,_Pennsylvania","167","https://en.wikipedia.org/wiki/List_of_Sigma_Gamma_Rho_chapters#cite_note-182","[","]","May 8, 2008"
"Kappa Pi Sigma","200x ?","Active","67","https://en.wikipedia.org/wiki/List_of_Sigma_Gamma_Rho_chapters#cite_note-:4-81","[","]","Atlantic City, New Jersey","https://en.wikipedia.org/wiki/Atlantic_City,_New_Jersey","","","","",""
"Kappa Rho Sigma","","Active","61","https://en.wikipedia.org/wiki/List_of_Sigma_Gamma_Rho_chapters#cite_note-:11-75","[","]","Goose Creek, South Carolina","https://en.wikipedia.org/wiki/Goose_Creek,_South_Carolina","168","https://en.wikipedia.org/wiki/List_of_Sigma_Gamma_Rho_chapters#cite_note-183","[","]","May 24, 2008"
"Kappa Sigma Sigma","200x ?","Active","85","https://en.wikipedia.org/wiki/List_of_Sigma_Gamma_Rho_chapters#cite_note-:15-100","[","]","Flagstaff, Arizona","https://en.wikipedia.org/wiki/Flagstaff,_Arizona","","","","",""
"Kappa Tau Sigma","","Active","61","https://en.wikipedia.org/wiki/List_of_Sigma_Gamma_Rho_chapters#cite_note-:11-75","[","]","Murfreesboro, Tennessee","https://en.wikipedia.org/wiki/Murfreesboro,_Tennessee","169","https://en.wikipedia.org/wiki/List_of_Sigma_Gamma_Rho_chapters#cite_note-184","[","]","June 12, 2008"
"Kappa Upsilon Sigma","","Active","61","https://en.wikipedia.org/wiki/List_of_Sigma_Gamma_Rho_chapters#cite_note-:11-75","[","]","Beaufort, South Carolina","https://en.wikipedia.org/wiki/Beaufort,_South_Carolina","170","https://en.wikipedia.org/wiki/List_of_Sigma_Gamma_Rho_chapters#cite_note-185","[","]","September 1, 2008"
"Kappa Phi Sigma","","Inactive","","","","","","","","","","",""
"Kappa Chi Sigma","","Active","67","https://en.wikipedia.org/wiki/List_of_Sigma_Gamma_Rho_chapters#cite_note-:4-81","[","]","Norristown, Pennsylvania","https://en.wikipedia.org/wiki/Norristown,_Pennsylvania","171","https://en.wikipedia.org/wiki/List_of_Sigma_Gamma_Rho_chapters#cite_note-186","[","]","October 25, 2008"
"Kappa Psi Sigma","","Active","61","https://en.wikipedia.org/wiki/List_of_Sigma_Gamma_Rho_chapters#cite_note-:11-75","[","]","Valdosta, Georgia","https://en.wikipedia.org/wiki/Valdosta,_Georgia","172","https://en.wikipedia.org/wiki/List_of_Sigma_Gamma_Rho_chapters#cite_note-187","[","]","October 28, 2008"
"Kappa Omega Sigma","– 20xx ?; September 15, 2018","Active","61","https://en.wikipedia.org/wiki/List_of_Sigma_Gamma_Rho_chapters#cite_note-:11-75","[","]","Gibsonton, Florida","https://en.wikipedia.org/wiki/Gibsonton,_Florida","173","https://en.wikipedia.org/wiki/List_of_Sigma_Gamma_Rho_chapters#cite_note-188","[","]","November 11, 2008"
"Lambda Alpha Sigma","– 20xx ?; August 22, 2020","Active","85","https://en.wikipedia.org/wiki/List_of_Sigma_Gamma_Rho_chapters#cite_note-:15-100","[","]","Tucson, Arizona","https://en.wikipedia.org/wiki/Tucson,_Arizona","174","https://en.wikipedia.org/wiki/List_of_Sigma_Gamma_Rho_chapters#cite_note-189","[","]","June 6, 2009"
