"tablescraper-selected-row","tablescraper-selected-row 2","tablescraper-selected-row 3","reference","reference href","cite-bracket","cite-bracket 2","tablescraper-selected-row 4","tablescraper-selected-row href","reference 2","reference href 2","cite-bracket 3","cite-bracket 4","tablescraper-selected-row 5"
"Nu Theta Sigma","","Active","61","https://en.wikipedia.org/wiki/List_of_Sigma_Gamma_Rho_chapters#cite_note-:11-75","[","]","West Point, Mississippi","https://en.wikipedia.org/wiki/West_Point,_Mississippi","","","","","March 6, 2021"
"Nu Iota Sigma","","Active","64","https://en.wikipedia.org/wiki/List_of_Sigma_Gamma_Rho_chapters#cite_note-:7-78","[","]","Hammond, Louisiana","https://en.wikipedia.org/wiki/Hammond,_Louisiana","","","","","March 17, 2021"
"Nu Kappa Sigma","","Active","","","","","Belize","https://en.wikipedia.org/wiki/Belize","","","","","November 12, 2021"
"Nu Lambda Sigma","","Active","","","","","","","","","","","December 12, 2021"
"Nu Mu Sigma","","Active","61","https://en.wikipedia.org/wiki/List_of_Sigma_Gamma_Rho_chapters#cite_note-:11-75","[","]","Hinesville, Georgia","https://en.wikipedia.org/wiki/Hinesville,_Georgia","203","https://en.wikipedia.org/wiki/List_of_Sigma_Gamma_Rho_chapters#cite_note-219","[","]","January 22, 2022"
"Nu Nu Sigma","","Active","","","","","Newberry, SC","https://en.wikipedia.org/wiki/Newberry,_South_Carolina","","","","","December 12, 2021"
"Nu Xi Sigma","","Active","61","https://en.wikipedia.org/wiki/List_of_Sigma_Gamma_Rho_chapters#cite_note-:11-75","[","]","Dublin, Georgia","https://en.wikipedia.org/wiki/Dublin,_Georgia","","","","","March 17, 2021"
"Nu Omicron Sigma","","Active","","","","","Frederick, Maryland","https://en.wikipedia.org/wiki/Frederick,_Maryland","","","","","April 2022"
"Nu Pi Sigma","","Active","62","https://en.wikipedia.org/wiki/List_of_Sigma_Gamma_Rho_chapters#cite_note-:6-76","[","]","Denton, Texas","https://en.wikipedia.org/wiki/Denton,_Texas","","","","","September 25, 2022"
"Nu Rho Sigma","","Inactive","","","","","","","","","","",""
"Nu Sigma Sigma","","Active","62","https://en.wikipedia.org/wiki/List_of_Sigma_Gamma_Rho_chapters#cite_note-:6-76","[","]","San Marcos, Texas","https://en.wikipedia.org/wiki/San_Marcos,_Texas","204","https://en.wikipedia.org/wiki/List_of_Sigma_Gamma_Rho_chapters#cite_note-220","[","]","February 25, 2023"
"Nu Tau Sigma","","Active","","","","","Spring Valley, NY","https://en.wikipedia.org/wiki/Spring_Valley,_New_York","","","","","April 1, 2023"
"Nu Upsilon Sigma","","Active","","","","","Laurinburg, NC","https://en.wikipedia.org/wiki/Laurinburg,_North_Carolina","","","","","April 1, 2023"
"Nu Phi Sigma","","Active","","","","","Reading, PA","https://en.wikipedia.org/wiki/Reading,_Pennsylvania","","","","","April 1, 2023"
"Nu Chi Sigma","","Active","","","","","Magnolia, AR","https://en.wikipedia.org/wiki/Magnolia,_Arkansas","","","","","April 16, 2023"
"Nu Psi Sigma","","Active","","","","","Dallas, GA","https://en.wikipedia.org/wiki/Dallas,_Georgia","","","","","July 9, 2023"
"Nu Omega Sigma","","Active","","","","","Tupelo, MS","https://en.wikipedia.org/wiki/Tupelo,_Mississippi","","","","","September 2, 2023"
"Xi Alpha Sigma","","Active","","","","","Tokyo, Japan","https://en.wikipedia.org/wiki/Tokyo","","","","","October 28, 2023"
"Xi Beta Sigma","","Active","","","","","Binghamton, NY","https://en.wikipedia.org/wiki/Binghamton,_New_York","","","","","November 12, 2023"
"Xi Gamma Sigma","","Active","","","","","Summerville, SC","https://en.wikipedia.org/wiki/Summerville,_South_Carolina","","","","","December 16, 2023"
