"tablescraper-selected-row","tablescraper-selected-row 2","tablescraper-selected-row 4","tablescraper-selected-row 5","reference","reference href","cite-bracket","cite-bracket 2","mw-redirect","mw-redirect href"
"Ann Arbor-Ypsilanti-Inkster (MI) Alumni Chapter","1958","Active","Northern","121","https://en.wikipedia.org/wiki/List_of_Kappa_Alpha_Psi_chapters#cite_note-125","[","]","Ann Arbor","https://en.wikipedia.org/wiki/Ann_Arbor,_MI"
"Tuscaloosa (AL) Alumni Chapter","1958","Active","Southern","","","","","Tuscaloosa, AL","https://en.wikipedia.org/wiki/Tuscaloosa,_AL"
"Evanston (IL) Alumni Chapter","1959","Active","North Central","122","https://en.wikipedia.org/wiki/List_of_Kappa_Alpha_Psi_chapters#cite_note-126","[","]","Evanston, IL","https://en.wikipedia.org/wiki/Evanston,_IL"
"San Bernardino (CA) Alumni Chapter","1959","Active","Western","123","https://en.wikipedia.org/wiki/List_of_Kappa_Alpha_Psi_chapters#cite_note-127","[","]","San Bernardino, CA","https://en.wikipedia.org/wiki/San_Bernardino,_CA"
"Huntsville (AL) Alumni Chapter","1960","Active","Southern","124","https://en.wikipedia.org/wiki/List_of_Kappa_Alpha_Psi_chapters#cite_note-128","[","]","Huntsville, AL","https://en.wikipedia.org/wiki/Huntsville,_AL"
"Harrisburg (PA) Alumni Chapter","1960","Active","Northeastern","125","https://en.wikipedia.org/wiki/List_of_Kappa_Alpha_Psi_chapters#cite_note-129","[","]","Harrisburg, PA","https://en.wikipedia.org/wiki/Harrisburg,_PA"
"Hattiesburg (MS) Alumni Chapter","1960","Active","Southwestern","","","","","Hattiesburg, MS","https://en.wikipedia.org/wiki/Hattiesburg,_MS"
"Pasadena (CA) Alumni Chapter","1961","Active","Western","126","https://en.wikipedia.org/wiki/List_of_Kappa_Alpha_Psi_chapters#cite_note-130","[","]","Pasadena, CA","https://en.wikipedia.org/wiki/Pasadena,_CA"
"Alexandria (LA) Alumni Chapter","1961","Active","Southwestern","","","","","Alexandria, LA","https://en.wikipedia.org/wiki/Alexandria,_LA"
"Opelousas (LA) Alumni Chapter","1961","Active","Southwestern","127","https://en.wikipedia.org/wiki/List_of_Kappa_Alpha_Psi_chapters#cite_note-131","[","]","Opelousas, LA","https://en.wikipedia.org/wiki/Opelousas,_LA"
"Athens (GA) Alumni Chapter","1962","Active","Southeastern","","","","","Athens, GA","https://en.wikipedia.org/wiki/Athens,_GA"
"Meridian (MS) Alumni Chapter","1962","Active","Southwestern","","","","","Meridian, MS","https://en.wikipedia.org/wiki/Meridian,_MS"
"El Paso-Las Cruces (TX-NM) Alumni Chapter","1962","Active","Southwestern","128","https://en.wikipedia.org/wiki/List_of_Kappa_Alpha_Psi_chapters#cite_note-132","[","]","El Paso, TX-Las Cruces, NM","https://en.wikipedia.org/wiki/El_Paso%E2%80%93Las_Cruces,_Texas%E2%80%93New_Mexico_combined_statistical_area"
"St. Petersburg (FL) Alumni Chapter","1962","Active","Southern","129","https://en.wikipedia.org/wiki/List_of_Kappa_Alpha_Psi_chapters#cite_note-133","[","]","St. Petersburg, FL","https://en.wikipedia.org/wiki/St._Petersburg,_FL"
"Lakeland (FL) Alumni Chapter","1963","Active","Southern","","","","","Lakeland, FL","https://en.wikipedia.org/wiki/Lakeland,_FL"
"Lawton-Fort Sill (OK) Alumni Chapter","1963","Active","Middle Western","130","https://en.wikipedia.org/wiki/List_of_Kappa_Alpha_Psi_chapters#cite_note-134","[","]","Lawton","https://en.wikipedia.org/wiki/Lawton,_OK"
"Monroe (LA) Alumni Chapter","1963","Active","Southwestern","131","https://en.wikipedia.org/wiki/List_of_Kappa_Alpha_Psi_chapters#cite_note-auto6-135","[","]","Monroe, LA","https://en.wikipedia.org/wiki/Monroe,_LA"
"Natchez (MS) Alumni Chapter","1964","Active","Southwestern","","","","","Natchez, MS","https://en.wikipedia.org/wiki/Natchez,_MS"
"Germany Alumni Chapter","1964","Active","Northeastern","132","https://en.wikipedia.org/wiki/List_of_Kappa_Alpha_Psi_chapters#cite_note-136","[","]","",""
"Las Vegas (NV) Alumni Chapter","1964","Active","Western","133","https://en.wikipedia.org/wiki/List_of_Kappa_Alpha_Psi_chapters#cite_note-137","[","]","Las Vegas, NV","https://en.wikipedia.org/wiki/Las_Vegas,_NV"
"Pontiac (MI) Alumni Chapter","1965","Active","Northern","134","https://en.wikipedia.org/wiki/List_of_Kappa_Alpha_Psi_chapters#cite_note-138","[","]","Pontiac, MI","https://en.wikipedia.org/wiki/Pontiac,_MI"
"Kingstree (SC) Alumni Chapter","1965","Active","Southeastern","135","https://en.wikipedia.org/wiki/List_of_Kappa_Alpha_Psi_chapters#cite_note-139","[","]","Kingstree, SC","https://en.wikipedia.org/wiki/Kingstree,_SC"
"Rock Hill (SC) Alumni Chapter","1965","Active","Southeastern","136","https://en.wikipedia.org/wiki/List_of_Kappa_Alpha_Psi_chapters#cite_note-140","[","]","Rock Hill, SC","https://en.wikipedia.org/wiki/Rock_Hill,_SC"
"Chicago Heights (IL) Alumni Chapter","1965","Active","North Central","","","","","Chicago Heights, IL","https://en.wikipedia.org/wiki/Chicago_Heights,_IL"
"Annapolis (MD) Alumni Chapter","1965","Active","Eastern","137","https://en.wikipedia.org/wiki/List_of_Kappa_Alpha_Psi_chapters#cite_note-141","[","]","Annapolis, MD","https://en.wikipedia.org/wiki/Annapolis,_MD"
"Gretna Alumni (LA) Chapter","1966","Active","Southwestern","131","https://en.wikipedia.org/wiki/List_of_Kappa_Alpha_Psi_chapters#cite_note-auto6-135","[","]","Gretna, LA","https://en.wikipedia.org/wiki/Gretna,_LA"
"Smithfield (NC) Alumni Chapter","1966","Active","Middle Eastern","138","https://en.wikipedia.org/wiki/List_of_Kappa_Alpha_Psi_chapters#cite_note-142","[","]","Smithfield, NC","https://en.wikipedia.org/wiki/Smithfield,_NC"
"Galena Park Alumni (TX) Chapter","1966","Inactive","Southwestern","131","https://en.wikipedia.org/wiki/List_of_Kappa_Alpha_Psi_chapters#cite_note-auto6-135","[","]","Galena Park, TX","https://en.wikipedia.org/wiki/Galena_Park,_TX"
"Prairie View (TX) Alumni Chapter","1966","Active","Southwestern","139","https://en.wikipedia.org/wiki/List_of_Kappa_Alpha_Psi_chapters#cite_note-143","[","]","Prairie View, TX","https://en.wikipedia.org/wiki/Prairie_View,_TX"
"Riverside (CA) Alumni Chapter","1967","Active","Western","140","https://en.wikipedia.org/wiki/List_of_Kappa_Alpha_Psi_chapters#cite_note-144","[","]","Riverside, CA","https://en.wikipedia.org/wiki/Riverside,_CA"
"Tucson-Sierra Vista (AZ) Alumni Chapter","1967","Active","Western","141","https://en.wikipedia.org/wiki/List_of_Kappa_Alpha_Psi_chapters#cite_note-145","[","]","Tucson, AZ","https://en.wikipedia.org/wiki/Tucson,_AZ"
"Benton Harbor (MI) Alumni Chapter","1968","Active","Northern","","","","","Benton Harbor, MI","https://en.wikipedia.org/wiki/Benton_Harbor,_MI"
"Poughkeepsie (NY) Alumni Chapter","1968","Active","Northeastern","142","https://en.wikipedia.org/wiki/List_of_Kappa_Alpha_Psi_chapters#cite_note-146","[","]","Poughkeepsie, NY","https://en.wikipedia.org/wiki/Poughkeepsie,_NY"
"Atmore (AL) Alumni Chapter","1969","Active","Southern","","","","","Atmore, AL","https://en.wikipedia.org/wiki/Atmore,_AL"
"Burlington-Camden (NJ) Alumni Chapter","1969","Active","Northeastern","143","https://en.wikipedia.org/wiki/List_of_Kappa_Alpha_Psi_chapters#cite_note-147","[","]","",""
"Fredericksburg (VA) Alumni Chapter","1969","Active","Eastern","144","https://en.wikipedia.org/wiki/List_of_Kappa_Alpha_Psi_chapters#cite_note-148","[","]","Fredericksburg, VA","https://en.wikipedia.org/wiki/Fredericksburg,_VA"
"Elizabeth City (NC) Alumni Chapter","1970","Active","Middle Eastern","145","https://en.wikipedia.org/wiki/List_of_Kappa_Alpha_Psi_chapters#cite_note-149","[","]","Elizabeth City, NC","https://en.wikipedia.org/wiki/Elizabeth_City,_NC"
"Conway-Myrtle Beach (SC) Alumni Chapter","1970","Active","Southeastern","146","https://en.wikipedia.org/wiki/List_of_Kappa_Alpha_Psi_chapters#cite_note-auto5-150","[","]","Conway","https://en.wikipedia.org/wiki/Conway,_SC"
"Champaign-Urbana (IL) Alumni Chapter","1970","Active","North Central","","","","","Champaign-Urbana, IL","https://en.wikipedia.org/wiki/Champaign-Urbana,_IL"
"Evansville (IN) Alumni Chapter","1970","Active","North Central","","","","","Evansville, IN","https://en.wikipedia.org/wiki/Evansville,_IN"
"San Jose (CA) Alumni Chapter","1970","Active","Western","147","https://en.wikipedia.org/wiki/List_of_Kappa_Alpha_Psi_chapters#cite_note-151","[","]","San Jose, CA","https://en.wikipedia.org/wiki/San_Jose,_CA"
"Wichita Falls (TX) Alumni Chapter","1971","Active","Southwestern","","","","","Wichita Falls, TX","https://en.wikipedia.org/wiki/Wichita_Falls,_TX"
"Aberdeen (MD) Alumni Chapter","1971","Active","Eastern","148","https://en.wikipedia.org/wiki/List_of_Kappa_Alpha_Psi_chapters#cite_note-152","[","]","Bel Air, MD","https://en.wikipedia.org/wiki/Bel_Air,_MD"
"Lubbock (TX) Alumni Chapter","1971","Active","Southwestern","","","","","Lubbock, TX","https://en.wikipedia.org/wiki/Lubbock,_TX"
"Albany (NY) Alumni Chapter","1971","Active","Northeastern","96","https://en.wikipedia.org/wiki/List_of_Kappa_Alpha_Psi_chapters#cite_note-auto2-100","[","]","Albany, NY","https://en.wikipedia.org/wiki/Albany,_NY"
"Fort Wayne (IN) Alumni Chapter","1972","Active","North Central","","","","","Fort Wayne, IN","https://en.wikipedia.org/wiki/Fort_Wayne,_IN"
"Honolulu (HI) Alumni Chapter","1972","Active","Western","149","https://en.wikipedia.org/wiki/List_of_Kappa_Alpha_Psi_chapters#cite_note-153","[","]","Honolulu, HI","https://en.wikipedia.org/wiki/Honolulu,_HI"
"Grand Rapids (MI) Alumni Chapter","1972","Active","Northern","150","https://en.wikipedia.org/wiki/List_of_Kappa_Alpha_Psi_chapters#cite_note-154","[","]","Grand Rapids, MI","https://en.wikipedia.org/wiki/Grand_Rapids,_MI"
"Silver Spring (MD) Alumni Chapter","1972","Active","Eastern","151","https://en.wikipedia.org/wiki/List_of_Kappa_Alpha_Psi_chapters#cite_note-155","[","]","Silver Spring, MD","https://en.wikipedia.org/wiki/Silver_Spring,_MD"
"Saginaw (MI) Alumni Chapter","1972","Active","Northern","152","https://en.wikipedia.org/wiki/List_of_Kappa_Alpha_Psi_chapters#cite_note-156","[","]","Saginaw, MI","https://en.wikipedia.org/wiki/Saginaw,_MI"
"Texarkana (TX) Alumni Chapter","1972","Active","Southwestern","","","","","Texarkana, TX","https://en.wikipedia.org/wiki/Texarkana,_TX"
"New Rochelle-White Plains (NY) Alumni Chapter","1972","Active","Northeastern","153","https://en.wikipedia.org/wiki/List_of_Kappa_Alpha_Psi_chapters#cite_note-157","[","]","New Rochelle","https://en.wikipedia.org/wiki/New_Rochelle,_NY"
"Bahamas Alumni Chapter","1973","Active","Southern","146","https://en.wikipedia.org/wiki/List_of_Kappa_Alpha_Psi_chapters#cite_note-auto5-150","[","]","",""
"Rochester (NY) Alumni Chapter","1973","Active","Northern","154","https://en.wikipedia.org/wiki/List_of_Kappa_Alpha_Psi_chapters#cite_note-158","[","]","Rochester, NY","https://en.wikipedia.org/wiki/Rochester,_NY"
"Langston (OK) Alumni Chapter","1973","Active","Middle Western","","","","","Langston, OK","https://en.wikipedia.org/wiki/Langston,_OK"
"Syracuse (NY) Alumni Chapter","1973","Active","Northern","155","https://en.wikipedia.org/wiki/List_of_Kappa_Alpha_Psi_chapters#cite_note-159","[","]","Syracuse, NY","https://en.wikipedia.org/wiki/Syracuse,_NY"
"Clarksville (TN) Alumni Chapter","1973","Inactive","South Central","156","https://en.wikipedia.org/wiki/List_of_Kappa_Alpha_Psi_chapters#cite_note-160","[","]","Clarksville, TN","https://en.wikipedia.org/wiki/Clarksville,_TN"
"Peoria (IL) Alumni Chapter","1973","Active","North Central","157","https://en.wikipedia.org/wiki/List_of_Kappa_Alpha_Psi_chapters#cite_note-161","[","]","Peoria, IL","https://en.wikipedia.org/wiki/Peoria,_IL"
"Beaumont (TX) Alumni Chapter","1973","Active","Southwestern","","","","","Beaumont, TX","https://en.wikipedia.org/wiki/Beaumont,_TX"
"Portsmouth-Suffolk (VA) Alumni Chapter","1973","Active","Eastern","158","https://en.wikipedia.org/wiki/List_of_Kappa_Alpha_Psi_chapters#cite_note-162","[","]","Portsmouth","https://en.wikipedia.org/wiki/Portsmouth,_VA"
"Sacramento (CA) Alumni Chapter","1974","Active","Western","159","https://en.wikipedia.org/wiki/List_of_Kappa_Alpha_Psi_chapters#cite_note-163","[","]","Sacramento, CA","https://en.wikipedia.org/wiki/Sacramento,_CA"
"Colorado Springs (CO) Alumni Chapter","1974","Active","Middle Western","160","https://en.wikipedia.org/wiki/List_of_Kappa_Alpha_Psi_chapters#cite_note-164","[","]","Colorado Springs, CO","https://en.wikipedia.org/wiki/Colorado_Springs,_CO"
"Stockton (CA) Alumni Chapter","1974","Active","Western","","","","","Stockton, CA","https://en.wikipedia.org/wiki/Stockton,_CA"
"Columbia (MD) Alumni Chapter","1974","Active","Eastern","161","https://en.wikipedia.org/wiki/List_of_Kappa_Alpha_Psi_chapters#cite_note-165","[","]","Columbia, MD","https://en.wikipedia.org/wiki/Columbia,_MD"
"Anderson (IN) Alumni Chapter","1974","Inactive","North Central","","","","","Anderson, IN","https://en.wikipedia.org/wiki/Anderson,_IN"
"Blytheville (AR) Alumni Chapter","1974","Active","Southwestern","","","","","Blytheville, AR","https://en.wikipedia.org/wiki/Blytheville,_AR"
"Moss Point (MS) Alumni Chapter","1975","Active","Southwestern","","","","","Moss Point, MS","https://en.wikipedia.org/wiki/Moss_Point,_MS"
"Beaufort (SC) Alumni Chapter","1975","Inactive","Southeastern","","","","","Beaufort, SC","https://en.wikipedia.org/wiki/Beaufort,_SC"
"Waukegan (IL) Alumni Chapter","1975","Active","North Central","162","https://en.wikipedia.org/wiki/List_of_Kappa_Alpha_Psi_chapters#cite_note-166","[","]","Waukegan, IL","https://en.wikipedia.org/wiki/Waukegan,_IL"
"Rock Island (IL) Alumni Chapter","1975","Inactive","North Central","","","","","Rock Island, IL","https://en.wikipedia.org/wiki/Rock_Island,_IL"
"Charlottesville (VA) Alumni Chapter","1975","Active","Eastern","163","https://en.wikipedia.org/wiki/List_of_Kappa_Alpha_Psi_chapters#cite_note-167","[","]","Charlottesville, VA","https://en.wikipedia.org/wiki/Charlottesville,_VA"
"Vallejo-Fairfield (CA) Alumni Chapter","1975","Active","Western","164","https://en.wikipedia.org/wiki/List_of_Kappa_Alpha_Psi_chapters#cite_note-168","[","]","",""
"Gulfport (MS) Alumni Chapter","1975","Active","Southwestern","165","https://en.wikipedia.org/wiki/List_of_Kappa_Alpha_Psi_chapters#cite_note-169","[","]","Gulfport, MS","https://en.wikipedia.org/wiki/Gulfport,_MS"
"Aiken (SC) Alumni Chapter","1975","Active","Southeastern","","","","","Aiken, SC","https://en.wikipedia.org/wiki/Aiken,_SC"
"Frankfort (KY) Alumni Chapter","1975","Active","South Central","166","https://en.wikipedia.org/wiki/List_of_Kappa_Alpha_Psi_chapters#cite_note-170","[","]","Frankfort, KY","https://en.wikipedia.org/wiki/Frankfort,_KY"
"Sparta (GA) Alumni Chapter","1975","Inactive","Southeastern","","","","","Sparta, GA","https://en.wikipedia.org/wiki/Sparta,_GA"
"Farmville (VA) Alumni Chapter","1975","Inactive","Eastern","","","","","Farmville, VA","https://en.wikipedia.org/wiki/Farmville,_VA"
"Lynchburg (VA) Alumni Chapter","1975","Active","Eastern","","","","","Lynchburg, VA","https://en.wikipedia.org/wiki/Lynchburg,_VA"
"Maywood-Wheaton (IL) Alumni Chapter","1976","Active","North Central","167","https://en.wikipedia.org/wiki/List_of_Kappa_Alpha_Psi_chapters#cite_note-171","[","]","Maywood","https://en.wikipedia.org/wiki/Maywood,_IL"
"Norman (OK) Alumni Chapter","1976","Active","Middle Western","","","","","Norman, OK","https://en.wikipedia.org/wiki/Norman,_OK"
"Stamford (CT) Alumni Chapter","1976","Active","Northeastern","168","https://en.wikipedia.org/wiki/List_of_Kappa_Alpha_Psi_chapters#cite_note-172","[","]","Stamford, CT","https://en.wikipedia.org/wiki/Stamford,_CT"
"Alexandria-Fairfax (VA) Alumni Chapter","1976","Active","Eastern","169","https://en.wikipedia.org/wiki/List_of_Kappa_Alpha_Psi_chapters#cite_note-173","[","]","",""
"Anniston-Piedmont (AL) Alumni Chapter","1976","Active","Southern","","","","","Anniston","https://en.wikipedia.org/wiki/Anniston,_AL"
