"tablescraper-selected-row","tablescraper-selected-row 2","tablescraper-selected-row 4","tablescraper-selected-row 5","reference","reference href","cite-bracket","cite-bracket 2","mw-redirect","mw-redirect href"
"Fort Myers (FL) Alumni Chapter","1978","Active","Southern","180","https://en.wikipedia.org/wiki/List_of_Kappa_Alpha_Psi_chapters#cite_note-184","[","]","Fort Myers, FL","https://en.wikipedia.org/wiki/Fort_Myers,_FL"
"Florence (AL) Alumni Chapter","1979","Active","Southern","","","","","Florence, AL","https://en.wikipedia.org/wiki/Florence,_AL"
"Hyattsville-Landover (MD) Alumni Chapter","1979","Active","Eastern","181","https://en.wikipedia.org/wiki/List_of_Kappa_Alpha_Psi_chapters#cite_note-185","[","]","Hyattsville","https://en.wikipedia.org/wiki/Hyattsville,_MD"
"Selma (AL) Alumni Chapter","1979","Active","Southern","182","https://en.wikipedia.org/wiki/List_of_Kappa_Alpha_Psi_chapters#cite_note-186","[","]","Selma, AL","https://en.wikipedia.org/wiki/Selma,_AL"
"Carbondale (IL) Alumni Chapter","1979","Inactive","North Central","","","","","Carbondale, IL","https://en.wikipedia.org/wiki/Carbondale,_IL"
"Bowling Green (OH) Alumni Chapter","1980","Inactive","Northern","146","https://en.wikipedia.org/wiki/List_of_Kappa_Alpha_Psi_chapters#cite_note-auto5-150","[","]","Bowling Green, OH","https://en.wikipedia.org/wiki/Bowling_Green,_OH"
"Madison (WI) Alumni Chapter","1980","Active","North Central","183","https://en.wikipedia.org/wiki/List_of_Kappa_Alpha_Psi_chapters#cite_note-187","[","]","Madison, WI","https://en.wikipedia.org/wiki/Madison,_WI"
"Terre Haute (IN) Alumni Chapter","1980","Inactive","North Central","146","https://en.wikipedia.org/wiki/List_of_Kappa_Alpha_Psi_chapters#cite_note-auto5-150","[","]","Terre Haute, IN","https://en.wikipedia.org/wiki/Terre_Haute,_IN"
"Sumter (SC) Alumni Chapter","1980","Inactive","Southeastern","146","https://en.wikipedia.org/wiki/List_of_Kappa_Alpha_Psi_chapters#cite_note-auto5-150","[","]","Sumter, SC","https://en.wikipedia.org/wiki/Sumter,_SC"
"Prichard (AL) Alumni Chapter","1980","Active","Southern","146","https://en.wikipedia.org/wiki/List_of_Kappa_Alpha_Psi_chapters#cite_note-auto5-150","[","]","Prichard, AL","https://en.wikipedia.org/wiki/Prichard,_AL"
"Muncie (IN) Alumni Chapter","1980","Inactive","North Central","146","https://en.wikipedia.org/wiki/List_of_Kappa_Alpha_Psi_chapters#cite_note-auto5-150","[","]","Muncie, IN","https://en.wikipedia.org/wiki/Muncie,_IN"
"Fort Gregg-Adams (VA) Alumni Chapter","1980","Active","Eastern","184","https://en.wikipedia.org/wiki/List_of_Kappa_Alpha_Psi_chapters#cite_note-188","[","]","Gregg-Adams, VA","https://en.wikipedia.org/wiki/Fort_Gregg-Adams"
"Sarasota (FL) Alumni Chapter","1981","Active","Southern","185","https://en.wikipedia.org/wiki/List_of_Kappa_Alpha_Psi_chapters#cite_note-189","[","]","Sarasota, FL","https://en.wikipedia.org/wiki/Sarasota,_FL"
"Corpus Christi (TX) Alumni Chapter","1981","Active","Southwestern","","","","","Corpus Christi, TX","https://en.wikipedia.org/wiki/Corpus_Christi,_TX"
"College Park (GA) Alumni Chapter","1981","Active","Southeastern","186","https://en.wikipedia.org/wiki/List_of_Kappa_Alpha_Psi_chapters#cite_note-190","[","]","College Park, GA","https://en.wikipedia.org/wiki/College_Park,_GA"
"Decatur (GA) Alumni Chapter","1981","Active","Southeastern","187","https://en.wikipedia.org/wiki/List_of_Kappa_Alpha_Psi_chapters#cite_note-191","[","]","Decatur, GA","https://en.wikipedia.org/wiki/Decatur,_GA"
"Lansing (MI) Alumni Chapter","1981","Active","Northern","188","https://en.wikipedia.org/wiki/List_of_Kappa_Alpha_Psi_chapters#cite_note-192","[","]","Lansing, MI","https://en.wikipedia.org/wiki/Lansing,_MI"
"Asheville (NC) Alumni Chapter","1981","Active","Middle Eastern","189","https://en.wikipedia.org/wiki/List_of_Kappa_Alpha_Psi_chapters#cite_note-193","[","]","Asheville, NC","https://en.wikipedia.org/wiki/Asheville,_NC"
"Fort Knox (KY) Alumni Chapter","1981","Active","South Central","190","https://en.wikipedia.org/wiki/List_of_Kappa_Alpha_Psi_chapters#cite_note-194","[","]","Fort Knox, KY","https://en.wikipedia.org/wiki/Fort_Knox,_KY"
"Korea Alumni Chapter","1981","Active","Western","191","https://en.wikipedia.org/wiki/List_of_Kappa_Alpha_Psi_chapters#cite_note-195","[","]","Seoul, South Korea","https://en.wikipedia.org/wiki/Seoul,_South_Korea"
"Northport (AL) Alumni Chapter","1981","Active","Southern","192","https://en.wikipedia.org/wiki/List_of_Kappa_Alpha_Psi_chapters#cite_note-196","[","]","Northport, AL","https://en.wikipedia.org/wiki/Northport,_AL"
"Joliet (IL) Alumni Chapter","1981","Active","North Central","","","","","Joliet, IL","https://en.wikipedia.org/wiki/Joliet,_IL"
"Willingboro-Fort Dix-McGuire Air Force Base (NJ) Alumni Chapter","1981","Active","Northeastern","194","https://en.wikipedia.org/wiki/List_of_Kappa_Alpha_Psi_chapters#cite_note-198","[","]","",""
"Daphne (AL) Alumni Chapter","1981","Active","Southern","","","","","Daphne, AL","https://en.wikipedia.org/wiki/Daphne,_AL"
"Anchorage (AK) Alumni Chapter","1981","Active","Western","195","https://en.wikipedia.org/wiki/List_of_Kappa_Alpha_Psi_chapters#cite_note-199","[","]","Anchorage, AK","https://en.wikipedia.org/wiki/Anchorage,_AK"
"Iowa City-Cedar Rapids (IA) Alumni Chapter","1981","Active","North Central","","","","","Iowa City","https://en.wikipedia.org/wiki/Iowa_City,_IA"
"Columbia (MO) Alumni Chapter","1981","Active","Middle Western","","","","","Columbia, MO","https://en.wikipedia.org/wiki/Columbia,_MO"
"Camden-Magnolia-El Dorado (AR) Alumni Chapter","1981","Active","Southwestern","131","https://en.wikipedia.org/wiki/List_of_Kappa_Alpha_Psi_chapters#cite_note-auto6-135","[","]","",""
"Goldsboro (NC) Alumni Chapter","1981","Active","Middle Eastern","196","https://en.wikipedia.org/wiki/List_of_Kappa_Alpha_Psi_chapters#cite_note-200","[","]","Goldsboro, NC","https://en.wikipedia.org/wiki/Goldsboro,_NC"
"Talladega-Sylacauga (AL) Alumni Chapter","1982","Active","Southern","","","","","Talladega","https://en.wikipedia.org/wiki/Talladega,_AL"
"Williamsburg (VA) Alumni Chapter","1982","Inactive","Eastern","","","","","Williamsburg, VA","https://en.wikipedia.org/wiki/Williamsburg,_VA"
"Belle Glade-Pahokee (FL) Alumni Chapter","1982","Active","Southern","197","https://en.wikipedia.org/wiki/List_of_Kappa_Alpha_Psi_chapters#cite_note-auto4-201","[","]","Belle Glade","https://en.wikipedia.org/wiki/Belle_Glade,_FL"
"Frederick (MD) Alumni Chapter","1982","Active","Eastern","","","","","Frederick, MD","https://en.wikipedia.org/wiki/Frederick,_MD"
"Fort Pierce (FL) Alumni Chapter","1982","Active","Southern","197","https://en.wikipedia.org/wiki/List_of_Kappa_Alpha_Psi_chapters#cite_note-auto4-201","[","]","Fort Pierce, FL","https://en.wikipedia.org/wiki/Fort_Pierce,_FL"
"Montclair (NJ) Alumni Chapter","1982","Active","Northeastern","198","https://en.wikipedia.org/wiki/List_of_Kappa_Alpha_Psi_chapters#cite_note-202","[","]","Montclair, NJ","https://en.wikipedia.org/wiki/Montclair,_NJ"
"Moncks Corner (SC) Alumni Chapter","1982","Active","Southeastern","","","","","Moncks Corner, SC","https://en.wikipedia.org/wiki/Moncks_Corner,_SC"
"Delray Beach (FL) Alumni Chapter","1983","Active","Southern","199","https://en.wikipedia.org/wiki/List_of_Kappa_Alpha_Psi_chapters#cite_note-203","[","]","Delray Beach, FL","https://en.wikipedia.org/wiki/Delray_Beach,_FL"
"Paducah (KY) Alumni Chapter","1983","Active","South Central","200","https://en.wikipedia.org/wiki/List_of_Kappa_Alpha_Psi_chapters#cite_note-204","[","]","Paducah, KY","https://en.wikipedia.org/wiki/Paducah,_KY"
"Columbus (MS) Alumni Chapter","1983","Active","Southwestern","201","https://en.wikipedia.org/wiki/List_of_Kappa_Alpha_Psi_chapters#cite_note-205","[","]","Columbus, MS","https://en.wikipedia.org/wiki/Columbus,_MS"
"Denmark (SC) Alumni Chapter","1983","Active","Southeastern","","","","","Denmark, SC","https://en.wikipedia.org/wiki/Denmark,_SC"
"Kalamazoo (MI) Alumni Chapter","1983","Active","Northern","202","https://en.wikipedia.org/wiki/List_of_Kappa_Alpha_Psi_chapters#cite_note-206","[","]","Kalamazoo, MI","https://en.wikipedia.org/wiki/Kalamazoo,_MI"
"Valdosta (GA) Alumni Chapter","1983","Active","Southeastern","203","https://en.wikipedia.org/wiki/List_of_Kappa_Alpha_Psi_chapters#cite_note-207","[","]","Valdosta, GA","https://en.wikipedia.org/wiki/Valdosta,_GA"
"Fort Benning (GA) Alumni Chapter","1984","Inactive","Southeastern","197","https://en.wikipedia.org/wiki/List_of_Kappa_Alpha_Psi_chapters#cite_note-auto4-201","[","]","Fort Moore, GA","https://en.wikipedia.org/wiki/Fort_Moore"
"Kenner (LA) Alumni Chapter","1984","Active","Southwestern","131","https://en.wikipedia.org/wiki/List_of_Kappa_Alpha_Psi_chapters#cite_note-auto6-135","[","]","Kenner, LA","https://en.wikipedia.org/wiki/Kenner,_LA"
"Chesapeake-Virginia Beach (VA) Alumni Chapter","1984","Active","Eastern","204","https://en.wikipedia.org/wiki/List_of_Kappa_Alpha_Psi_chapters#cite_note-208","[","]","Chesapeake","https://en.wikipedia.org/wiki/Chesapeake,_VA"
"Erie (PA) Alumni Chapter","1984","Active","East Central","","","","","Erie, PA","https://en.wikipedia.org/wiki/Erie,_PA"
"Richfield-Bloomington (MN) Alumni Chapter","1984","Active","North Central","205","https://en.wikipedia.org/wiki/List_of_Kappa_Alpha_Psi_chapters#cite_note-209","[","]","Richfield","https://en.wikipedia.org/wiki/Richfield,_MN"
"Upper Marlboro-Waldorf (MD) Alumni Chapter","1984","Active","Eastern","206","https://en.wikipedia.org/wiki/List_of_Kappa_Alpha_Psi_chapters#cite_note-210","[","]","Upper Marlboro","https://en.wikipedia.org/wiki/Upper_Marlboro,_MD"
"Lumberton (NC) Alumni Chapter","1984","Active","Middle Eastern","207","https://en.wikipedia.org/wiki/List_of_Kappa_Alpha_Psi_chapters#cite_note-211","[","]","Lumberton, NC","https://en.wikipedia.org/wiki/Lumberton,_NC"
"Bermuda Alumni Chapter","1985","Active","Eastern","208","https://en.wikipedia.org/wiki/List_of_Kappa_Alpha_Psi_chapters#cite_note-auto-212","[","]","",""
"Bloomington-Normal (IL) Alumni Chapter","1985","Active","North Central","209","https://en.wikipedia.org/wiki/List_of_Kappa_Alpha_Psi_chapters#cite_note-213","[","]","",""
"Hinesville (GA) Alumni Chapter","1985","Inactive","Southeastern","","","","","Hinesville, GA","https://en.wikipedia.org/wiki/Hinesville,_GA"
"Albuquerque (NM) Alumni Chapter","1985","Active","Southwestern","208","https://en.wikipedia.org/wiki/List_of_Kappa_Alpha_Psi_chapters#cite_note-auto-212","[","]","Albuquerque, NM","https://en.wikipedia.org/wiki/Albuquerque,_NM"
"Tacoma (WA) Alumni Chapter","1985","Active","Western","210","https://en.wikipedia.org/wiki/List_of_Kappa_Alpha_Psi_chapters#cite_note-214","[","]","Tacoma, WA","https://en.wikipedia.org/wiki/Tacoma,_WA"
"Ahoskie (NC) Alumni Chapter","1985","Active","Middle Eastern","211","https://en.wikipedia.org/wiki/List_of_Kappa_Alpha_Psi_chapters#cite_note-215","[","]","Ahoskie, NC","https://en.wikipedia.org/wiki/Ahoskie,_NC"
"Norristown (PA) Alumni Chapter","1986","Active","Northeastern","212","https://en.wikipedia.org/wiki/List_of_Kappa_Alpha_Psi_chapters#cite_note-216","[","]","Norristown, PA","https://en.wikipedia.org/wiki/Norristown,_PA"
"Tallulah (LA) Alumni Chapter","1986","Inactive","Southwestern","213","https://en.wikipedia.org/wiki/List_of_Kappa_Alpha_Psi_chapters#cite_note-auto1-217","[","]","Tallulah, LA","https://en.wikipedia.org/wiki/Tallulah,_LA"
"Greenville (NC) Alumni Chapter","1986","Active","Middle Eastern","","","","","Greenville, NC","https://en.wikipedia.org/wiki/Greenville,_NC"
"Fort Polk (LA) Alumni Chapter","1986","Inactive","Southwestern","213","https://en.wikipedia.org/wiki/List_of_Kappa_Alpha_Psi_chapters#cite_note-auto1-217","[","]","",""
"Southfield (MI) Alumni Chapter","1986","Active","Northern","214","https://en.wikipedia.org/wiki/List_of_Kappa_Alpha_Psi_chapters#cite_note-218","[","]","Southfield, MI","https://en.wikipedia.org/wiki/Southfield,_MI"
"San Fernando Valley (CA) Alumni Chapter","1986","Inactive","Western","146","https://en.wikipedia.org/wiki/List_of_Kappa_Alpha_Psi_chapters#cite_note-auto5-150","[","]","San Fernando Valley, CA","https://en.wikipedia.org/wiki/San_Fernando_Valley,_CA"
"Lafayette (LA) Alumni Chapter","1986","Active","Southwestern","215","https://en.wikipedia.org/wiki/List_of_Kappa_Alpha_Psi_chapters#cite_note-219","[","]","Lafayette, LA","https://en.wikipedia.org/wiki/Lafayette,_LA"
"Arlington-Grand Prairie (TX) Alumni Chapter","1986","Active","Southwestern","216","https://en.wikipedia.org/wiki/List_of_Kappa_Alpha_Psi_chapters#cite_note-220","[","]","Arlington","https://en.wikipedia.org/wiki/Arlington,_TX"
"Centerville (OH) Alumni Chapter","1986","Inactive","East Central","146","https://en.wikipedia.org/wiki/List_of_Kappa_Alpha_Psi_chapters#cite_note-auto5-150","[","]","Centerville, OH","https://en.wikipedia.org/wiki/Centerville,_OH"
"Murfreesboro (TN) Alumni Chapter","1986","Active","South Central","217","https://en.wikipedia.org/wiki/List_of_Kappa_Alpha_Psi_chapters#cite_note-221","[","]","Murfreesboro, TN","https://en.wikipedia.org/wiki/Murfreesboro,_TN"
"Bellevue (WA) Alumni Chapter","1987","Active","Western","","","","","Bellevue, WA","https://en.wikipedia.org/wiki/Bellevue,_WA"
"Englewood-Teaneck (NJ) Alumni Chapter","1987","Active","Northeastern","218","https://en.wikipedia.org/wiki/List_of_Kappa_Alpha_Psi_chapters#cite_note-222","[","]","Englewood","https://en.wikipedia.org/wiki/Englewood,_NJ"
"Vicksburg (MS) Alumni Chapter","1987","Active","Southwestern","219","https://en.wikipedia.org/wiki/List_of_Kappa_Alpha_Psi_chapters#cite_note-223","[","]","Vicksburg, MS","https://en.wikipedia.org/wiki/Vicksburg,_MS"
"Holly Springs (MS) Alumni Chapter","1987","Inactive","South Central","","","","","Holly Springs, MS","https://en.wikipedia.org/wiki/Holly_Springs,_MS"
"Canton (OH) Alumni Chapter","1987","Active","East Central","","","","","Canton, OH","https://en.wikipedia.org/wiki/Canton,_OH"
"Auburn-Opelika (AL) Alumni Chapter","1987","Active","Southern","","","","","Auburn","https://en.wikipedia.org/wiki/Auburn,_AL"
"Kennewick-Richland-Pasco (WA) Alumni Chapter","1988","Active","Western","","","","","",""
"Gastonia-Shelby (NC) Alumni Chapter","1988","Active","Middle Eastern","220","https://en.wikipedia.org/wiki/List_of_Kappa_Alpha_Psi_chapters#cite_note-224","[","]","Gastonia","https://en.wikipedia.org/wiki/Gastonia,_NC"
"Plainfield (NJ) Alumni Chapter","1988","Active","Northeastern","221","https://en.wikipedia.org/wiki/List_of_Kappa_Alpha_Psi_chapters#cite_note-225","[","]","Plainfield, NJ","https://en.wikipedia.org/wiki/Plainfield,_NJ"
"Fort Walton Beach (FL) Alumni Chapter","1988","Active","Southern","","","","","Fort Walton Beach, FL","https://en.wikipedia.org/wiki/Fort_Walton_Beach,_FL"
"Chester (PA) Alumni Chapter","1988","Active","Northeastern","222","https://en.wikipedia.org/wiki/List_of_Kappa_Alpha_Psi_chapters#cite_note-226","[","]","Chester, PA","https://en.wikipedia.org/wiki/Chester,_PA"
"Missouri City-Sugarland (TX) Alumni Chapter","1988","Active","Southwestern","223","https://en.wikipedia.org/wiki/List_of_Kappa_Alpha_Psi_chapters#cite_note-227","[","]","Missouri City","https://en.wikipedia.org/wiki/Missouri_City,_TX"
"Panama Alumni Chapter","1988","Inactive","Southern","","","","","Panama City, Panama","https://en.wikipedia.org/wiki/Panama_City,_Panama"
"Providence (RI) Alumni Chapter","1988","Active","Northeastern","","","","","Providence, RI","https://en.wikipedia.org/wiki/Providence,_RI"
"Stone Mountain-Lithonia (GA) Alumni Chapter","1988","Active","Southeastern","224","https://en.wikipedia.org/wiki/List_of_Kappa_Alpha_Psi_chapters#cite_note-228","[","]","Stone Mountain","https://en.wikipedia.org/wiki/Stone_Mountain,_GA"
"Thomasville (GA) Alumni Chapter","1988","Active","Southeastern","","","","","Thomasville, GA","https://en.wikipedia.org/wiki/Thomasville,_GA"
"Gaithersburg-Rockville (MD) Alumni Chapter","1989","Active","Eastern","225","https://en.wikipedia.org/wiki/List_of_Kappa_Alpha_Psi_chapters#cite_note-229","[","]","Gaithersburg","https://en.wikipedia.org/wiki/Gaithersburg,_MD"
"Japan Alumni Chapter","1989","Active","Western","","","","","Okinawa, Japan","https://en.wikipedia.org/wiki/Okinawa,_Japan"
"Lincoln (NE) Alumni Chapter","1989","Active","Middle Western","226","https://en.wikipedia.org/wiki/List_of_Kappa_Alpha_Psi_chapters#cite_note-230","[","]","Lincoln, NE","https://en.wikipedia.org/wiki/Lincoln,_NE"
"Springfield (MA) Alumni Chapter","1989","Active","Northeastern","","","","","Springfield, MA","https://en.wikipedia.org/wiki/Springfield,_MA"
"Fort Drum (NY) Alumni Chapter","1989","Inactive","Northern","","","","","Fort Drum, NY","https://en.wikipedia.org/wiki/Fort_Drum,_NY"
"Alpharetta-Smyrna (GA) Alumni Chapter","1989","Active","Southeastern","227","https://en.wikipedia.org/wiki/List_of_Kappa_Alpha_Psi_chapters#cite_note-231","[","]","Alpharetta","https://en.wikipedia.org/wiki/Alpharetta,_GA"
"Grand Bahama Alumni Chapter","1989","Inactive","Southern","","","","","",""
"Cary (NC) Alumni Chapter","1989","Active","Middle Eastern","228","https://en.wikipedia.org/wiki/List_of_Kappa_Alpha_Psi_chapters#cite_note-232","[","]","Cary, NC","https://en.wikipedia.org/wiki/Cary,_NC"
"Queens (NY) Alumni Chapter","1990","Active","Northeastern","229","https://en.wikipedia.org/wiki/List_of_Kappa_Alpha_Psi_chapters#cite_note-233","[","]","Queens, NY","https://en.wikipedia.org/wiki/Queens,_NY"
"Germantown (TN) Alumni Chapter","1990","Active","South Central","230","https://en.wikipedia.org/wiki/List_of_Kappa_Alpha_Psi_chapters#cite_note-234","[","]","Germantown, TN","https://en.wikipedia.org/wiki/Germantown,_TN"
"United Kingdom Alumni Chapter","1990","Active","Northeastern","","","","","",""
"Natchitoches (LA) Alumni Chapter","1991","Active","Southwestern","","","","","Natchitoches, LA","https://en.wikipedia.org/wiki/Natchitoches,_LA"
"Greenwood (SC) Alumni Chapter","1991","Active","Southeastern","","","","","Greenwood, SC","https://en.wikipedia.org/wiki/Greenwood,_SC"
"Victorville (CA) Alumni Chapter","1991","Inactive","Western","","","","","Victorville, CA","https://en.wikipedia.org/wiki/Victorville,_CA"
"Winter Park (FL) Alumni Chapter","1992","Active","Southern","231","https://en.wikipedia.org/wiki/List_of_Kappa_Alpha_Psi_chapters#cite_note-235","[","]","Winter Park, FL","https://en.wikipedia.org/wiki/Winter_Park,_FL"
"Brunswick (GA) Alumni Chapter","1993","Active","Southeastern","","","","","Brunswick, GA","https://en.wikipedia.org/wiki/Brunswick,_GA"
"Evergreen Park (IL) Alumni Chapter","1993","Active","North Central","232","https://en.wikipedia.org/wiki/List_of_Kappa_Alpha_Psi_chapters#cite_note-236","[","]","Evergreen Park, IL","https://en.wikipedia.org/wiki/Evergreen_Park,_IL"
"Richardson-Plano (TX) Alumni Chapter","1994","Active","Southwestern","233","https://en.wikipedia.org/wiki/List_of_Kappa_Alpha_Psi_chapters#cite_note-237","[","]","Richardson","https://en.wikipedia.org/wiki/Richardson,_TX"
"Anderson (SC) Alumni Chapter","1994","Active","Southeastern","","","","","Anderson, SC","https://en.wikipedia.org/wiki/Anderson,_SC"
"Longview-Kilgore (TX) Alumni Chapter","1994","Inactive","Southwestern","","","","","Longview","https://en.wikipedia.org/wiki/Longview,_TX"
"Hendersonville (TN) Alumni Chapter","1995","Active","South Central","234","https://en.wikipedia.org/wiki/List_of_Kappa_Alpha_Psi_chapters#cite_note-238","[","]","Hendersonville, TN","https://en.wikipedia.org/wiki/Hendersonville,_TN"
"Bossier City (LA) Alumni Chapter","1995","Active","Southwestern","235","https://en.wikipedia.org/wiki/List_of_Kappa_Alpha_Psi_chapters#cite_note-239","[","]","Bossier City, LA","https://en.wikipedia.org/wiki/Bossier_City,_LA"
"Franklin-Southampton (VA) Alumni Chapter","1995","Active","Eastern","","","","","Franklin","https://en.wikipedia.org/wiki/Franklin,_VA"
"Lancaster-Palmdale (CA) Alumni Chapter","1995","Active","Western","","","","","Lancaster","https://en.wikipedia.org/wiki/Lancaster,_CA"
"Saint Thomas USVI Alumni Chapter","1995","Inactive","Southern","","","","","",""
"Fayetteville (AR) Alumni Chapter","1996","Active","Middle Western","236","https://en.wikipedia.org/wiki/List_of_Kappa_Alpha_Psi_chapters#cite_note-240","[","]","Fayetteville, AR","https://en.wikipedia.org/wiki/Fayetteville,_AR"
"Rayville (LA) Alumni Chapter","1996","Active","Southwestern","","","","","Rayville, LA","https://en.wikipedia.org/wiki/Rayville,_LA"
"Denton-Lewisville (TX) Alumni Chapter","1997","Active","Southwestern","237","https://en.wikipedia.org/wiki/List_of_Kappa_Alpha_Psi_chapters#cite_note-241","[","]","Denton","https://en.wikipedia.org/wiki/Denton,_TX"
"Gaffney (SC) Alumni Chapter","1997","Active","Southeastern","","","","","Gaffney, SC","https://en.wikipedia.org/wiki/Gaffney,_SC"
"Richmond-Perrine (FL) Alumni Chapter","1997","Active","Southern","","","","","Perrine, FL","https://en.wikipedia.org/wiki/Perrine,_FL"
"Woodbridge (VA) Alumni Chapter","1998","Active","Eastern","238","https://en.wikipedia.org/wiki/List_of_Kappa_Alpha_Psi_chapters#cite_note-242","[","]","Woodbridge, VA","https://en.wikipedia.org/wiki/Woodbridge,_VA"
"West Helena (AR) Alumni Chapter","1998","Active","Southwestern","","","","","West Helena, AR","https://en.wikipedia.org/wiki/West_Helena,_AR"
"Danville (VA) Alumni Chapter","1998","Active","Eastern","239","https://en.wikipedia.org/wiki/List_of_Kappa_Alpha_Psi_chapters#cite_note-243","[","]","Danville, VA","https://en.wikipedia.org/wiki/Danville,_VA"
"Houma-Thibodaux (LA) Alumni Chapter","1998","Active","Southwestern","","","","","Houma-Thibodaux, LA","https://en.wikipedia.org/wiki/Houma%E2%80%93Thibodaux_metropolitan_area"
"DeKalb (IL) Alumni Chapter","1998","Inactive","North Central","","","","","DeKalb, IL","https://en.wikipedia.org/wiki/DeKalb,_IL"
"Saint Croix USVI Alumni Chapter","2000","Active","Southern","","","","","",""
"Tupelo (MS) Alumni Chapter","2000","Inactive","South Central","","","","","Tupelo, MS","https://en.wikipedia.org/wiki/Tupelo,_MS"
"Blacksburg (VA) Alumni Chapter","2001","Inactive","Eastern","","","","","Blacksburg, VA","https://en.wikipedia.org/wiki/Blacksburg,_VA"
"Jonesboro (AR) Alumni Chapter","2001","Active","Southwestern","240","https://en.wikipedia.org/wiki/List_of_Kappa_Alpha_Psi_chapters#cite_note-244","[","]","Jonesboro, AR","https://en.wikipedia.org/wiki/Jonesboro,_AR"
"Camden (SC) Alumni Chapter","2001","Active","Southeastern","","","","","Camden, SC","https://en.wikipedia.org/wiki/Camden,_SC"
"Hinesville-Fort Stewart (GA) Alumni Chapter","2002","Inactive","Southeastern","","","","","",""
"Canton-Madison (MS) Alumni Chapter","2002","Active","Southwestern","241","https://en.wikipedia.org/wiki/List_of_Kappa_Alpha_Psi_chapters#cite_note-245","[","]","Canton","https://en.wikipedia.org/wiki/Canton,_MS"
"Conway (AR) Alumni Chapter","2003","Active","Southwestern","242","https://en.wikipedia.org/wiki/List_of_Kappa_Alpha_Psi_chapters#cite_note-246","[","]","Conway, AR","https://en.wikipedia.org/wiki/Conway,_AR"
"Atlantic City (NJ) Alumni Chapter","2003","Active","Northeastern","243","https://en.wikipedia.org/wiki/List_of_Kappa_Alpha_Psi_chapters#cite_note-247","[","]","Atlantic City, NJ","https://en.wikipedia.org/wiki/Atlantic_City,_NJ"
"Cleveland (MS) Alumni Chapter","2003","Active","Southwestern","244","https://en.wikipedia.org/wiki/List_of_Kappa_Alpha_Psi_chapters#cite_note-248","[","]","Cleveland, MS","https://en.wikipedia.org/wiki/Cleveland,_MS"
"Independence (MO) Alumni Chapter","2003","Active","Middle Western","","","","","Independence, MO","https://en.wikipedia.org/wiki/Independence,_MO"
"Stockbridge-Jonesboro (GA) Alumni Chapter","2003","Active","Southeastern","245","https://en.wikipedia.org/wiki/List_of_Kappa_Alpha_Psi_chapters#cite_note-249","[","]","Stockbridge","https://en.wikipedia.org/wiki/Stockbridge,_GA"
"Spartanburg (SC) Alumni Chapter","2003","Active","Southeastern","246","https://en.wikipedia.org/wiki/List_of_Kappa_Alpha_Psi_chapters#cite_note-250","[","]","Spartanburg, SC","https://en.wikipedia.org/wiki/Spartanburg,_SC"
"Bowie-Mitchellville (MD) Alumni Chapter","2003","Active","Eastern","247","https://en.wikipedia.org/wiki/List_of_Kappa_Alpha_Psi_chapters#cite_note-251","[","]","Bowie","https://en.wikipedia.org/wiki/Bowie,_MD"
"Harvey-Markham (IL) Alumni Chapter","2004","Active","North Central","248","https://en.wikipedia.org/wiki/List_of_Kappa_Alpha_Psi_chapters#cite_note-252","[","]","Harvey","https://en.wikipedia.org/wiki/Harvey,_IL"
"Fresno (CA) Alumni Chapter","2004","Active","Western","249","https://en.wikipedia.org/wiki/List_of_Kappa_Alpha_Psi_chapters#cite_note-253","[","]","Fresno, CA","https://en.wikipedia.org/wiki/Fresno,_CA"
"Hartsville (SC) Alumni Chapter","2004","Active","Southeastern","250","https://en.wikipedia.org/wiki/List_of_Kappa_Alpha_Psi_chapters#cite_note-254","[","]","Hartsville, SC","https://en.wikipedia.org/wiki/Hartsville,_SC"
"Roseville (CA) Alumni Chapter","2004","Active","Western","251","https://en.wikipedia.org/wiki/List_of_Kappa_Alpha_Psi_chapters#cite_note-255","[","]","Roseville, CA","https://en.wikipedia.org/wiki/Roseville,_CA"
"Johannesburg-Pretoria South Africa Alumni Chapter","2004","Active","Southeastern","","","","","",""
"Roanoke Rapids (NC) Alumni Chapter","2005","Active","Middle Eastern","252","https://en.wikipedia.org/wiki/List_of_Kappa_Alpha_Psi_chapters#cite_note-256","[","]","Roanoke Rapids, NC","https://en.wikipedia.org/wiki/Roanoke_Rapids,_NC"
"College Park-Sandy Spring (MD) Alumni Chapter","2005","Active","Eastern","253","https://en.wikipedia.org/wiki/List_of_Kappa_Alpha_Psi_chapters#cite_note-257","[","]","College Park","https://en.wikipedia.org/wiki/College_Park,_MD"
"Carrollton-Douglasville (GA) Alumni Chapter","2005","Active","Southeastern","254","https://en.wikipedia.org/wiki/List_of_Kappa_Alpha_Psi_chapters#cite_note-258","[","]","Carrollton","https://en.wikipedia.org/wiki/Carrollton,_GA"
"Beverly Hills-Century City (CA) Alumni Chapter","2005","Active","Western","","","","","Beverly Hills","https://en.wikipedia.org/wiki/Beverly_Hills,_CA"
"Abington-Ambler (PA) Alumni Chapter","2005","Active","Northeastern","255","https://en.wikipedia.org/wiki/List_of_Kappa_Alpha_Psi_chapters#cite_note-259","[","]","Ambler, PA","https://en.wikipedia.org/wiki/Borough_of_Ambler"
"Hammond (LA) Alumni Chapter","2006","Active","Southwestern","","","","","Hammond, LA","https://en.wikipedia.org/wiki/Hammond,_LA"
